,15,9,26,8,18,40,3,37,21,28,16,11,27,39,32,25,33,19,4,34,13,41,29,10,20,30,22,31
188,,,,,,,,,,,,,,,,,,,,,,,,,,bending and forming plate using power operated machines,,preparing manufacturing systems equipment for operation
189,,,,,,,,,,,,,,,,,,,,,,,,,,producing structural steel ancillary components,,checking the compliance of electronic components
190,,,,,,,,,,,,,,,,,,,,,,,,,,marking out components for metalwork,,assembling transformers and inductors;assembling and fitting commutators;assembling and fitting electrical rotating equipment;assembling stator windings;assembling rotor and armature windings
191,,,,,,,,,,,,,,,,,,,,,,,,,,developing and marking out templates for metalwork,,assist in the installation of traction and rolling stock equipment
192,,,,,,,,,,,,,,,,,,,,,,,,,,bending and forming plate using press brakes or bending machines,,assembling press tools
193,,,,,,,,,,,,,,,,,,,,,,,,,,producing structural steel ancillary components,,assembling injection mould tools
194,,,,,,,,,,,,,,,,,,,,,,,,,,determining welding and related technical requirements to achieve objectives,,assembling blow mould tools
195,,,,,,,,,,,,,,,,,,,,,,,,,,planning welding production resources and activities,,assembling jigs and fixtures using mechanical methods
196,,,,,,,,,,,,,,,,,,,,,,,,,,implementing welding production methods and procedures,,assisting in the installation of marine electrical and electronic equipment
197,,,,,,,,,,,,,,,,,,,,,,,,,,solving welding problems in production,,"installing seating, interior panels, soft furnishing and trim in yachts and boats;installing marine interior panels and soft furnishings;installing marine seating and furniture;fitting marine seating and furniture;fitting marine interior panels and soft furnishings"
198,,,,,,,,,,,,,,,,,,,,,,,,,,monitoring welding activities in production,,assisting in the installation of ancillary equipment in yachts and boats;assisting in the installation of domestic equipment in yachts and boats
199,,,,,,,,,,,,,,,,,,,,,,,,,,inspecting welded components or structures for visual quality and dimensional accuracy,,assembling/installing wooden structural components to produce yachts and;assisting in the assembly of wooden structural components to produce yachts and boats
200,,,,,,,,,,,,,,,,,,,,,,,,,,cutting and shaping wooden components for yachts and boats using hand tools,,overhauling and repairing marine weapons equipment and systems;overhauling and repairing marine navigational equipment and systems;overhauling marine electrical power generation and distribution equipment and systems;overhauling and repairing marine electrical power generation and distribution equipment and systems;overhauling marine weapons equipment and systems
201,,,,,,,,,,,,,,,,,,,,,,,,,,applying surface finishes to yacht and boat wooden assemblies,,overhauling and repairing marine communication equipment and systems;overhauling marine communication equipment and systems
202,,,,,,,,,,,,,,,,,,,,,,,,,,"fitting seating, interior panels, soft furnishing and trim in yachts and boats",,"undertake installation of overhead line equipment sectioning, insulation, registration and in-span components under direction;undertake overhead line equipment main steelwork installation under direction;undertake overhead line equipment small part steelwork installation under direction;undertake installation, enhancement and renewal of overhead line equipment earthing and bonding under direction;undertake overhead line equipment wiring installation under direction"
203,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out repairs to yacht and boat wooden components and assemblies,,"installation of overhead line equipment sectioning, insulation, registration and in-span components;install overhead line equipment wiring;install overhead line equipment main steelwork;complete testing, gauging and acceptance of overhead line equipment;install overhead line equipment small part steelwork"
204,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out repairs to yacht and boat composite components,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,installing marine power generation and distribution equipment and systems,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,installing marine sensor equipment and systems,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,installing marine computer equipment and systems,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,installing marine weapons equipment and systems,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,"installing marine lighting, alarm, detection and monitoring equipment and systems",,
210,,,,,,,,,,,,,,,,,,,,,,,,,,"setting to work, testing and trialling marine communication equipment and systems",,
211,,,,,,,,,,,,,,,,,,,,,,,,,,lining off for assembly and erection of marine steelwork and components,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,cutting materials using hand and machine tools,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,outfitting marine steelwork,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,checking marine fabrications for quality and dimensional accuracy,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,installing marine propulsion systems and equipment,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,installing marine power transmission systems and equipment,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,installing marine hydraulic systems and equipment,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,installing marine mechanical control systems and equipment,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,installing marine ancillary plant and equipment,,
220,,,,,,,,,,,,,,,,,,,,,,,,,,installing marine fire main systems and equipment,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,maintaining marine fuel systems and equipment,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,maintaining marine hydraulic systems and equipment,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,maintaining marine auxiliary power units,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,maintaining marine mechanical control equipment and systems,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,"maintaining marine steering gear, control systems and equipment",,
226,,,,,,,,,,,,,,,,,,,,,,,,,,overhauling marine propulsion systems,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,overhauling marine fuel systems and equipment,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,marking out for the installation of marine wooden assemblies,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,repairing marine composite components and assemblies,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,installing marine sheet metal components and assemblies,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,preparing mechanised arc welding equipment for production,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,working efficiently and effectively in engineering,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out pipe fitting activities,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,using lathes for turning operations,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,using milling machines,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out routine servicing of mechanical equipment,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,cutting and shaping platework components,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,using oxy-fuel gas cutting equipment,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,wiring electrical equipment and circuits,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,assembling electronic circuits,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,making components from wood-based materials,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,assembling engineering woodwork components,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,producing mechanical engineering drawings using a cad system,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,forming and assembling pipework systems,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out aircraft detail fitting activities,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,installing aircraft mechanical fasteners,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,producing aircraft detail assemblies,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,preparing and using lathes for turning operations,,
249,,,,,,,,,,,,,,,,,,,,,,,,,,preparing and using milling machines,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,preparing and using grinding machines,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,preparing and proving cnc machine tool programs,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,preparing and using industrial robots,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,maintaining mechanical devices and equipment,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,assembling and testing fluid power systems,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,maintaining fluid power equipment,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,producing platework components and assemblies,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,cutting and shaping materials using thermal cutting equipment,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,preparing and proving cnc fabrication machine tool programs,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,preparing and using cnc fabrication machinery,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,preparing and using manual flame brazing and braze  welding equipment,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,producing electrical or electronic engineering drawings using a cad system,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,wiring and testing electrical equipment and circuits,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,forming and assembling electrical cable enclosure and support systems,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,"assembling, wiring and testing electrical panels/components mounted in enclosures",,
265,,,,,,,,,,,,,,,,,,,,,,,,,,assembling and testing electronic circuits,,
266,,,,,,,,,,,,,,,,,,,,,,,,,,maintaining electrical equipment/systems,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,maintaining electronic equipment/systems,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,maintaining and testing process instrumentation and control devices,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,wiring and testing programmable controller based systems,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,"using wood for pattern, modelmaking and other engineering applications",,
271,,,,,,,,,,,,,,,,,,,,,,,,,,"assembling pattern, model and engineering woodwork components",,
272,,,,,,,,,,,,,,,,,,,,,,,,,,producing composite mouldings using wet lay-up techniques,,
273,,,,,,,,,,,,,,,,,,,,,,,,,,producing composite mouldings using pre-preg techniques,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,finishing surfaces by applying coatings or coverings,,
275,,,,,,,,,,,,,,,,,,,,,,,,,,producing cad models (drawings) using a cad system,,
276,,,,,,,,,,,,,,,,,,,,,,,,,,producing engineering project plans,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,using computer software packages to assist with engineering activities,,
278,,,,,,,,,,,,,,,,,,,,,,,,,,conducting business improvement activities,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,"general machining, fitting and assembly applications",,
280,,,,,,,,,,,,,,,,,,,,,,,,,,general electrical and electronic engineering applications,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,general maintenance engineering applications,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,joining public service vehicle components by mechanical processes,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,assist in preparing resources for permanent way activities,,
284,,,,,,,,,,,,,,,,,,,,,,,,,,undertake routine maintenance of the permanent way,,
285,,,,,,,,,,,,,,,,,,,,,,,,,,undertake replacement of permanent way assets and components,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,install new permanent way assets,,
287,,,,,,,,,,,,,,,,,,,,,,,,,,dismantle and remove permanent way assets and components,,
288,,,,,,,,,,,,,,,,,,,,,,,,,,"prepare small plant, equipment and tools for permanent way renewal or maintenance",,
289,,,,,,,,,,,,,,,,,,,,,,,,,,carry out routine inspection of the permanent way infrastructure,,
290,,,,,,,,,,,,,,,,,,,,,,,,,,carry out routine adjustments to permanent way assets,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,restore track geometry to operational condition by the manual repair of permanent way assets,,
292,,,,,,,,,,,,,,,,,,,,,,,,,,carry out non-destructive testing of rails,,
293,,,,,,,,,,,,,,,,,,,,,,,,,,deal with incidents and contingencies within the railway environment,,
294,,,,,,,,,,,,,,,,,,,,,,,,,,provide safe working systems for permanent way maintenance or renewal activities,,
295,,,,,,,,,,,,,,,,,,,,,,,,,,reinstate the work area after permanent way engineering activities,,
296,,,,,,,,,,,,,,,,,,,,,,,,,,secure the work area during and following permanent way maintenance or renewal activities,,
297,,,,,,,,,,,,,,,,,,,,,,,,,,plan protection requirements in the rail industry,,
298,,,,,,,,,,,,,,,,,,,,,,,,,,implement protection arrangements in the rail industry,,
299,,,,,,,,,,,,,,,,,,,,,,,,,,supervise the non-destructive testing of rails,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,prepare work areas for permanent way engineering activities,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,undertake detailed inspection of the permanent way infrastructure,,
302,,,,,,,,,,,,,,,,,,,,,,,,,,assess the performance and condition of permanent way assets,,
303,,,,,,,,,,,,,,,,,,,,,,,,,,monitor the performance and condition of permanent way assets,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,gather and interpret information needed for permanent way engineering activities,,
305,,,,,,,,,,,,,,,,,,,,,,,,,,plan permanent way activities,,
306,,,,,,,,,,,,,,,,,,,,,,,,,,establish track geometry and position,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,supervise the obtaining and preparing of materials and components needed for the renewal or maintenance of the permanent way,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,"supervise the preparation of small plant, measuring equipment and tools for permanent way renewal and maintenance",,
309,,,,,,,,,,,,,,,,,,,,,,,,,,implement and monitor safe working systems for permanent way maintenance or renewal activities,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,allocate and monitor resources for permanent way engineering activities,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,ensure that the track is fit for operational purposes,,
312,,,,,,,,,,,,,,,,,,,,,,,,,,supervise the permanent way engineering work of a team on site,,
313,,,,,,,,,,,,,,,,,,,,,,,,,,establish information for signal engineering testing,,
314,,,,,,,,,,,,,,,,,,,,,,,,,,plan signal maintenance testing activities,,
315,,,,,,,,,,,,,,,,,,,,,,,,,,transfer responsibility of signalling assets,,
316,,,,,,,,,,,,,,,,,,,,,,,,,,plan telecoms maintenance testing activities,,
317,,,,,,,,,,,,,,,,,,,,,,,,,,transfer responsibility of telecoms assets,,
318,,,,,,,,,,,,,,,,,,,,,,,,,,rectify electrical faults in bus/coach systems and components;rectify mechanical faults in bus/coach systems and components,,
319,,,,,,,,,,,,,,,,,,,,,,,,,,carry out scheduled electrical maintenance on buses/coaches;carry out scheduled body maintenance on buses / coaches;carry out scheduled mechanical maintenance on buses/coaches,,
320,,,,,,,,,,,,,,,,,,,,,,,,,,diagnose mechanical faults in bus/coach systems and components;diagnose electrical faults in bus/coach systems and components;recondition electrical components in buses/coaches,,
321,,,,,,,,,,,,,,,,,,,,,,,,,,repair mechanical/electrical faults in ancillary systems and components in buses/coaches;repair electrical faults in bus/coach systems and components,,
322,,,,,,,,,,,,,,,,,,,,,,,,,,plan for further professional development in the rail engineering industry,,
323,,,,,,,,,,,,,,,,,,,,,,,,,,carry out maintenance on electrification and plant assets;assist in preventative and corrective maintenance of traction cabling systems;carry out preventative and corrective maintenance of traction cabling systems ;carry out maintenance on electrification and plant equipment and components;carry out installation of electrification and plant equipment and components,,
324,,,,,,,,,,,,,,,,,,,,,,,,,,restore the contact systems to operational condition in the rail engineering industry ;establish the operational condition of electrification and plant assets,,
325,,,,,,,,,,,,,,,,,,,,,,,,,,establish information for signal engineering testing;establish information for telecoms engineering testing;establish information for signal engineering installation;establish information for telecoms engineering installation,,
326,,,,,,,,,,,,,,,,,,,,,,,,,,determine requirements for the safe access to work locations for telecoms engineering;determine requirements for safe access to work locations for signal engineering,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,allocate and monitor resources for signal engineering activities;allocate and monitor resources for telecoms engineering activities,,
328,,,,,,,,,,,,,,,,,,,,,,,,,,reinstate the work area after telecoms engineering activities;reinstate the work area after signal engineering activities,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,conduct functional testing of newly installed signalling systems;conduct maintenance testing of signalling assets,,
330,,,,,,,,,,,,,,,,,,,,,,,,,,transfer responsibility of telecoms assets;transfer responsibility of signalling assets,,
331,,,,,,,,,,,,,,,,,,,,,,,,,,contribute to technical leadership of telecoms engineering activities;contribute to technical leadership of signal engineering activities,,
332,,,,,,,,,,,,,,,,,,,,,,,,,,organise local signal engineering activities;organise local telecoms engineering activities,,
333,,,,,,,,,,,,,,,,,,,,,,,,,,carry out planned maintenance of telecoms assets;establish compliance with specifications for newly installed telecoms assets;establish compliance with specifications for maintained telecoms assets,,
334,,,,,,,,,,,,,,,,,,,,,,,,,,determine the requirements for engineering activities,,
335,,,,,,,,,,,,,,,,,,,,,,,,,,schedule engineering activities ,,
336,,,,,,,,,,,,,,,,,,,,,,,,,,maintaining mechanical equipment,,
337,,,,,,,,,,,,,,,,,,,,,,,,,,maintaining electrical equipment,,
338,,,,,,,,,,,,,,,,,,,,,,,,,,modifying or rewiring electrical circuits;repair or modify traction and rolling stock electrical circuits,,
339,,,,,,,,,,,,,,,,,,,,,,,,,,testing marine electrical and electronic equipment and circuits;testing marine electrical equipment and circuits;carrying out tests on marine electrical and electronic equipment and circuits;carrying out tests on marine electrical equipment and circuits,,
340,,,,,,,,,,,,,,,,,,,,,,,,,,producing replacement components for maintenance activities,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,producing aircraft engine turbine assemblies;producing aircraft engine gearbox assemblies;producing aircraft detail assemblies;producing aircraft engine major assemblies;producing aircraft engine compressor assemblies;producing aircraft engine combustion assemblies;dressing aircraft engines;producing aircraft piston engine assemblies,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,drilling and finishing holes in composite and/or metallic aircraft structures or components;drilling and finishing holes in aircraft components,,
343,,,,,,,,,,,,,,,,,,,,,,,,,,"removing and replacing components of aircraft internal and external lighting systems;removing and replacing components of aircraft armament systems;removing and replacing components of aircraft communication systems;removing and replacing avionic indication and gauging components in aircraft systems;removing and replacing components of aircraft radar systems;removing and replacing components of aircraft electrical power control, distribution and protection systems;removing and replacing components of aircraft passive warning and optical/surveillance systems;removing and replacing components of aircraft pitot static systems;removing and replacing components of aircraft navigational and computing systems",,
344,,,,,,,,,,,,,,,,,,,,,,,,,,"carrying out tests on aircraft environmental systems;carrying out tests on aircraft communication systems;carrying out tests on aircraft passive warning and optical/surveillance systems;carrying out tests on aircraft radar systems;carrying out tests on aircraft pitot static systems;carrying out tests on aircraft flight guidance and control systems;carrying out tests on aircraft fuel and storage systems;carrying out tests on aircraft pneumatic and vacuum systems;carrying out tests on aircraft navigational and computing systems;carrying out tests on aircraft hydraulic systems;carrying out tests on aircraft electrical power control, distribution and protection systems",,
345,,,,,,,,,,,,,,,,,,,,,,,,,,"removing and replacing components of aircraft environmental systems;removing and replacing components of aircraft power transmission systems;removing and replacing aircraft power plant and components;removing and replacing components of aircraft cabin systems, equipment and furnishings;removing and replacing components of aircraft hydraulic systems",,
346,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out checks and tests on replaced airframe major assemblies;carrying out tests on aircraft power transmission systems,,
347,,,,,,,,,,,,,,,,,,,,,,,,,,overhauling aircraft gas turbine engines by module replacement;stripping and rebuilding prototype engines for test;overhauling aircraft gas turbine engine gearbox assemblies;overhauling aircraft gas turbine engine combustion assemblies;stripping and rebuilding engines for motorsport vehicles;overhauling aircraft gas turbine engine compressor assemblies;overhauling aircraft gas turbine engine turbine assemblies;overhauling aircraft piston engines,,
348,,,,,,,,,,,,,,,,,,,,,,,,,,"overhauling components of aircraft rotor heads, blades and power transmission equipment;overhauling components of aircraft oxygen equipment",,
349,,,,,,,,,,,,,,,,,,,,,,,,,,"overhauling components of aircraft hydraulic equipment;overhauling major components of aircraft airframes;overhauling components of aircraft pneumatic, vacuum and environmental equipment;overhauling components of aircraft fuel and lubrication equipment",,
350,,,,,,,,,,,,,,,,,,,,,,,,,,producing aeronautical electrical engineering drawings using computer aided techniques;producing aeronautical electronic engineering drawings using computer aided techniques,,
351,,,,,,,,,,,,,,,,,,,,,,,,,,producing aeronautical mechanical engineering drawings using computer aided techniques;produce detailed drawings using computer aided techniques,,
352,,,,,,,,,,,,,,,,,,,,,,,,,,producing aircraft composite mouldings using atl/afp laminating techniques;producing aircraft composite mouldings using resin film infusion techniques;using pre-preg laminating techniques to produce composite mouldings;using resin film infusion techniques to produce composite mouldings;producing aircraft composite mouldings using pre-preg laminating techniques;using atl/afp laminating techniques to produce composite mouldings,,
353,,,,,,,,,,,,,,,,,,,,,,,,,,trimming aircraft composite mouldings using hand tools;using hand tools to trim composite mouldings,,
354,,,,,,,,,,,,,,,,,,,,,,,,,,maintaining fuel systems on aircraft;maintaining hydraulic systems on aircraft;maintaining turbine engines on aircraft;maintaining oxygen systems on aircraft;maintaining propeller/propulsor systems on aircraft;maintaining rotor systems on rotorcraft;maintaining engine water injection systems on aircraft;maintaining auto flight systems on aircraft;maintaining flight control systems on rotorcraft;maintaining power plant on aircraft;maintaining rotor blade and tail pylon folding systems on rotorcraft;maintaining indicating and recording systems on aircraft;maintaining communication systems on aircraft;maintaining wings on aircraft;maintaining pneumatic systems on aircraft;maintaining air conditioning systems on aircraft;maintaining engine starting systems on aircraft;maintaining vacuum systems on aircraft;maintaining radar systems on aircraft;maintaining landing gear on aircraft;maintaining cabin systems on aircraft;maintaining engine exhaust systems on aircraft;maintaining lubricating oil systems on aircraft;maintaining engine indicating systems on aircraft;maintaining ice and rain protection systems on aircraft;maintaining electrical power systems on aircraft;maintaining lighting systems on aircraft;maintaining stabilisers on aircraft;maintaining equipment and furnishings on aircraft;maintaining reciprocating engine turbo-supercharging systems on aircraft;maintaining bleed air systems on aircraft;maintaining fire protection systems on aircraft;maintaining rotor drive systems on rotorcraft,,
355,,,,,,,,,,,,,,,,,,,,,,,,,,preparing holding primer for application;preparing marine coatings for application;preparing marine coating materials for application;preparing coating materials for application on yachts and boats,,
356,,,,,,,,,,,,,,,,,,,,,,,,,,producing fillet welded joints using a manual welding process;welding pipe/tube using multiple manual arc welding processes;tack welding marine plate using a manual welding process;welding plate using multiple manual arc welding processes;producing socket and flange fillet welded joints in low pressure marine pipework using a manual welding process;joining marine materials/structures using semi-automatic mig/mag and flux cored arc processes;welding marine materials and structures using the manual metal arc process;welding marine materials and structures using manual tig and plasma arc welding processes;tack welding fillet joints in marine steelwork;tack welding marine plate using a manual/semi-automatic welding process;joining marine materials/structures using manual tig and plasma-arc welding processes;producing fillet welded joints using a manual/semi-automatic welding process;joining components for commercial and passenger carrying vehicles using a manual welding process;joining marine materials/structures using the manual metal arc (mma) welding process;welding marine materials and structures using semi-automatic mig/mag and;welding marine pipe/tube using multiple manual arc welding processes;welding marine plate and structures using multiple manual arc welding processes;assembling jig and fixture structures using a manual welding process;joining materials by the manual mig/mag and other continuous wire processes;producing socket and flange fillet welded joints in pipe using a manual welding process,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,assembling components for experimental vehicle engineering by resistance spot welding;joining marine sheet metal materials using resistance spot welding;joining materials by resistance spot welding;assembling components for commercial and passenger carrying vehicles by resistance spot welding;using resistance spot welding to join marine sheet metal materials,,
358,,,,,,,,,,,,,,,,,,,,,,,,,,shaping marine wooden components using hand tools;producing marine wooden components using hand tools;producing/finishing wooden structural components for yachts and boats;producing wooden structural components for yachts and boats using machines;producing marine outfitting components in wood based materials;producing furniture and structural components for leisure vehicles;producing wooden furniture/outfitting components for yachts and boats using;producing marine wooden components using machines;shaping marine wooden components using machines;producing/finishing wooden furniture/outfitting components for yachts and,,
359,,,,,,,,,,,,,,,,,,,,,,,,,,assembling wooden furniture/outfitting units for yachts and boats;assembling furniture and structural units for leisure vehicles;producing assemblies of marine wooden components;assembling marine wooden components;producing marine wooden outfitting assemblies,,
360,,,,,,,,,,,,,,,,,,,,,,,,,,testing and calibrating instrumentation and control equipment and circuits;carrying out the testing and calibration of instrumentation control equipment and circuits,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,solve engineering or manufacturing problems,,
362,,,,,,,,,,,,,,,,,,,,,,,,,,identifying engineering design requirements of clients,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,producing engineering specifications,,
364,,,,,,,,,,,,,,,,,,,,,,,,,,establish an engineering design brief,,
365,,,,,,,,,,,,,,,,,,,,,,,,,,specify methods and procedures to achieve engineering requirements,,
366,,,,,,,,,,,,,,,,,,,,,,,,,,providing technical advice and guidance on engineering or manufacturing requirements,,
367,,,,,,,,,,,,,,,,,,,,,,,,,,develop a research methodology for engineering,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,"configure engineering products, processes or facilities",,
369,,,,,,,,,,,,,,,,,,,,,,,,,,"plan and decommission engineering equipment, processes or facilities",,
370,,,,,,,,,,,,,,,,,,,,,,,,,,investigate incidents relating to engineering activities,,
371,,,,,,,,,,,,,,,,,,,,,,,,,,leading electrical/electronic product manufacturing or testing activities ;leading mechanical manufacturing or inspection activities,,
372,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out maintenance activities on mechanical equipment within an engineered system ;carrying out maintenance activities on mechanical equipment,,
373,,,,,,,,,,,,,,,,,,,,,,,,,,implementing quality control systems and procedures in an engineering environment,,
374,,,,,,,,,,,,,,,,,,,,,,,,,,planning engineering activities,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,welding marine materials and structures using the manual oxy/fuel gas;joining materials by the manual gas welding process;welding materials by the manual gas welding process;welding materials by the oxy/fuel gas welding process;joining marine materials/structures using the manual oxy/fuel gas welding process;joining plastics using manual welding processes,,
376,,,,,,,,,,,,,,,,,,,,,,,,,,heat treating materials for fabrication activities,,
377,,,,,,,,,,,,,,,,,,,,,,,,,,cutting and shaping using cnc plasma or gas cutting machines;cutting and shaping materials using nc/cnc laser profiling machines;cutting and shaping materials using cnc water jet cutting machines;cutting and shaping materials using cnc laser profiling machines,,
378,,,,,,,,,,,,,,,,,,,,,,,,,,producing marine sheet metal assemblies;producing sheetmetal assemblies;assembling marine sheet metal components;assembling fabricated components to produce marine sub-assemblies;producing major structural components/sub-assemblies;producing sheet metal assemblies;producing platework assemblies;producing pipe fabrications;producing marine sheet metal outfitting assemblies,,
379,,,,,,,,,,,,,,,,,,,,,,,,,,joining fabricated components using mechanical fasteners;joining marine sheet metal components using mechanical fasteners;assembling components using mechanical fasteners;using mechanical fasteners to join marine sheet metal components,,
380,,,,,,,,,,,,,,,,,,,,,,,,,,joining marine materials and components using adhesives;bonding marine materials and components using adhesives;bonding engineering materials using adhesives,,
381,,,,,,,,,,,,,,,,,,,,,,,,,,cutting marine steelwork using shearing machines;cutting plate and sections using shearing machines,,
382,,,,,,,,,,,,,,,,,,,,,,,,,,cutting materials using hand operated thermal cutting equipment;cutting marine steelwork using handheld thermal cutting equipment;cutting and shaping materials using gas cutting machines;cutting and shaping marine steelwork using gas cutting machines;cutting and shaping materials using portable thermal cutting equipment,,
383,,,,,,,,,,,,,,,,,,,,,,,,,,cutting materials using saws and abrasive discs;cutting marine steelwork using saws and abrasive discs,,
384,,,,,,,,,,,,,,,,,,,,,,,,,,shaping marine steelwork using power rolling machines;forming marine components using power rolling machines;forming platework using power rolling machines,,
385,,,,,,,,,,,,,,,,,,,,,,,,,,drilling and finishing holes in marine steelwork;producing holes using drilling machines;producing and finishing holes using drilling machines,,
386,,,,,,,,,,,,,,,,,,,,,,,,,,forming structural sections using machines,,
387,,,,,,,,,,,,,,,,,,,,,,,,,,erecting structural steelwork;assembling structural steelwork,,
388,,,,,,,,,,,,,,,,,,,,,,,,,,forming pipework by machine bending,,
389,,,,,,,,,,,,,,,,,,,,,,,,,,forming marine sheet metal components using hand and machine tools;forming sheetmetal using hand and machine tools;bending and forming marine sheet metal using hand and machine tools,,
390,,,,,,,,,,,,,,,,,,,,,,,,,,heat treating materials for marine fabrication activities;heat treating materials for fabrication activities,,
391,,,,,,,,,,,,,,,,,,,,,,,,,,"slinging, lifting and moving materials, machinery and components in a marine environment;slinging, lifting and moving materials and components;moving materials and components in a marine environment",,
392,,,,,,,,,,,,,,,,,,,,,,,,,,welding materials by the manual mig/mag and other continuous wire processes;welding materials by the manual metal arc process;welding materials by the manual tig and plasma arc welding process;welding materials by the semi-automatic mig/mag and flux cored arc processes,,
393,,,,,,,,,,,,,,,,,,,,,,,,,,operating cnc fabrication equipment;operating cnc fabrication machines,,
394,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out the installation of cable runs and circuits in marine structures;installing cable runs and circuits in marine structures,,
395,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out modifications and rewiring of marine electrical circuits;modifying and rewiring electrical circuits in yachts and boats;modifying and rewiring marine electrical circuits,,
