URN,NOS Title,Skills extracted
SFHAK3,Enable individuals to access housing and accommodation,Management; Promote; Initiative; Storage; Social services; Risk assessment; Attend meeting
SFHAL1,"Link an individual to follow up care after an acute, severe allergic reaction",Management; History; Age; Anaphylaxis
SFHAL14,Advise an individual on exposure to allergens,Management; Allergy test; Risk assessment; Disease management; Reactivity
SFHAL19,"Identify persistence, resolution and development of food and food-related allergy",Management; History; Food; Natural history; Antibody
SFHAL2,Recognise when to consider allergy in an individual,Management; Primary care; History
SFHAL3,Assess the likelihood of allergy in an individual,Management; Allergy test; Primary care; History; Food
SFHAL8,Interpret tests to check allergy diagnosis,Allergy test; History; Food; Yield
SFHBDS1,Undertake pre donation assessment at blood/blood component donation sessions,Apheresis; Corporate governance; Health screening; Collection
SFHBDS13,Determine the individual’s requirements and obtain information related to potential donation of blood or blood components,Corporate governance; History; Health screening
SFHBDS15,Communicate the assessment decision regarding an individual’s fitness and suitability to donate blood or blood components,Corporate governance; History; Health screening; Instruction
SFHBDS4,"Conclude the collection of blood or blood component donations and support, advise and monitor donors following donation procedures",Apheresis; Corporate governance; Instruction; Food; Blood sample; Storage; Collection; Transport
SFHBDS6,Contribute to the promotion and effective functioning of blood and blood component sessions and services,Apheresis; Promote; Corporate governance; Collection; Smooth
SFHBDS7,Register donors at donation sessions,Management; Corporate governance; Information systems; Autologous; Collection
SFHBDS8,Organise information and enter donation outcomes,Management; Corporate governance; Information systems; Autologous; Collection
SFHBDS9,"Prepare the documentation, donations and samples for transport",Apheresis; Corporate governance; Storage; Collection; Transport
SFHBE1,Establish information management and communication systems,Management; Cost benefit analysis; Information systems; Storage; Collection
SFHCC03,Care for individuals with urethral catheters,Corporate governance; Cleanliness; Anaesthetic; Sterility; Anatomy; Drainage; Urinalysis; Catheterisation; Physiology
SFHCHDEF2,Plan to assess people with coronary heart disease (chd) and those at significant risk of developing chd,
SFHCHDHA11,Monitor and evaluate individuals' exercise and physical activities,Cost; Listen; Cardiac rehabilitation
SFHCHDHB1,Recognise indications of heart conditions and take appropriate action,Primary care; History; First aid; Listen
SFHCHDHK1,Prepare prescriptions for prescription-only medicines,Cost; Prescription; Compliance; Pharmacist
SFHCHDHN1,Help individuals prepare psychologically for changes,Religious belief; Listen; React
SFHCHEM20,Provide ongoing care and support to individuals during anti-cancer therapy,Management; Therapy; History; Infection control; Clinical trial; Risk management; Prescription; Storage; Medical terminology; Regimen
SFHCHS105,Agree the nature and purpose of investigation into an individual’s health status,Parameter; History; Treatment planning; Clinical practice
SFHCHS11,Undertake personal hygiene for individuals unable to care for themselves,Hospice; Aseptic; Aseptic technique; Corporate governance; Instruction; Anatomy; Intensive care; Trauma; Physiology
SFHCHS110,Assess individuals’ suitability to undergo imaging procedure,Parameter; Infection control; Treatment planning; Clinical practice
SFHCHS112,Select imaging techniques/procedures for individual investigation,Equipment selection; Treatment planning; Select type
SFHCHS119,Select assessment and investigative techniques/procedures to meet individuals’ needs,Risk management; Treatment planning; Clinical practice
SFHCHS120,Establish an individual’s suitability to undergo an intervention,Informed consent; Contraindication; Risk assessment; Treatment planning; Clinical practice
SFHCHS128,Develop evidence-based clinical guidelines,Validation; Articulate; Synthesis; Cost; Collection
SFHCHS13,Undertake wound drainage care,Aseptic technique; Corporate governance; Instruction; Sterility; Anatomy; Drainage; Collection; Trauma; Physiology
SFHCHS133,Remove wound drains,Aseptic technique; Corporate governance; Anatomy; Drainage; Physiology
SFHCHS134,Undertake vision screening,Corporate governance; Age; Surveillance; Vision
SFHCHS137,Implement mobility and movement programmes for individuals to restore optimum movement,Promote; Record keeping; Mobility; Pathology
SFHCHS14,Remove wound closure materials from individuals,Aseptic technique; Surgery; Corporate governance; Anatomy; Asepsis; Physiology
SFHCHS140,Select assistive devices or assistive technology to meet an individual’s needs,Assistive technology; Trial; Cost
SFHCHS146,Monitor individuals’ progress in relation to managing their body weight and nutrition,Management; Corporate governance; Additive; Food; Body weight; Cooking; Deficit; Record keeping; Anatomy; Metabolism; Nutrition; Physiology
SFHCHS155,Assist and support individuals to use augmentative and alternative communication (aac) systems,Parameter; Fault; Transport
SFHCHS156,Develop activities and materials to enable individuals to achieve specified communication goals,Corporate governance; Therapy; Learning development; Age; Task analysis; Record keeping
SFHCHS167,Obtain valid consent or authorisation,Information governance; Capture; Storage
SFHCHS168,Obtain a patient/client history,Medical assistance; History; Capture
SFHCHS172,Develop and optimise methods and techniques for delivery of services,Management; Instruction; Audit
SFHCHS173,Develop care pathways for patient management,Management; Patient care; Cost; Audit
SFHCHS175,Advise on protocols for healthcare science investigations and procedures,
SFHCHS177,Advise on access to and use of services,
SFHCHS178,Determine investigations required to meet clinical need,History; Pathophysiology; Risk assessment; Treatment planning
SFHCHS181,"Package biomedical specimens, samples and donations prior to transportation",Infection control; Packaging; Transport
SFHCHS183,Receive specimens for preparation,Surgery; Breakage; Risk assessment
SFHCHS185,Perform basic specimen/sample preparation,Sample preparation; Risk assessment; Fault
SFHCHS186,Store specimens and samples,Audit trail; Storage; Collection
SFHCHS193,Perform standard tests using manual methodologies or commercial kits,Instruction; Reagent; Calibration; Risk assessment
SFHCHS199,"Evaluate new and existing products, equipment, medical devices and associated systems in healthcare",Parameter; History; Environmental issue; Cost; Medical device
SFHCHS200,Install equipment and associated systems within healthcare,Promote; Instruction; Installation
SFHCHS201,"Commission new products, equipment, medical devices and associated systems within healthcare",Parameter; Instruction; Medical device
SFHCHS202,"Acceptance test products, equipment, medical devices and associated systems within healthcare",Parameter; Instruction; Interlock; Medical device; Compliance; Test equipment; Statistical method
SFHCHS203,"Validate equipment, medical devices, products and associated systems within healthcare",Validation; Parameter; Medical device; Compliance; Risk assessment
SFHCHS217,Perform point of care testing,Parameter; Traceability; Risk assessment; Pathology; Decontamination
SFHCHS218,Obtain images to assist healthcare interventions,Information governance; Parameter; Capture; Medical device; Physic; Acquisition; Therapeutic intervention; Post processing; Anatomy; Storage; Compliance; Risk assessment; Fault; Data collection; Physiology
SFHCHS221,Report results from healthcare investigations,Information governance; Management; Validation; Database; Traceability; Request form
SFHCHS225,Implement a treatment plan,Information governance; Parameter; Medical device
SFHCHS227,Conduct health screening programmes,Information governance; Health screening; Risk assessment
SFHCHS229,"Assess individuals’ needs and circumstances and evaluate the risk of abuse, failure to protect and harm to self and others",Promote; Risk assessment; Care planning
SFHCHS234,Implement specific parts of individualised programmes of care,Promote; Comment; Rehabilitation; Crisis intervention
SFHCHS239 ,Enable individuals to use assistive devices and assistive technology,Management; Assistive technology; Self care; Trial; Installation
SFHCHS25,Carry out blood collection from fixed or central lines,Hospice; Corporate governance; Central; Dispatch; Blood sample; Collection; Asepsis
SFHCHS32,Agree and implement changes to the dialysis therapy,Dialysis; Corporate governance; Social work; Therapy; Parameter; Make decision; Machine set; Religious belief; Nutrition
SFHCHS38,Plan assessment of an individual’s health status,Management; Informed consent; Anatomy; Pathology; Schedule; Physiology
SFHCHS39,Assess an individual’s health status,Information governance; History; Infection control; Risk management; Calibration; Medical device; Anatomy; Physiology
SFHCHS42,Identify individuals with or at risk of developing long term conditions or related ill health,
SFHCHS45,Agree courses of action following assessment to address health and wellbeing needs of individuals,Information sharing; Age; Fear
SFHCHS48,Communicate significant news to individuals,Management; Emotional distress; Storage; Body language
SFHCHS51,Discontinue infusions delivered subcutaneously and remove syringe driver or infusion device,Cannula; Instruction; Infection control; Risk management; Storage; Infusion; Medical terminology; Fault
SFHCHS53,Evaluate the delivery of care plans to meet the needs of individuals,Management; Information sharing; Storage; Medical terminology; Smooth; Prognosis; Coordination
SFHCHS56,Provide clinical information to individuals,Management; Informed consent; Anatomy; Clinical practice; Physiology
SFHCHS59,Respond to referrals of individuals with health conditions,Management; Library; Informed consent; Record keeping; Anatomy; Clinical practice; Physiology
SFHCHS60,Assess individuals with long term conditions,Management; Informed consent; Anatomy; Clinical practice; Physiology
SFHCHS61,Co-ordinate the care of individuals with long term conditions,Management; Informed consent; Record keeping; Clinical practice
SFHCHS63,Enable individuals with long term conditions to manage their symptoms,Management; Therapy; Informed consent; Record keeping; Anatomy; Clinical practice; Physiology
SFHCHS64,Enable individuals to manage changes in their long term conditions,Management; Therapy; Informed consent; Anatomy; Clinical practice; Physiology
SFHCHS78,Administer oxygen safely and effectively,Therapy; Instruction; Risk management; Contraindication; Prescription; Fault
SFHCHS79,Support individuals who express a wish to stop smoking,History; Training; Articulate; Fear; Motivational interviewing; Contraindication; Initiative; Create environment; Smoking cessation; Listen
SFHCHS8,Insert and secure urethral catheters and monitor and respond to the effects of urethral catheterisation,Cleanliness; Instruction; Infection control; Anaesthetic; Anatomy; Drainage; Trauma; Catheterisation; Physiology
SFHCHS83,Interpret the findings of healthcare investigations,Information governance; History; Clinical feature; Pathology; Physiology
SFHCNH25,Provide healing to clients,Promote; Energetic; Therapy; Anatomy; Animal position; Aftercare; Physiology
SFHCS13,Deliver interventions for children and young people and those involved in their care,Promote; Age; Make decision
SFHCS22,Support children and young people to cope with changes that impact on their health and well-being,Age; Fear; Make decision
SFHCS24,"Contribute to meeting the nutritional needs of babies, children and young people",Promote; Macro; Age; Food; Make decision; Nutrition; Pathology
SFHCS25,"Recognise and manage adverse signs and symptoms in babies, children and young people",Management; Parameter; Age; Fear
SFHCS31,Review and evaluate the effectiveness of care plans in meeting the health and well-being needs of children and young people,Information sharing; Age; Make decision
SFHCS34,Supply injecting and other relevant equipment to young people who use substances and facilitate safe disposal,Age; Make decision; Storage
SFHCVDEF3,Carry out assessment with individuals at risk of developing cardiovascular disease,History; Informed consent; Anatomy; Listen; Biochemistry; Physiology
SFHCYST4,Use cystodiathermy via flexible cystoscope,Management; History; Switch; Cystoscopy; Fault; Cleaning; Vision
SFHDEC5,Carry out sterilisation and disinfection of re-useable medical devices,Corporate governance; Book; Parameter; Unload; Instruction; Traceability; Medical device; Storage; Packaging; Decontamination
SFHDIABED01,Provide advice and information to men with diabetes about erectile dysfunction,History; Storage; React
SFHDIABHA5,"Help an individual understand the effects of food, drink and exercise on their diabetes",Management; Food; Education; Retinopathy; Nutrition
SFHDIABHD7,Monitor and support a care plan for an individual with diabetes admitted to a general ward,Management; Education; Retinopathy; Nutrition
SFHEC13,Provide clinical care advice and information to others pending the attendance of emergency assistance,First aid; Storage; Emergency services; Trauma
SFHEC21,Contribute to social care during emergency situations,Promote; Informed consent; Sort
SFHEUSC02,Obtain supporting information to inform the assessment of an individual,Acting; Medical assistance; History; Capture; Informed consent; Sort
SFHEUSC08,Prioritise the interventions to be performed for an individual,Management; Pain management; Informed consent; Contraindication; Anatomy; Pathology; Clinical practice; Physiology
SFHEUSC17,Manage emergency situations that occur as a result of an eusc intervention,Management; Instrumentation; Asepsis
SFHEUSC34,Provide musculo-skeletal support,Muscle; Informed consent; Asepsis; Nervous systems
SFHEUSC50,Monitor and maintain the status of an individual during their post intervention transportation,Parameter; Infection control; Anatomy; Pathology; Transport; Physiology
SFHEUSC53,Conduct a pre-intervention assessment of an individual,Informed consent; Anatomy; Risk assessment; Pathology; Physiology
SFHGEN100,Assist individuals to evaluate and contact support networks,Acting; Promote; Service provision; Maximum
SFHGEN101,Enable support networks to develop their effectiveness,Acting; Promote; Service provision; Maximum
SFHGEN102,"Establish, sustain and disengage from relationships with the families of children and young people",Empower; Proof; Central; Welfare
SFHGEN104,Enable individuals to maintain the safety and security of their living environment,Promote; Cost; Tolerance; Cleaning
SFHGEN108,Challenge injustice and inequalities in access to mainstream provision for people with specific health needs,Promote; Sort; Tolerance
SFHGEN111,"Enable individuals, their family and friends to explore and manage change",Acting; Management; Sort
SFHGEN113,Identify trends and changes in the specific health and wellbeing needs of a population and the effectiveness of different means of meeting their needs,Sort; Equity; Collection; Data collection
SFHGEN115,"Assess the needs of the population to determine those who require, or would benefit from, specific health and wellbeing services",Parameter; Sort; Equity
SFHGEN116,Prioritise interventions against available resources and the needs of the population,Service provision; Equity; Workforce planning
SFHGEN118,"Enable groups, communities and organisations to determine and plan how to address their issues and concerns",Promote; Constitution; Maximum; Community development; Resourcing
SFHGEN119,"Act as a resource to groups, communities and organisations as they address their issues and concerns around health and wellbeing",Acting; Maximum; Sort; Community development
SFHGEN124,Lead the development of inter-agency services for addressing health and wellbeing needs,Management; Promote; Cost; Information systems
SFHGEN13,Synthesise new knowledge into the development of your own practice,Embedding; Learning style; It strategy
SFHGEN134 ,"Contribute to the prevention and management of abusive, aggressive and challenging behaviour",Management; Promote; Sort; Risk assessment
SFHGEN16,Inform an individual of discharge arrangements,Corporate governance; Sort; Social services
SFHGEN17,Contribute to the discharge of an individual into the care of another service,Corporate governance; Social services; Transport
SFHGEN23,Monitor your own work practices,Audit; Monitoring result; Compliance
SFHGEN26,Deal with financial transactions within a health facility,Financial transaction; Book; Instruction; Transaction; Charity shop; Petty cash; Scheme
SFHGEN27,"Develop, sustain and evaluate collaborative working with other organisations",Corporate governance; Service improvement; Storage
SFHGEN28,Discharge and transfer individuals from a service or your care,Sort; Discharge planning; Transport
SFHGEN30,Manage patient flow,Management; Capacity management; Patient safety; Patient flow; Intensive care; Smooth; Schedule
SFHGEN31,"Initiate, and participate in, networks and discussion groups",Information governance; Promote; Capture; Discussion group; Knowledge management
SFHGEN32,"Search information, evidence and knowledge resources and communicate the results",Information governance; Capture; Knowledge management
SFHGEN36,Make use of supervision,
SFHGEN4,Prepare individuals for healthcare activities,Information governance; Instruction; Infection control
SFHGEN49,Promote the development of health care services in the local area,Innovation; Cost; Need assessment
SFHGEN5,Support individuals undergoing healthcare activities,Information governance; Instruction; Infection control; Contraindication; Anatomy; Transport; Physiology
SFHGEN52,Research the needs of the local population for provision of health care services,
SFHGEN53,Support the development of strategies to meet local needs for health care services,Strategic partnership; Need assessment; Vision
SFHGEN58,"Receive requests for assistance, treatment or care",Surgery; Permit; History
SFHGEN6,Manage environments and resources for use during healthcare activities,Information governance; Management; Therapy; Parameter; Cleanliness; Medical device; Storage; Fault; Cleaning
SFHGEN62,Collate and communicate health information to  individuals,Information governance; Record keeping; Collection; Written communication; Listen
SFHGEN67,Establish quality policy and quality assurance systems for the delivery of a service or function,Articulate; Compliance; Vision
SFHGEN74,Assure the effective functioning of radiographic image processing equipment,Corporate governance; Post processing; Repair
SFHGEN75,"Collaborate in the assessment of the need for, and the provision of, environmental and social support in the community",Promote; Corporate governance; Adaptive equipment; Make decision
SFHGEN8,Assist the practitioner to implement healthcare activities,Information governance; Surgery; Infection control; Therapeutic intervention; Record keeping
SFHGEN83,Deliver a trolley service in a healthcare environment,Sort; Stack; Cleaning
SFHGEN84,Contribute to the planning and evaluation of learning activities,Corporate governance; Comment; Sort; Time management; Learning style
SFHGEN87,Provide a table/tray service in a healthcare environment,Promote; Comment; Food
SFHGEN94,"Issue equipment, medical devices, products, associated systems and consumables for use within healthcare",Age; Consumables; Medical device; Decontamination
SFHGEN98,Promote effective communication in a healthcare environment,Active listening; Promote; Written communication
SFHGTC2,"Identify individuals with, or at risk of, genetic conditions",Risk assessment; Genetics; Surveillance
SFHGTC3 ,Gather multi-generational family history information,History; Capture; Record keeping; Genetics
SFHGTC6,Assess the genetic risk associated with a condition,Management; History; Calculation; Risk assessment; Surveillance
SFHHAS3.1,Examine the feet of an individual with diabetes and assess risk status,Management; Education; Nutrition; Pedal; Trauma
SFHHAS3.2,Provide advice and referral to help individuals with diabetes care for their feet,Management; Education; Nutrition
SFHHCS16,Reconstruct the deceased following pathological examination,Collection; Reconstruction; Cleaning
SFHHCS3,Ensure the safety of individuals exposed to radiation within healthcare,Therapy; Radiation protection; Medical device; Physic; Therapeutic intervention; Compliance; Risk assessment; Environmental monitoring
SFHHCS4,Measure an individual’s healthcare radiation exposure to minimise risk,Information governance; Maximum; Parameter; Calibration; Occupational exposure limit; Dosimetry; Compliance; Controlled area; Environmental monitoring
SFHHCS8,Prepare specimens /samples for biological investigations,Breakage; Information systems; Request form; Storage
SFHHCS9,Investigate biological specimens and samples,Parameter; Reference range; Reagent; Calibration; Storage; Risk assessment
SFHHI1,"Identify, and respond to, risks relating to data and information in a health context",
SFHHI16,Facilitate the development of systems to meet health information needs,Information governance; Articulate; Information systems; Systems development
SFHHI2,Assure the quality of data and information in a health context,
SFHHI20,Critically appraise clinical information and evidence,
SFHHI21,"Create, store and retrieve paper based health records",Data quality; Information governance; Management; Information security; Storage
SFHHI22,Organise the retention and destruction of health records,Data quality; Information governance; Management; Information security; Archive
SFHHI23,Arrange the transportation of health records,Data quality; Information governance; Management; Transporting; Information security
SFHHI3,Manage risks relating to data and information in a health context,Information governance; Management; Risk management; Information security
SFHHI4,Manage information governance in a health context,Information governance; Management; Information sharing; Audit; Information security
SFHHI6,Identify and specify data and information requirements in a health context,Data quality; Information governance; Management; Patient safety; Cost
SFHHI7,Collect and validate data and information in a health context,Information governance; Management; Validation; Patient safety; Collection
SFHHI8,Analyse data and information and present outputs in a health context,Information governance; Management; Template; Patient safety
SFHHI9,"Monitor, evaluate and improve the management of data and information in a health context",Information governance; Management; Patient safety; Data management
SFHHP1,"Identify hazards and assess risks to health, wellbeing and safety from information provided by individuals",Prevention programme; Record keeping; Risk assessment; Epidemiology; Surveillance
SFHHP10,"Monitor and review the effectiveness of services and initiatives to protect health, wellbeing and safety",Cost; Initiative; Make decision; Epidemiology
SFHHP11,Gather information to identify people who may have been exposed to a hazard to health,Database; Prevention programme; Record keeping; Listen
SFHHP16,Coordinate the gathering of field information to assess risks to health,Survey; Food; Prevention programme; Inspection; Record keeping; Coordinating
SFHHP17,Contribute to implementing measures to manage an incident or outbreak,Management; Prevention programme; Swift; Record keeping
SFHHP3,"Monitor and analyse routine surveillance data to assess risks to health, wellbeing and safety",Cost; Epidemiology; Surveillance
SFHHP6,"Communicate risks to health, wellbeing and safety to a range of individuals and advise how the risks can be prevented, reduced or controlled",Database; Prevention programme; Record keeping
SFHHP7,"Provide information and advice to at-risk contacts, to protect health, wellbeing and safety",Library; Database; Prevention programme; Record keeping
SFHHPC11,Conduct initial forensic medical assessment of an unexpected death,Promote; Photography; Survey; Collection
SFHHPC6,Undertake intimate body searches,Promote; Mental health; Infection control; Inspection; Compliance; Risk assessment
SFHHPC7,Conduct forensic physical examination of alleged perpetrators of sexual or physical assault,Promote; Mental health; Aftercare
SFHHPC8,Obtain and handle forensic samples,Promote; Mental health; Label sample
SFHHT3,Enable individuals to change their behaviour to improve their own health and wellbeing,Promote; Smart; Stress management; Storage; Data collection
SFHIPC3,"Provide guidance, resources and support to enable staff to minimise the risk of spreading infection",Training; Hand hygiene; Storage; Cleaning
SFHMCN10,Implement individualised maternity care plans,Information governance; Management; Promote; Intrapartum; Cost; Risk management; Social services; Childbirth
SFHMCN11,Review and revise individualised maternity care plans,Information governance; Management; Promote; Intrapartum; Progress report; Risk management; Social services; Childbirth
SFHMCN17,Implement interventions for babies and those involved in their care,Information governance; Promote; History; Age
SFHMCN18,Operate equipment for the care of babies,Information governance; History; Age; Instruction; Repair
SFHMCN27,Support individuals with feeding babies,Information governance; Promote; Anatomy; Physiology
SFHMCN6,Agree courses of action following assessment of the health and well-being of women and their babies,Information governance; Intrapartum; Age; Risk management; Fear
SFHMH22,Maintain active continuing contact with people with mental health needs and work alongside them in their recovery journey,Management; Mental health; Alteration
SFHMH3,Work with service providers to support people with mental health needs in ways which respect their values and promotes their rights,Management; Promote; Mental health; Education; Sort
SFHMH38,Enable people with mental health needs to choose and participate in activities that are meaningful to them,Management; Promote; Mental health; Risk assessment
SFHMH63,Work with people and significant others to develop services to improve their mental health,Training; Mental health; Sort
SFHMH67,Encourage stakeholders to see the value of improving,Promote; Change management; Mental health; Initiative; Vision
SFHMH90,Support others to promote understanding and help to improve people’s mental health,Management; Promote; Mental health
SFHMH94,Enable people to recover from distressing mental health experiences,Management; Promote; Therapy; Mental health; Acquisition
SFHMH97,Identify models of personality and mind development in relation to the client in counselling and develop appropriate intervention,Cultural diversity; Therapy; History; Articulate; Psychopathology; Risk assessment
SFHMH99,Establish and agree the therapeutic contract,Therapy; Mental health; Informed consent
SFHOPF6,Implement interventions with individuals at risk of osteoporosis,Information sharing; Factorial; Osteoporosis; Risk management; Make decision; Record keeping; Religious belief
SFHOPTM1,Process optical work instructions and provide technical liaison service,Parameter; Instruction; Consult information source
SFHOPTM15,Assure the quality of contact lenses,Contact lens; Cleanliness; Instruction; Compliance
SFHOPTM16,Paint the eye from life,Cleanliness; Instruction; Compliance; Painting
SFHOPTM18,Manufacture half sphere eye prosthesis,Cleanliness; Instruction; Inspection; Compliance
SFHOPTM2,Prepare to produce ophthalmic appliances,Cleanliness; Instruction; Compliance; Schedule
SFHOPTM20,Produce and process the sclera of the eye prosthesis,Cleanliness; Instruction; Compliance
SFHOPTM21,Assure the quality of eye prostheses,Cleanliness; Instruction; Compliance
SFHOPTM22,Repair or modify spectacles,Cleanliness; Instruction; Compliance; Fault; Repair
SFHOPTM23,Receive and store optical stock,Cleanliness; Instruction; Compliance
SFHOPTM3,Produce spectacle lenses,Cleanliness; Instruction; Lapping; Compliance
SFHOPTM4,Assure the quality of uncut spectacle lenses,Prism; Cleanliness; Instruction; Tolerance; Fault
SFHOPTM7,"Block, cut and fit lenses",Glazing; Cleanliness; Instruction; Compliance; Vision
SFHOPTM9,Carry out specialised lens treatments,Contact lens; Cleanliness; Instruction; Printing; Compliance
SFHOPTR1,Contribute to communications within the optical practice/store,Composition; Cost; Listening; Fault
SFHOPTR10,Provide a spectacle repair and adjustment service,Quotation; Instruction; Cost; Collection; Repair
SFHOPTR14,Deploy optical practice/store resources to meet identified requirements,Management; Contact lens; Pricing; Sales; Smooth
SFHOPTR15,Manage the optical clinic,Management; Financial transaction; Contact lens
SFHOPTR3,"Deal with customer concerns, complaints and dissatisfactions",Proof; Instruction; Refund; Repair
SFHOPTR6,Select and sell optical products to meet customer needs,Promote; Housekeeping; Pricing; Instruction; Transaction; Product demonstration; Vision
SFHPCS18,"Prepare, apply and attach dressings, wound supports and drains to patients",Corporate governance; Instruction; Sterility; Medical device; Anatomy; Drainage; Trauma; Asepsis; Physiology
SFHPCS19,Prepare equipment for intra-operative blood salvage collection,Aseptic technique; Corporate governance; Instruction; Blood transfusion; Salvage; Autologous; Collection
SFHPCS24,Perform the non-scrubbed circulating role for perioperative procedures,Corporate governance; Instruction; Instrumentation; Sterility; Traceability; Medical device; Perioperative; Asepsis
SFHPCS5,Assist in the support and monitoring of patients within the perioperative care environment,Corporate governance; Parameter; Patient monitoring; Perioperative
SFHPCS6,Measure and record patients’ body fluid output,Corporate governance; Storage; Drainage; Autologous; Collection; Fault
SFHPE5,Develop relationships with individuals that support them in addressing their health needs,Management; Comment; Age; Education
SFHPHARM04,Provide advice on non-prescribed medicines and products,Information governance; Sales; Contraindication; Prescription; Packaging
SFHPHARM07 ,Receive prescriptions,Information governance; Prepayment; Prescription; Collection; Refund
SFHPHARM15 ,Supply pharmaceutical stock,Information governance; Packaging; Cold chain
SFHPHARM32 ,Assist in the issuing of prescribed items,Information governance; Prescription; Packaging
SFHPHARM52,Prepare and maintain the working environment for aseptic manufacture and dispensing of medicinal products in cleanrooms,Aseptic; Compliance; Environmental monitoring
SFHPHARM54,Dispense patient-specific anti-cancer therapy doses,Therapy; Risk management; Prescription
SFHPHARM55,Final release of compounded parenteral anti-cancer therapy products for clinical use,Therapy; Prescription; Storage; Compliance
SFHPHARM56,Verify prescription for anti-cancer therapy,Therapy; Parameter; Instruction; Food; Calculation; Cell cycle; Pharmacokinetics; Prescription; Toxicity; Modulation; Pathology; Regimen; Biochemistry
SFHPHP05,Interpret data and information about health and wellbeing and/or stressors to health and wellbeing,Cultural diversity; Information sharing; Survey; Projection; Storage; Surveillance
SFHPHP06,Draft and structure communications about health and wellbeing and/or stressors to health and wellbeing,Cultural diversity; Information sharing; Food; Education; Projection; Storage; Data collection
SFHPHP07,Finalise and disseminate communications about health and wellbeing and/or stressors to health and wellbeing,Cultural diversity; Information sharing; Food; Education; Projection; Storage; Data collection
SFHPHP08,Advise others on data and information related to health and wellbeing and/or stressors to health and wellbeing and its uses,Cultural diversity; Information sharing; Food; Projection; Storage; Data collection
SFHPHP09,Enable others to develop and apply their knowledge and skills in relation to data and information about health and wellbeing and/or stressors to health and wellbeing,Management; Cultural diversity; Information sharing; Food; Projection; Storage; Data collection
SFHPHP11,Analyse and interpret data and information about the health and wellbeing and related needs of a defined population,Cultural diversity; Information sharing; Projection; Storage; Need assessment; Collection; Data collection
SFHPHP12,Communicate data and information about the health and wellbeing and related needs of a defined population,Cultural diversity; Information sharing; Projection; Storage; Need assessment; Data collection
SFHPHP20,Work in partnership with others to identify how to apply plans to protect the public’s health and wellbeing from specific risks,Management; Consultant; Information sharing; Primary care; Infection control; Disease control; Risk management; Fear; Swift; Storage; Coordination; Surveillance; Microbiology
SFHPHP24,"Work in partnership with communities to implement policies, strategies, services, programmes and interventions to improve health and wellbeing",Systems evaluation; Community development; Empowerment
SFHPHP26,Advise the media about specific issues relating to health and wellbeing,Acting; Information sharing; Press release; Storage
SFHPHP29,Work in partnership with others to develop and agree priorities and targets for improving health and wellbeing,Information sharing; Change management; Macro; Mapping; Capture; Think creatively; Community development; Resourcing
SFHPHP33,Work in partnership with others to make a preliminary assessment of the impact of policies and strategies on health and wellbeing,Information sharing; History; Macro; Prognosis; Impact assessment
SFHPHP34,Work in partnership with others to undertake a full assessment of the impact of policies and strategies on health and wellbeing,Information sharing; History; Macro; Storage; Prognosis; Impact assessment
SFHPHP38,Monitor trends and developments in policies for their impact on health and wellbeing,Information sharing; Capture; Forecasting; Storage; Public opinion; Policy development
SFHPHP39,Present information and arguments to others on how policies affect health and wellbeing,Information sharing; Capture; Storage; Policy development
SFHPHP40,Evaluate and recommend changes to policies to improve health and wellbeing,Information sharing; Capture; Storage; Policy development
SFHPHS07,"Assess the evidence and impact of health and healthcare interventions, programmes and services and apply the assessments to practice",Database; Risk management; Literature review
SFHPHS09,Develop and sustain cross-sectoral collaborative working for health and wellbeing,Promote; Articulate; Community development
SFHPHS16,Involve communities as active partners in all aspects of improving health and wellbeing,Promote; Survey; Community development
SFHPHS24,Manage the development and direction of work,Management; Interpersonal skill; Vision
SFHPHS25,Manage services that are aimed at improving health and wellbeing,Management; Proof; Interpersonal skill
SFHRAD1,Verify prescription and / or order for radioactive and non-radioactive medicinal products,Electronic signature; Calculation; Prescription; Radiopharmaceutical
SFHRAD10,Tender for products of suitable quality for preparation of radioactive medicinal products,Instruction; Cost; Calculation; Marketing
SFHRAD11,Receive and store radioactive and non-radioactive materials and products for use in manufacture and supply,Radioactive contamination; Radiation protection; Storage
SFHRAD5,Dispense aliquots of radioactive and non-radioactive medicinal products for immediate use,Aseptic technique; Breakage; Radiation protection; Prescription; Storage; Compliance
SFHRAD7,Release manufactured radioactive medicinal products suitable for clinical use,Radiation protection; Storage; Compliance; Chemistry
SFHRAD9,Order approved radioactive medicinal products,Cost; Calculation; Marketing
SFHRANDD10,Interpret results of research and development activities,
SFHRANDD11,Record conclusions and recommendations of research and development activities,
SFHRANDD15,Evaluate and report on the application of research and development findings within practice,Ethical code; Trial; Cost benefit analysis
SFHRANDD2,Identify and recommend sources of funding for selected research and development topics,Intellectual property; Pool; Cost
SFHRANDD5,Obtain approval for selected research and development activities,
SFHRENAT11,Notify the patient that an organ is available,Statistic; Therapy; Prospect; Transplant; Religious belief; Listen; Immunosuppression
SFHRENDD20,Inform participants of the outcomes of donation,Management; Prospect; Fire service; Critical care; Paramedic; Transplant; Religious belief; Immunosuppression
SFHRENDD6,Request donation and determine lack of objection,Management; Critical care; Anatomy; Transplant; Religious belief; Listen; Psychology; Physiology
SFHRENLD10,Act as advocate for the prospective living donor,Acting; Sustainability; Management; Surgical procedure; Education; Transplant; Religious belief; Antibody; Listen; Histocompatibility
