,data-driven keywords,expert-driven keywords,intersection of data- and expert-driven keywords,data-driven only keywords
metal decking and stud welding occupations,"['stud' 'slab' 'steel' 'beam' 'decking' 'edge' 'metal' 'installation'
 'weld' 'gantry' 'floor' 'deck' 'refractory' 'welding' 'trim' 'insulation'
 'engineering' 'occupation' 'encryption' 'exception']","['metal', 'decking', 'edge', 'trims', 'stud', 'welding', 'studs', 'green', 'composite', 'floor', 'construction']","['decking', 'welding', 'edge', 'metal', 'stud', 'floor']","['slab', 'steel', 'installation', 'gantry', 'beam', 'weld', 'insulation', 'occupation', 'encryption', 'refractory', 'trim', 'deck', 'engineering', 'exception']"
metal processing and allied operations,"['simulation' 'occurrence' 'element' 'nvq' 'candidate' 'qualification'
 'svq' 'steelwork' 'sample' 'assembly' 'stock' 'plant' 'te' 'efficiency'
 'engineering' 'energy' 'list' 'listener' 'program' 'meeting']","['integrity', 'confidentiality', 'control', 'evaluate', 'records', 'materials', 'communication', 'procedures', 'specification', 'standard', 'operating', 'defects', 'tolerances', 'drawings', 'deviations', 'preparation', 'plan', 'calibration', 'team', 'variables']",[],"['simulation', 'element', 'assembly', 'meeting', 'sample', 'stock', 'engineering', 'nvq', 'energy', 'list', 'qualification', 'efficiency', 'candidate', 'te', 'listener', 'occurrence', 'steelwork', 'program', 'svq', 'plant']"
metal processing and allied operations suite 2,"['metal' 'processing' 'plant' 'receipt' 'engineering' 'finishing'
 'lifting' 'sample' 'packaging' 'assembly' 'furnace' 'forming' 'billet'
 'bloom' 'heating' 'accessibility' 'sampling' 'obstruction' 'dispatch'
 'adjustment']","['engineering', 'working', 'materials', 'processing', 'metals', 'manufacturing', 'plant', 'equipment', 'manually', 'automated', 'drawing', 'sizing', 'shaping', 'forging', 'extrusion', 'machine', 'hand', 'tool', 'stock', 'feedstock']","['plant', 'engineering', 'processing']","['furnace', 'metal', 'finishing', 'receipt', 'assembly', 'forming', 'lifting', 'sampling', 'adjustment', 'sample', 'billet', 'dispatch', 'obstruction', 'heating', 'packaging', 'bloom', 'accessibility']"
metal processing and allied operations suite 3,"['metal' 'processing' 'alloy' 'furnace' 'assembly' 'melt' 'treatment'
 'plant' 'die' 'molten' 'casting' 'computer' 'heat' 'forming' 'repair'
 'thread' 'mould' 'adjustment' 'vacuum' 'dy']","['engineering', 'toolmaking', 'forming', 'manufacturing', 'processing', 'molten', 'metal', 'casting', 'techniques', 'equipment', 'manually', 'metals', 'plant', 'machine', 'hand', 'tool', 'automated', 'rolling', 'sizing', 'analysis']","['molten', 'metal', 'forming', 'casting', 'plant', 'processing']","['furnace', 'heat', 'melt', 'die', 'thread', 'mould', 'assembly', 'alloy', 'computer', 'vacuum', 'treatment', 'repair', 'adjustment', 'dy']"
milling and cereals,"['milling' 'wheat' 'flour' 'food' 'mill' 'hygiene' 'sampling' 'blending'
 'extraction' 'grain' 'bulk' 'grist' 'ready' 'room' 'protein' 'regulate'
 'sample' 'start' 'palletising' 'project']","['food', 'drink', 'manufacturing', 'milling', 'bulk', 'grain', 'flour', 'hygiene', 'safety', 'health', 'contaminate', 'blending', 'wheat', 'weighers', 'mixers', 'gristing', 'environmental', 'regulations', 'storage', 'weigher']","['grain', 'bulk', 'milling', 'blending', 'hygiene', 'wheat', 'flour', 'food']","['palletising', 'project', 'mill', 'ready', 'room', 'grist', 'regulate', 'protein', 'sampling', 'sample', 'start', 'extraction']"
mine surveying operations,"['engineering' 'mine' 'circuit' 'cable' 'fault' 'isolation' 'permit'
 'handover' 'instrumentation' 'motor' 'diagnosis' 'shock' 'machine'
 'drawing' 'modification' 'repair' 'scheme' 'enclosure' 'measuring'
 'drilling']","['mines', 'technicians', 'technical', 'operations', 'mining', 'electrical', 'engineering', 'equipment', 'mechanical', 'maintenance', 'surveyors', 'surveying']",['engineering'],"['shock', 'motor', 'machine', 'drilling', 'circuit', 'handover', 'isolation', 'repair', 'measuring', 'mine', 'drawing', 'fault', 'cable', 'modification', 'scheme', 'enclosure', 'diagnosis', 'instrumentation', 'permit']"
mine ventilation and ground control engineering,"['mine' 'ventilation' 'ground' 'mining' 'measurement' 'plant' 'aid'
 'leadership' 'sample' 'calculation' 'survey' 'ascertain' 'sampling'
 'miner' 'roadway' 'installation' 'lifting' 'model' 'audit' 'motivating']","['mine', 'mining', 'gas', 'miner', 'ventilation', 'environment', 'measurement', 'calculation', 'sampling', 'testing', 'fans', 'engineering', 'services', 'install', 'check', 'dismantle', 'support', 'ground', 'control', 'underground']","['measurement', 'calculation', 'mining', 'ventilation', 'ground', 'sampling', 'miner', 'mine']","['leadership', 'ascertain', 'installation', 'model', 'lifting', 'aid', 'survey', 'roadway', 'sample', 'audit', 'plant', 'motivating']"
mine ventilation and ground control engineering operations,"['mine' 'mixer' 'hydraulic' 'compressor' 'generator' 'stop' 'operate'
 'pump' 'machine' 'air' 'plant' 'adjustment' 'execution' 'exchanger'
 'evaporation' 'excise' 'excitation' 'excitement' 'exclude' 'exclusion']","['mine', 'mining', 'specialised', 'powered', 'tools', 'equipment', 'underground', 'extract', 'excavate', 'operate', 'materials', 'minerals', 'miner']","['mine', 'operate']","['air', 'evaporation', 'execution', 'mixer', 'machine', 'exchanger', 'excise', 'stop', 'adjustment', 'exclude', 'compressor', 'excitation', 'exclusion', 'pump', 'hydraulic', 'generator', 'plant', 'excitement']"
mines management,"['mine' 'engineering' 'leadership' 'mining' 'consent' 'plant' 'appeal'
 'project' 'blast' 'survey' 'surface' 'pattern' 'vision' 'contingency'
 'supplier' 'extraction' 'duty' 'sector' 'approval' 'ground']","['mines', 'management', 'underground', 'rock', 'mineral', 'plant', 'equipment', 'extraction', 'ventilation', 'transport', 'emergency', 'technicians', 'technical', 'operations', 'mining', 'electrical', 'engineering', 'mechanical', 'maintenance', 'surveyors']","['engineering', 'mining', 'plant', 'extraction']","['leadership', 'project', 'appeal', 'sector', 'mine', 'contingency', 'supplier', 'consent', 'duty', 'surface', 'vision', 'pattern', 'ground', 'approval', 'survey', 'blast']"
mines rescue operations,"['mine' 'rescue' 'fire' 'ventilation' 'apparatus' 'session' 'casualty'
 'oxygen' 'incident' 'ba' 'air' 'stock' 'readiness' 'breathing' 'sealing'
 'demand' 'methane' 'accommodation' 'station' 'drainage']","['mines', 'mining', 'rescue', 'underground', 'operations', 'hazards', 'emergency']",['rescue'],"['air', 'station', 'oxygen', 'incident', 'casualty', 'ventilation', 'mine', 'session', 'demand', 'stock', 'readiness', 'ba', 'sealing', 'accommodation', 'methane', 'breathing', 'drainage', 'apparatus', 'fire']"
mining operations,"['plant' 'mine' 'machinery' 'mining' 'promg' 'occupation' 'drilling'
 'shaft' 'processing' 'load' 'hole' 'platform' 'blast' 'spoil' 'sample'
 'erect' 'ppe' 'fire' 'tunnel' 'candidate']","['mine', 'miner', 'mining', 'services', 'check', 'mineral', 'waste', 'resources', 'underground', 'plant', 'equipment', 'slurry', 'fluid', 'operations', 'machinery', 'materials', 'mines', 'excavated', 'extraction', 'extracted']","['machinery', 'mine', 'plant', 'mining']","['platform', 'drilling', 'load', 'shaft', 'tunnel', 'sample', 'processing', 'erect', 'blast', 'occupation', 'candidate', 'promg', 'hole', 'spoil', 'ppe', 'fire']"
monitoring engineering construction activities,"['construction' 'engineering' 'drawing' 'plant' 'technician' 'culture'
 'installation' 'shipyard' 'explosive' 'tunnel' 'inside' 'project'
 'perform' 'input' 'id' 'contract' 'operator' 'lesson' 'shaft'
 'fabrication']","['construction', 'principles', 'local', 'regulations', 'management', 'activities', 'qualification', 'competency', 'certification', 'change', 'quality', 'health', 'safety', 'environmental', 'practice', 'values', 'sustainability', 'industrial', 'agreements', 'testing']",['construction'],"['project', 'shipyard', 'id', 'tunnel', 'shaft', 'inside', 'plant', 'drawing', 'lesson', 'engineering', 'technician', 'operator', 'installation', 'input', 'culture', 'fabrication', 'explosive', 'perform', 'contract']"
motor vehicle valeting,"['vehicle' 'valet' 'motor' 'paint' 'motorcycle' 'compartment' 'scratch'
 'chip' 'rectification' 'machine' 'treatment' 'surface' 'interior'
 'carpet' 'engine' 'cleaning' 'correction' 'tyre' 'trim' 'excursion']","['valet', 'motor', 'vehicle', 'exterior', 'interior', 'body', 'scratch', 'removal', 'paint', 'correction', 'assess', 'condition']","['motor', 'scratch', 'correction', 'valet', 'vehicle', 'paint', 'interior']","['compartment', 'chip', 'cleaning', 'machine', 'rectification', 'tyre', 'surface', 'motorcycle', 'engine', 'excursion', 'trim', 'treatment', 'carpet']"
motorsport,"['motorsport' 'vehicle' 'cleaning' 'wheel' 'replacement' 'removal' 'fault'
 'competition' 'spanner' 'battery' 'tyre' 'presentation' 'socket' 'chief'
 'fabrication' 'fall' 'bodywork' 'fastener' 'fuel' 'spoken']","['motorsport', 'technician', 'team', 'hand', 'tools', 'fabrication', 'stripping', 'vehicles', 'rebuilding', 'precompetition', 'cars', 'chassis', 'engine', 'transmission', 'braking', 'inspecting', 'vehicle', 'competition', 'system', 'automotive']","['motorsport', 'competition', 'fabrication', 'vehicle']","['fuel', 'bodywork', 'fastener', 'socket', 'battery', 'fault', 'chief', 'spoken', 'cleaning', 'removal', 'wheel', 'tyre', 'presentation', 'spanner', 'fall', 'replacement']"
moving loads,"['load' 'construction' 'engineering' 'plant' 'lift' 'installation'
 'shipyard' 'explosive' 'tunnel' 'inside' 'steelwork' 'weight' 'rigger'
 'movement' 'shaft' 'fabrication' 'atmosphere' 'gravity' 'station'
 'determine']","['slinging', 'handling', 'raising', 'lowering', 'winches', 'hoists', 'ropes', 'jacks', 'cranes', 'platforms', 'lifting', 'suspending', 'positioning', 'rigging', 'moving', 'support', 'components', 'removal', 'solutions', 'technical']",[],"['movement', 'gravity', 'station', 'weight', 'shipyard', 'rigger', 'load', 'lift', 'tunnel', 'shaft', 'inside', 'engineering', 'installation', 'determine', 'fabrication', 'explosive', 'atmosphere', 'steelwork', 'plant', 'construction']"
multi channel retailing,"['website' 'trading' 'channel' 'brand' 'web' 'online' 'page' 'selling'
 'retail' 'library' 'asset' 'copy' 'network' 'innovation' 'database'
 'idea' 'device' 'purchase' 'video' 'project']","['retailing', 'retailers', 'internet', 'ecommerce', 'etailing', 'etailers', 'works', 'working', 'cooperates', 'cooperating', 'coworkers', 'multi', 'channel', 'multichannel', 'images', 'footage', 'videos', 'produces', 'producing', 'online']","['online', 'channel']","['asset', 'library', 'project', 'innovation', 'network', 'video', 'website', 'idea', 'web', 'page', 'device', 'trading', 'database', 'brand', 'retail', 'purchase', 'selling', 'copy']"
multi utility management skills,"['utility' 'engineering' 'council' 'conflict' 'contribution' 'science'
 'supervise' 'piece' 'observe' 'discussion' 'smoking' 'indicator' 'apply'
 'supervision' 'contractor' 'drinking' 'prompt' 'construction' 'scrap'
 'disciplinary']","['work', 'assessment', 'effective', 'management', 'materials', 'performance', 'targets', 'within', 'budget', 'indicators', 'environmental', 'impact', 'codes', 'practice', 'support', 'team', 'members', 'Monitor', 'Motivate', 'Brief']",[],"['council', 'supervise', 'observe', 'contractor', 'drinking', 'discussion', 'science', 'disciplinary', 'apply', 'piece', 'engineering', 'utility', 'conflict', 'scrap', 'smoking', 'prompt', 'contribution', 'supervision', 'indicator', 'construction']"
multi utility network construction,"['network' 'utility' 'excavation' 'construction' 'gas' 'apparatus'
 'civility' 'plant' 'asset' 'installation' 'jointing' 'mm' 'engineering'
 'repair' 'fusion' 'leakage' 'mobile' 'pipe' 'pressure' 'employer']","['utility', 'water', 'gas', 'utilities', 'network', 'construction', 'maintain', 'safe', 'install', 'joint', 'fusion', 'products', 'assets', 'conduct', 'specified', 'testing', 'environment', 'operations', 'procedures', 'legal']","['utility', 'network', 'gas', 'fusion', 'construction']","['asset', 'installation', 'pipe', 'civility', 'mm', 'jointing', 'pressure', 'employer', 'excavation', 'repair', 'apparatus', 'leakage', 'mobile', 'plant', 'engineering']"
multi utility network design,"['utility' 'network' 'convention' 'directive' 'pride' 'approval'
 'engineering' 'draught' 'software' 'brief' 'inspector' 'library'
 'dimension' 'drawing' 'research' 'produce' 'vendor' 'bulletin'
 'operability' 'version']","['relationships', 'research', 'methods', 'investigative', 'techniques', 'risk', 'interpretation', 'Research', 'design', 'calculations', 'specifications', 'sketches', 'approvals', 'industry', 'standards', 'codes', 'practice', 'format', 'conventions']",['research'],"['convention', 'library', 'draught', 'vendor', 'network', 'operability', 'inspector', 'version', 'drawing', 'bulletin', 'engineering', 'software', 'utility', 'directive', 'brief', 'produce', 'approval', 'dimension', 'pride']"
multi utility network operations,"['jointing' 'joining' 'utility' 'fusion' 'standpoint' 'fall' 'permit'
 'prescribed' 'reinstatement' 'initiation' 'welding' 'excellent'
 'exception' 'excess' 'exchange' 'excise' 'excitation' 'excellence'
 'excitement' 'exclude']","['Testing', 'street', 'works', 'act', 'jointing', 'fusion', 'welding']","['fusion', 'jointing', 'welding']","['fall', 'prescribed', 'excise', 'excellence', 'joining', 'initiation', 'exclude', 'exception', 'standpoint', 'utility', 'excitation', 'excess', 'exchange', 'reinstatement', 'excellent', 'permit', 'excitement']"
music business collecting societies,"['music' 'society' 'collecting' 'royalty' 'licensing' 'venue' 'membership'
 'broadcast' 'campaign' 'territory' 'website' 'invoice' 'partner'
 'mailing' 'registration' 'sale' 'licence' 'marketing' 'licensee'
 'participant']","['music', 'business', 'royalties', 'licence', 'fees', 'writers', 'performers', 'publishers', 'record', 'companies', 'pr', 'sponsorship', 'busi']","['licence', 'music']","['registration', 'invoice', 'territory', 'website', 'partner', 'campaign', 'royalty', 'sale', 'mailing', 'participant', 'society', 'venue', 'licensing', 'membership', 'marketing', 'broadcast', 'collecting', 'licensee']"
music business publishing,"['music' 'publishing' 'composer' 'writer' 'royalty' 'copyright'
 'publisher' 'sale' 'catalogue' 'society' 'market' 'mail' 'campaign'
 'consumer' 'audience' 'hire' 'telephone' 'website' 'usage' 'brand']","['music', 'publishing', 'composers', 'writers', 'business', 'licences', 'copyright', 'works', 'musical', 'printed', 'sales', 'print', 'customer', 'service', 'collecting', 'royalties', 'songwriters', 'royalty', 'payments', 'literary']","['publishing', 'royalty', 'music', 'copyright']","['hire', 'audience', 'writer', 'website', 'telephone', 'market', 'campaign', 'sale', 'consumer', 'publisher', 'society', 'brand', 'catalogue', 'composer', 'mail', 'usage']"
music business record labels,"['music' 'artist' 'royalty' 'brand' 'budget' 'release' 'consumer'
 'campaign' 'marketing' 'genre' 'sale' 'society' 'contract' 'venue'
 'piracy' 'expenditure' 'plugging' 'stream' 'tour' 'funding']","['publicity', 'promotion', 'advertising', 'music', 'record', 'recording', 'cd', 'gig', 'tracks', 'studios', 'label', 'digital', 'recordings', 'business', 'labels', 'cpd', 'development', 'artists', 'genres', 'potential']",['music'],"['release', 'piracy', 'funding', 'artist', 'genre', 'stream', 'tour', 'budget', 'campaign', 'royalty', 'consumer', 'sale', 'society', 'brand', 'marketing', 'venue', 'expenditure', 'plugging', 'contract']"
music performers and composers,"['music' 'genre' 'instrument' 'notation' 'harmony' 'copyright' 'melody'
 'rehearsal' 'literacy' 'composition' 'voice' 'rhythm' 'recording'
 'chosen' 'element' 'audition' 'create' 'intention' 'piece' 'perform']","['music', 'musical', 'arrangement', 'artist', 'composer', 'musician', 'digital', 'arranger', 'stage', 'production', 'technology', 'songwriter', 'ensemble', 'performer', 'perform', 'performance', 'soloist', 'play', 'harmony', 'read']","['harmony', 'perform', 'music']","['composition', 'intention', 'rehearsal', 'chosen', 'audition', 'element', 'genre', 'instrument', 'piece', 'create', 'recording', 'copyright', 'rhythm', 'literacy', 'melody', 'voice', 'notation']"
nail services,"['nail' 'enhancement' 'art' 'cuticle' 'infection' 'spa' 'indication'
 'overlay' 'beauty' 'airbrush' 'skin' 'image' 'pedicure' 'file' 'manicure'
 'tip' 'shape' 'gel' 'wrap' 'powder']","['nail', 'services', 'electric', 'filing', 'nails', 'overlays', 'design', 'art', 'create', 'creative', 'artistic', 'airbrushing', 'technician', 'designs', 'massage', 'finish', 'enhancement', 'enhancements', 'gel', 'maintain']","['gel', 'nail', 'art', 'enhancement']","['overlay', 'spa', 'skin', 'image', 'airbrush', 'wrap', 'manicure', 'infection', 'cuticle', 'beauty', 'file', 'pedicure', 'indication', 'tip', 'powder', 'shape']"
nail services 2009,"['nail' 'art' 'enhancement' 'habia' 'cuticle' 'image' 'skin' 'pedicure'
 'manicure' 'airbrush' 'overlay' 'gel' 'shape' 'wrap' 'liquid' 'powder'
 'proceeding' 'venue' 'foot' 'competition']","['nail', 'services', 'hands', 'feet', 'prepare', 'developing', 'combining', 'technical', 'creative', 'skills', 'planning', 'creating', 'art', 'designs', 'manicure', 'maintain', 'enhance', 'repair', 'remove', 'nails']","['nail', 'art', 'manicure']","['overlay', 'liquid', 'competition', 'habia', 'skin', 'image', 'airbrush', 'gel', 'wrap', 'proceeding', 'cuticle', 'venue', 'pedicure', 'powder', 'shape', 'foot', 'enhancement']"
network construction operations,"['network' 'construction' 'excavation' 'candidate' 'apparatus'
 'supervision' 'water' 'installation' 'statutory' 'compromising' 'leader'
 'supervisor' 'traffic' 'highway' 'connection' 'sub' 'contractor'
 'employee' 'continuity' 'engineering']","['codes', 'practice', 'apparatus', 'tools', 'operations', 'safe', 'mains', 'connections', 'competent', 'water', 'utilities', 'risks', 'regulatory', 'requirements', 'resources', 'statutory', 'environment', 'risk', 'materials', 'reports']","['apparatus', 'water', 'statutory']","['contractor', 'network', 'employee', 'connection', 'continuity', 'compromising', 'highway', 'engineering', 'installation', 'sub', 'leader', 'candidate', 'supervisor', 'excavation', 'traffic', 'supervision', 'construction']"
non destructive testing,"['engineering' 'drawing' 'discontinuity' 'platform' 'mewp' 'scaffold'
 'picker' 'cherry' 'penetrant' 'construction' 'onshore' 'plant' 'boom'
 'shipyard' 'asset' 'cage' 'ndt' 'defect' 'installation' 'tower']","['ndt', 'engineering', 'drawings', 'construction', 'specifications', 'steel', 'structures', 'indicators', 'asset', 'equipment', 'technique', 'customer', 'component', 'testing', 'liquid', 'consumables', 'resources', 'services', 'flaws', 'defects']","['asset', 'ndt', 'engineering', 'construction']","['onshore', 'platform', 'scaffold', 'shipyard', 'defect', 'penetrant', 'drawing', 'discontinuity', 'picker', 'installation', 'boom', 'mewp', 'cherry', 'tower', 'cage', 'plant']"
non domestic energy advisors,"['energy' 'home' 'visit' 'audit' 'consumption' 'dispute' 'rating'
 'auditing' 'accreditation' 'conflict' 'offence' 'image' 'element'
 'goodwill' 'motivation' 'course' 'encouragement' 'interest' 'methodology'
 'trust']","['risks', 'health', 'safety', 'security', 'legislation', 'communicate', 'enquiries', 'disputes', 'conduct', 'inspect', 'property', 'advice', 'energy', 'performance', 'records', 'consultation', 'prepare', 'explain', 'consumption', 'clients']","['consumption', 'energy']","['goodwill', 'element', 'accreditation', 'course', 'image', 'offence', 'home', 'methodology', 'encouragement', 'trust', 'dispute', 'motivation', 'visit', 'conflict', 'interest', 'rating', 'auditing', 'audit']"
non domestic energy assessors,"['energy' 'certificate' 'rating' 'build' 'non' 'building' 'model'
 'simulation' 'occupancy' 'convention' 'fabric' 'sbem' 'asset' 'dwelling'
 'inspect' 'element' 'observation' 'exclude' 'excitement' 'exclusion']","['performance', 'data', 'information', 'compliance', 'energy', 'newbuild', 'building', 'regulations', 'costeffective', 'improvement', 'inspecting', 'nondwellings', 'recommendations', 'cost', 'effective', 'inspect', 'certificates', 'reports', 'instructions', 'design']","['building', 'energy', 'inspect']","['convention', 'asset', 'simulation', 'fabric', 'element', 'model', 'build', 'occupancy', 'sbem', 'non', 'exclude', 'observation', 'certificate', 'exclusion', 'dwelling', 'rating', 'excitement']"
nos for air observers,"['aircraft' 'search' 'fuel' 'intelligence' 'pilot' 'command' 'flight'
 'passenger' 'commander' 'deployment' 'ground' 'brief' 'race' 'additive'
 'fod' 'briefing' 'disembarkation' 'exclusivity' 'exception' 'excess']","['air', 'support', 'aircraft', 'flight', 'passengers', 'pilot', 'specialist', 'tactical', 'safety', 'navigation', 'aerial', 'search']","['aircraft', 'flight', 'pilot', 'search']","['fuel', 'fod', 'additive', 'command', 'exception', 'passenger', 'disembarkation', 'race', 'brief', 'excess', 'commander', 'ground', 'exclusivity', 'deployment', 'intelligence', 'briefing']"
nos for it professional,"['capacity' 'assignment' 'supplier' 'software' 'acquisition' 'procurement'
 'creation' 'hardware' 'supervision' 'asset' 'categorisation' 'discipline'
 'network' 'infrastructure' 'contract' 'utilisation' 'catalogue'
 'generate' 'portfolio' 'privacy']","['software', 'hardware', 'network', 'service', 'data', 'management', 'warehousing', 'access', 'supplier', 'operation']","['network', 'hardware', 'supplier', 'software']","['asset', 'procurement', 'assignment', 'privacy', 'acquisition', 'infrastructure', 'capacity', 'creation', 'categorisation', 'supervision', 'generate', 'utilisation', 'catalogue', 'portfolio', 'discipline', 'contract']"
nos for operational delivery contact centre roles,"['sector' 'theme' 'stakeholder' 'vision' 'expectation' 'culture'
 'everyone' 'call' 'budget' 'conversation' 'diversity' 'idea' 'interest'
 'see' 'marketing' 'research' 'supplier' 'leadership' 'market' 'trend']","['operational', 'delivery', 'contact', 'centre', 'priorities', 'customers', 'needs', 'resources', 'plan', 'business', 'performance', 'information', 'additional', 'monitor', 'products', 'services', 'customer', 'support', 'service', 'effectively']",[],"['leadership', 'expectation', 'stakeholder', 'sector', 'see', 'diversity', 'idea', 'everyone', 'theme', 'budget', 'supplier', 'market', 'culture', 'research', 'conversation', 'interest', 'vision', 'marketing', 'trend', 'call']"
nos for operational delivery processing roles,"['sector' 'theme' 'specialism' 'diversity' 'leadership' 'vision'
 'stakeholder' 'culture' 'conflict' 'recipient' 'expectation' 'audit'
 'budget' 'meeting' 'idea' 'innovation' 'sustainability' 'valuing'
 'everyone' 'call']","['operational', 'delivery', 'processing', 'information', 'maintain', 'systems', 'management', 'communicate', 'confidentiality', 'customer', 'service', 'team', 'work', 'problems', 'personal', 'resources', 'identify', 'quality', 'change', 'support']",[],"['leadership', 'innovation', 'expectation', 'stakeholder', 'sector', 'sustainability', 'meeting', 'diversity', 'specialism', 'idea', 'budget', 'theme', 'everyone', 'culture', 'conflict', 'recipient', 'vision', 'valuing', 'call', 'audit']"
"nos for the development, implementation and review of nos","['employer' 'stakeholder' 'nation' 'sector' 'draft' 'gather'
 'consultation' 'sample' 'approval' 'submission' 'occupation' 'tailor'
 'importing' 'import' 'supporting' 'tailoring' 'assurance' 'success'
 'heart' 'title']","['support', 'employers', 'stakeholders', 'heart', 'developing', 'reviewing', 'national', 'occupational', 'standards', 'nos', 'gather', 'evaluate', 'information', 'impact', 'consultation', 'development', 'review', 'identify', 'enable', 'use']","['gather', 'consultation', 'heart']","['assurance', 'nation', 'stakeholder', 'success', 'sector', 'tailor', 'title', 'importing', 'submission', 'tailoring', 'sample', 'occupation', 'supporting', 'employer', 'draft', 'approval', 'import']"
"nos for the production of ors, decs and ars","['energy' 'building' 'certificate' 'rating' 'display' 'invasive' 'fee'
 'modular' '·production' 'excursion' 'excretory' 'excretion' 'exclude'
 'exclusivity' 'exclusion' 'excitement' 'excitation' 'excise' 'exchanger'
 'execute']","['energy', 'certificates', 'reports', 'compliance', 'regulations', 'requirements', 'property', 'instructions', 'design', 'display', 'operational', 'performance', 'buildings', 'directive', 'epbd', 'certificate', 'epc', 'dec', 'report', 'ar']","['display', 'certificate', 'energy']","['invasive', 'excretion', 'exchanger', 'excise', 'fee', 'building', 'exclude', '·production', 'excitation', 'modular', 'exclusion', 'execute', 'exclusivity', 'excursion', 'excretory', 'rating', 'excitement']"
nuclear decommissioning,"['radiation' 'version' 'decommissioning' 'contamination' 'candidate'
 'decontamination' 'learner' 'dose' 'instrument' 'plant' 'engineering'
 'remote' 'meaning' 'demonstration' 'demarcation' 'gamma' 'asset'
 'sequence' 'defect' 'learning']","['plant', 'equipment', 'components', 'support', 'monitoring', 'feedback', 'presentation', 'development', 'others', 'relationships', 'alpha', 'radiation', 'contamination', 'prepare', 'beta', 'monitor', 'instruments', 'people', 'colleagues', 'enable']","['contamination', 'plant', 'radiation']","['asset', 'demonstration', 'learner', 'dose', 'gamma', 'defect', 'decontamination', 'version', 'meaning', 'sequence', 'instrument', 'engineering', 'remote', 'demarcation', 'candidate', 'decommissioning', 'learning']"
nuclear material accountancy and safeguards,"['accountancy' 'safeguard' 'measurement' 'verification' 'plant'
 'inspectorate' 'stakeholder' 'pit' 'intent' 'inventory' 'anomaly'
 'transfer' 'capability' 'shipment' 'proliferation' 'uncertainty'
 'decommissioning' 'movement' 'commissioning' 'discrepancy']","['nuclear', 'safeguards', 'control', 'materials']",[],"['measurement', 'pit', 'transfer', 'movement', 'stakeholder', 'capability', 'proliferation', 'verification', 'accountancy', 'uncertainty', 'anomaly', 'shipment', 'safeguard', 'inspectorate', 'commissioning', 'intent', 'decommissioning', 'discrepancy', 'plant', 'inventory']"
nuclear operations,"['plant' 'fuel' 'reactor' 'reinforce' 'route' 'bat' 'behalf' 'nb'
 'deficiency' 'isolation' 'con' 'parameter' 'dioxide' 'dose' 'attitude'
 'incident' 'contingency' 'alarm' 'handover' 'excursion']","['nuclear', 'power', 'plant', 'operations', 'technician', 'fuel', 'route', 'irradiated', 'reactor', 'radioactive', 'waste']","['fuel', 'route', 'plant', 'reactor']","['incident', 'dose', 'dioxide', 'reinforce', 'handover', 'isolation', 'contingency', 'bat', 'attitude', 'deficiency', 'con', 'parameter', 'alarm', 'excursion', 'nb', 'behalf']"
nuclear regulators,"['regulator' 'holder' 'duty' 'occurrence' 'permission' 'enforcement'
 'inspector' 'accident' 'stakeholder' 'investigation' 'complaint'
 'proportionality' 'recipient' 'granting' 'severity' 'government'
 'sanction' 'discretion' 'grant' 'finding']","['review', 'nuclear', 'regulatory', 'policy', 'evaluation', 'requirements', 'scoping', 'planning', 'reporting', 'inspections', 'analysis', 'activities', 'deviations', 'grant', 'refuse', 'withdraw', 'amend', 'enforcement', 'influencing', 'improvements']","['enforcement', 'grant']","['accident', 'stakeholder', 'holder', 'inspector', 'complaint', 'government', 'discretion', 'regulator', 'duty', 'proportionality', 'recipient', 'granting', 'occurrence', 'severity', 'permission', 'sanction', 'finding', 'investigation']"
occupational work supervision construction,"['cosvr' 'project' 'deviation' 'welfare' 'craft' 'plant' 'maker'
 'workforce' 'machinery' 'variation' 'measuring' 'attention' 'breakdown'
 'discussion' 'equality' 'briefing' 'vehicle' 'diversity' 'ordinate'
 'occupation']","['programme', 'welfarefacilities', 'firstaid', 'riskcontrol', 'security', 'induction', 'work', 'codes', 'practice', 'supervisory', 'safety', 'decisionmakers', 'risks', 'monitoring', 'correctiveactions', 'method', 'deviations', 'standards', 'manufacturer', 'measuring']",['measuring'],"['project', 'machinery', 'deviation', 'breakdown', 'discussion', 'variation', 'maker', 'diversity', 'plant', 'workforce', 'equality', 'welfare', 'occupation', 'vehicle', 'craft', 'attention', 'briefing', 'cosvr', 'ordinate']"
officiating elite,"['sport' 'competition' 'umpire' 'referee' 'marshal' 'official' 'conflict'
 'organiser' 'leadership' 'spirit' 'competitor' 'judge' 'rule'
 'impartiality' 'link' 'gender' 'judgment' 'concentration' 'sense'
 'commitment']","['manage', 'oneself', 'official', 'elite', 'sport', 'competitive', 'environment', 'people', 'whilst', 'officiating', 'competition']","['official', 'sport', 'competition']","['judge', 'leadership', 'concentration', 'rule', 'judgment', 'competitor', 'spirit', 'sense', 'organiser', 'link', 'referee', 'umpire', 'commitment', 'conflict', 'impartiality', 'gender', 'marshal']"
