,Avg group similarity,NOS 1,NOS 2
Pair 816,0.875,"[ppl2gen6] ""Promote additional services or products to customers"" (""ppl2gen6l.pdf"", Legacy, Imported)","[ppl2gen8] ""Promote additional services or products to customers"" (""ppl2gen8.pdf"", Current, Tailored)"
Pair 817,0.875,"[semfwe3-66] ""Operating cnc fabrication equipment"" (""semfwe366.pdf"", Current, Original)","[semme3060] ""Operating cnc fabrication machines"" (""semme3060.pdf"", Current, Original)"
Pair 818,0.875,"[ppl1gen5] ""Clean and store crockery and cutlery"" (""ppl1gen5.pdf"", Current, Original)","[ppl1gen5] ""Clean and store crockery and cutlery"" (""ppl1gen5l.pdf"", Legacy, Original)"
Pair 819,0.875,"[skapw70] ""Contribute to the implementation of policies and procedures to safeguard children and young people within the playwork setting"" (""skapw70.pdf"", Current, Original)","[skapw72] ""Implement policies and procedures to safeguard children and young people in the playwork setting "" (""skapw72.pdf"", Current, Original)"
Pair 820,0.875,"[ppl1foh1] ""Process information for the reception function"" (""ppl1foh1.pdf"", Current, Original)","[ppl1foh1] ""Process information for reception function "" (""ppl1foh1l.pdf"", Legacy, Original)"
Pair 821,0.875,"[cfaturs1] ""Represent the health and safety interests of those at work v2"" (""cfaturs1.pdf"", Current, Original)","[cfaus1] ""Represent the health and safety interests of those at work"" (""cfaus1.pdf"", Current, Original)"
Pair 822,0.87,"[sfjaa3] ""Contribute to developing and maintaining cultures and strategies in which people are respected and valued as individuals"" (""sfjaa3.pdf"", Current, Original)","[sfjcjaa3] ""Contribute to developing and maintaining cultures and strategies in which people are respected and valued as individuals"" (""sfjcjaa3l.pdf"", Current, Original)"
Pair 823,0.87,"[fspio09] ""Process trades (global settlement)"" (""fspio09.pdf"", Current, Original)","[fspio09] ""Process trades (global settlement) legacy"" (""fspio09l.pdf"", Legacy, Original)"
Pair 824,0.87,"[fspio12] ""Process payments relating to stakeholder investment transactions or accounts"" (""fspio12.pdf"", Current, Original)","[fspio12] ""Process payments relating to stakeholder investment transactions or accounts legacy"" (""fspio12l.pdf"", Legacy, Original)"
Pair 825,0.87,"[sfstsc5] ""Carry out technically assisted inspections of premises"" (""sfstsc5.pdf"", Current, Original)","[sfstsc6] ""Carry out physical inspections of premises"" (""sfstsc6.pdf"", Current, Original)"
Pair 826,0.87,"[proff8] ""Apply stains, sealers and primers by hand  "" (""proff8.pdf"", Current, Original)","[proffi220] ""Apply stains, sealers and primers - legacy"" (""proffi220l.pdf"", Legacy, Original)"
Pair 827,0.87,"[pplfos27] ""Promote, monitor and maintain the health, safety and security of the work environment"" (""pplfos27.pdf"", Current, Original)","[ssr.fos303] ""Promote, monitor and maintain the health, safety and security of the work environment"" (""ssr.fos303.pdf"", Current, Original)"
Pair 828,0.87,"[imiaemei10] ""Conduct vehicle enhancement and installation consultations with customers in the motor vehicle environment"" (""imiaemei10.pdf"", Current, Original)","[imiaemei10] ""Conduct vehicle enhancement and installation consultations with customers in the motor vehicle environment"" (""imiaemei10l.pdf"", Current, Original)"
Pair 829,0.87,"[fspfc08] ""Investigate arrears and recover debts"" (""fspfc08.pdf"", Current, Original)","[fspfc08] ""Investigate arrears and recover debts legacy"" (""fspfc08l.pdf"", Legacy, Original)"
Pair 830,0.87,"[sfs sys 16] ""Negotiate sales of electronic security systems"" (""negotiate-sales-of-electronic-security-systems-sfs sys 16.pdf"", Current, Original)","[sfs sys 16] ""Negotiate sales of electronic security systems"" (""sfssys16.pdf"", Current, Original)"
Pair 831,0.87,"[sfjba9] ""Contribute to strategies for promoting community justice and social inclusion"" (""sfjba9.pdf"", Current, Original)","[sfjcjba9] ""Contribute to strategies for promoting community justice and social inclusion"" (""sfjcjba9l.pdf"", Current, Original)"
Pair 832,0.87,"[cogesa1.1] ""Create the complex specification for explosive substances and/or articles"" (""cogesa1.1.pdf"", Current, Original)","[cogesa1.2 ] ""Create the specification for an explosive substance or article"" (""cogesa1.2 .pdf"", Current, Original)"
Pair 833,0.87,"[semres201] ""Establish information for signal engineering maintenance and/or fault finding"" (""semres201.pdf"", Current, Original)","[semres202] ""Establish information for signal engineering installation"" (""semres202.pdf"", Current, Original)"
Pair 834,0.87,"[ccsmb10] ""Understanding the music industry and keeping up to date"" (""ccsmb10.pdf"", Current, Original)","[ccsrcs13] ""Understanding collecting societies and keeping up to date with the music industry"" (""ccsrcs13.pdf"", Current, Original)"
Pair 835,0.87,"[sfjcjgc2] ""Contribute to the protection of children from abuse"" (""sfjcjgc2l.pdf"", Current, Original)","[sfjgc2] ""Contribute to the protection of children and young people from abuse"" (""sfjgc2.pdf"", Current, Original)"
Pair 836,0.87,"[lananc50] ""Design and evaluate training programmes for animals"" (""lananc50.pdf"", Current, Original)","[lananc53] ""Design and evaluate training programmes for people and animals"" (""lananc53.pdf"", Current, Original)"
Pair 837,0.87,"[imiarbbp05] ""Remove, replace and/or refit motor vehicle body panels"" (""imiarbbp05.pdf"", Current, Original)","[imiarbbp05] ""Remove and replace exterior motor vehicle body panels including permanently fixed components"" (""imiarbbp05l.pdf"", Legacy, Original)"
Pair 838,0.87,"[impmp305] ""Carry out post-mortem inspection activities (poultry)"" (""carry-out-post-mortem-inspection-activities-(poultry)-impmp305.pdf"", Current, Original)","[impmp303] ""Carry out pre-slaughter inspection activities (red meat)"" (""carry-out-pre-slaughter-inspection-activities-(red-meat)-impmp303.pdf"", Current, Original)"
Pair 839,0.87,"[sfldgv5] ""Lsfl5 drive the vehicle on public roads in a fuel efficient manner legacy"" (""sfldgv5l.pdf"", Legacy, Original)","[sfssfl5] ""Drive the vehicle on public roads in a fuel efficient manner"" (""sfssfl5.pdf"", Current, Tailored)"
Pair 840,0.87,"[sfhoh11] ""Take a direct face bow record for a dental procedure"" (""sfhoh11.pdf"", Current, Original)","[sfhoh12] ""Take an oral tracing registration"" (""sfhoh12.pdf"", Current, Original)"
Pair 841,0.87,"[imiarbg1] ""Contribute to housekeeping in motor vehicle environments"" (""imiarbg1l.pdf"", Current, Original)","[semms01] ""Contribute to housekeeping in motorsport environments"" (""semms01.pdf"", Current, Tailored)"
Pair 842,0.87,"[pplmcr14] ""Organise urgent changes to the content of a trading website"" (""pplmcr14.pdf"", Current, Original)","[ssr.mcr14] ""Organise urgent changes to the content of a trading website legacy"" (""ssrmcr14l.pdf"", Legacy, Original)"
Pair 843,0.87,"[cfaturc8] ""Promote equality of opportunity and fair treatment for all union members v2"" (""cfaturc8.pdf"", Current, Original)","[cfauc8] ""Promote equality of opportunity and fair treatment for all union members"" (""cfauc8.pdf"", Current, Original)"
Pair 844,0.87,"[cfamle7] ""Ensure an effective organisational approach to health and safety"" (""cfamle7.pdf"", Current, Original)","[prompr54] ""Ensure an effective organisational approach to health and safety"" (""prompr54.pdf"", Current, Original)"
Pair 845,0.87,"[skapw69] ""Contribute to the communication and promotion of work being undertaken in your playwork setting"" (""skapw69.pdf"", Current, Original)","[skapw78] ""Communicate and promote the work being undertaken in your playwork setting"" (""skapw78.pdf"", Current, Original)"
Pair 846,0.87,"[fspgi10] ""Evaluate insurance products and services"" (""fspgi10.pdf"", Current, Original)","[fspgi10] ""Evaluate insurance products and services legacy"" (""fspgi10l.pdf"", Legacy, Original)"
Pair 847,0.87,"[sempeo270] ""Assembling structural sub assemblies to produce a public service vehicle"" (""sempeo270.pdf"", Current, Original)","[sempeo271] ""Fitting sub assemblies and components to public service vehicles"" (""sempeo271.pdf"", Current, Original)"
Pair 848,0.87,"[sembit2] ""Leading effective teams "" (""sembit2.pdf"", Current, Original)","[sembit402] ""Leading effective teams"" (""sembit402.pdf"", Current, Original)"
Pair 849,0.87,"[sfsslp4] ""Control security incidents"" (""sfsslp4.pdf"", Current, Original)","[sfsslp4l] ""Control security incidents legacy"" (""sfsslp4l.pdf"", Legacy, Original)"
Pair 850,0.865,"[fspfc04] ""Appraise applications for business financing and credit facilities"" (""fspfc04.pdf"", Current, Original)","[fspfc04] ""Appraise applications for business financing and credit facilities legacy"" (""fspfc04l.pdf"", Legacy, Original)"
Pair 851,0.865,"[imimet06] ""Strip vehicles to assess the extent and type of damage"" (""imimet06.pdf"", Current, Original)","[imimet06] ""Strip vehicles to assess the extent and type of damage legacy"" (""imimet06l.pdf"", Legacy, Original)"
Pair 852,0.865,"[sfsslp17] ""Detect loss and theft in retail environments"" (""sfsslp17.pdf"", Current, Original)","[sfsslp17l] ""Detect loss and theft in retail environments legacy"" (""sfsslp17l.pdf"", Legacy, Original)"
Pair 853,0.865,"[asto10] ""Prepare procurement programmes and schedules of work"" (""asto10.pdf"", Current, Original)","[astspm3o10] ""Prepare procurement programmes and schedules of work within a surveying environment"" (""astspm3o10.pdf"", Current, Original)"
Pair 854,0.865,"[fspdc05] ""Handle telephone calls with debtors in an effective way"" (""fspdc05.pdf"", Current, Original)","[fspdc05] ""Handle telephone calls with debtors in an effective way legacy"" (""fspdc05l.pdf"", Legacy, Original)"
Pair 855,0.865,"[cogpack46] ""Manage a project"" (""cogpack46.pdf"", Current, Original)","[prosmd16] ""Manage a mineral development project"" (""prosmd16.pdf"", Current, Original)"
Pair 856,0.865,"[sfsinv2] ""Advise clients on the viability and consequences of carrying out investigations"" (""sfsinv2.pdf"", Current, Original)","[sfsinv2l] ""Advise clients on the viability and consequences of carrying out investigations legacy"" (""sfsinv2l.pdf"", Legacy, Original)"
Pair 857,0.865,"[imimc09] ""Remove, store and fit non-welded, non-structural motorcycle body panels"" (""imimc09.pdf"", Current, Original)","[imimcbp03] ""Remove and fit non welded non-structural motorcycle body panels"" (""imimcbp03.pdf"", Current, Tailored)"
Pair 858,0.865,"[sfl211l] ""Sfl211 operate and monitor the tanker’s systems legacy"" (""operate and monitor the tanker systems legacy.pdf"", Legacy, Original)","[sfldgv3] ""Lsfl3 operate and monitor the vehicle systems legacy"" (""sfldgv3l.pdf"", Legacy, Original)"
Pair 859,0.865,"[proawo11 ] ""Produce machine finished complex or non-routine timber based products  "" (""proawo11 .pdf"", Current, Original)","[proawo30 ] ""Produce machine finished routine timber based products  "" (""proawo30 .pdf"", Current, Original)"
Pair 860,0.865,"[euswfrbe4a] ""Inspect premises (non domestic) for compliance with water fittings regulations/byelaws"" (""euswfrbe4a.pdf"", Current, Original)","[euswfrbe4b] ""Inspect premises (domestic) for compliance with water fittings regulations/byelaws"" (""euswfrbe4b.pdf"", Current, Original)"
Pair 861,0.865,"[sfsphs2] ""Recommend solutions to meet client’s physical security requirements"" (""sfsphs2.pdf"", Current, Original)","[sfssvp3] ""Recommend solutions to meet client’s requirements in relation to securing void properties"" (""sfssvp3.pdf"", Current, Original)"
Pair 862,0.865,"[ccsmpr13] ""Compose music for digital media"" (""ccsmpr13.pdf"", Current, Original)","[ccsmpr4] ""Arrange music for digital media"" (""ccsmpr4.pdf"", Current, Original)"
Pair 863,0.865,"[astpc10 ] ""Advise customers on services and estimate resources and costs"" (""astpc10.pdf"", Current, Original)","[astpes10] ""Advise customers on service and estimate resources and costs"" (""astpes10.pdf"", Current, Original)"
Pair 864,0.865,"[skagh18 (2)] ""Provide colour correction services gh18"" (""skagh18 (2).pdf"", Current, Original)","[skagh18] ""Provide colour correction services"" (""skagh18.pdf"", Current, Original)"
Pair 865,0.865,"[semfwe3-26] ""Heat treating materials for fabrication activities"" (""semfwe326.pdf"", Current, Original)","[semme3161] ""Heat treating materials for marine fabrication activities"" (""semme3161.pdf"", Current, Original)"
Pair 866,0.865,"[fspgi22] ""Prepare insurance policy documentation for complex new business"" (""fspgi22.pdf"", Current, Original)","[fspgi22] ""Prepare insurance policy documentation for complex new business legacy"" (""fspgi22l.pdf"", Legacy, Original)"
Pair 867,0.865,"[imiarpdrcr03] ""Remove dents and creases from motor vehicles where access is difficult or restricted"" (""imiarpdrcr03l.pdf"", Current, Original)","[imiarpdrcr06] ""Remove multiple dents and creases from motor vehicles where access is difficult or restricted"" (""imiarpdrcr06l.pdf"", Current, Original)"
Pair 868,0.865,"[cogesa13.8] ""Conduct an assessment of the risks in the workplace"" (""cogesa13.8.pdf"", Current, Original)","[cogpio3.13] ""Conduct an assessment of risks in the workplace in processing industries operations"" (""cogpio3.13.pdf"", Current, Tailored)"
Pair 869,0.865,"[cfaturl3] ""Support union members to planning and managing their learning v2"" (""cfaturl3.pdf"", Current, Original)","[cfaul3] ""Support union members in planning and managing their learning"" (""cfaul3.pdf"", Current, Original)"
Pair 870,0.865,"[fspfc03] ""Charge and control securities for financing"" (""fspfc03.pdf"", Current, Original)","[fspfc03] ""Charge and control securities for financing legacy"" (""fspfc03l.pdf"", Legacy, Original)"
Pair 871,0.865,"[cfabaa621] ""Make and receive telephone calls"" (""cfabaa621.pdf"", Current, Original)","[ppl1foh4] ""Make and receive telephone calls "" (""ppl1foh4l.pdf"", Legacy, Imported)"
Pair 872,0.865,"[cfaint03] ""Interpret one-way as a professional interpreter "" (""cfaint03.pdf"", Current, Original)","[cfaint04] ""Interpret two-way as a professional interpreter "" (""cfaint04.pdf"", Current, Original)"
Pair 873,0.865,"[sfhcma2] ""Establish an individual's functional capabilities in the context of long term conditions clinical management"" (""sfhcma2.pdf"", Current, Original)","[sfhec10] ""Establish an individual's functional capabilities in the context of an emergency presentation"" (""sfhec10.pdf"", Current, Original)"
Pair 874,0.86,"[cfaturc1] ""Represent the union and promote its policies v2"" (""cfaturc1.pdf"", Current, Original)","[cfauc1] ""Represent the union and promote its policies"" (""cfauc1.pdf"", Current, Original)"
Pair 875,0.86,"[sfjdh1] ""Respond to enquiries regarding courts and tribunals"" (""sfjdh1.pdf"", Current, Original)","[sfjdh1] ""Respond to enquiries regarding courts and tribunals"" (""sfjdh1l.pdf"", Current, Original)"
Pair 876,0.86,"[sfsmfp5] ""Commission mechanical fire protection systems"" (""sfsmfp5.pdf"", Current, Original)","[sfs mfp 5l] ""Commission mechanical fire protection solutions"" (""sfsmfp5l.pdf"", Legacy, Original)"
Pair 877,0.86,"[lsi yw26] ""Identify and secure funding and resources for youth work  "" (""lsi yw26.pdf"", Current, Original)","[lsiyw4.2.4 v2] ""Identify and secure resources for youth work"" (""lsiyw4.2.4 v2.pdf"", Current, Original)"
Pair 878,0.86,"[semme3038] ""Overhauling and repairing marine electrical rotating machines and domestic equipment"" (""semme3038.pdf"", Current, Original)","[semme338] ""Overhauling electrical marine rotating machines and domestic equipment"" (""semme338.pdf"", Current, Original)"
Pair 879,0.86,"[sfjdd3] ""Manage jurors and protect their integrity at court"" (""sfjdd3.pdf"", Current, Original)","[sfjdd3] ""Manage jurors and protect their integrity at court"" (""sfjdd3l.pdf"", Current, Original)"
Pair 880,0.86,"[skag17 (3)] ""Give clients a positive impression of yourself and your organisation"" (""skag17 (3).pdf"", Current, Original)","[skag17] ""Give clients a positive impression of yourself and your organisation "" (""skag17.pdf"", Current, Imported)"
Pair 881,0.86,"[sfsctv1] ""Maintain confidentiality and security of information from cctv"" (""sfsctv1.pdf"", Current, Original)","[sfs ctv 1l] ""Maintain confidentiality and security of information from cctv legacy"" (""sfsctv1l.pdf"", Legacy, Original)"
Pair 882,0.86,"[fspio13] ""Deal with complaints relating to financial services products or services"" (""fspio13.pdf"", Current, Original)","[fspio13] ""Deal with complaints relating to financial services products and/or services legacy"" (""fspio13l.pdf"", Legacy, Original)"
Pair 883,0.86,"[imihv06] ""Inspect commercial vehicles"" (""imihv06.pdf"", Current, Original)","[imimrhv06] ""Inspect commercial motor vehicles - legacy"" (""imimrhv06l.pdf"", Legacy, Original)"
Pair 884,0.86,"[procwp152] ""Maintain equipment in working order in a fibreboard operation"" (""procwp152.pdf"", Current, Original)","[proem004] ""Maintain equipment in working order "" (""proem004.pdf"", Current, Original)"
Pair 885,0.86,"[sfhaf2] ""Carry out assessment to identify and prioritise needs in a substance misuse setting"" (""sfhaf2.pdf"", Current, Original)","[sfjcjge13] ""Carry out assessment to identify and prioritise needs associated with substance misuse"" (""sfjcjge13.pdf"", Current, Original)"
Pair 886,0.86,"[cogesa7.5] ""Supervise the maintenance of storage conditions for explosive substances and/or articles"" (""cogesa7.5.pdf"", Current, Original)","[cogesa7.6] ""Maintain the quality of explosive substances and/or articles in storage"" (""cogesa7.6.pdf"", Current, Original)"
Pair 887,0.86,"[cosvr213] ""Co-ordinate and organise work operations legacy"" (""cosvr213l.pdf"", Legacy, Original)","[prodod33] ""Co-ordinate and organise work operations  "" (""prodod33.pdf"", Current, Imported)"
Pair 888,0.86,"[semaut3045] ""Conducting and monitoring static tests on vehicles"" (""semaut3045.pdf"", Current, Original)","[semaut3046] ""Conducting and monitoring road tests on vehicles"" (""semaut3046.pdf"", Current, Original)"
Pair 889,0.86,"[cospi28] ""Co-ordinate plant installation work activities"" (""cospi28.pdf"", Current, Original)","[cospm25] ""Co-ordinate plant maintenance work activities"" (""cospm25.pdf"", Current, Original)"
Pair 890,0.86,"[semme3191] ""Inspecting marine coatings"" (""semme3191.pdf"", Current, Original)","[semme3236] ""Inspecting surface coatings on yachts and boats"" (""semme3236.pdf"", Current, Original)"
Pair 891,0.86,"[ccsj3.12] ""Join silverware components by soldering"" (""ccsj3.12.pdf"", Current, Original)","[ccsj3.9] ""Join jewellery components by soldering "" (""ccsj3.9.pdf"", Current, Original)"
Pair 892,0.86,"[impem118k] ""Understand how to carry out fault diagnosis on engineered systems within food and drink operations"" (""impem118k.pdf"", Current, Original)","[impem136k] ""Understand how to carry out fault diagnosis on services and systems for food and drink operations"" (""impem136k.pdf"", Current, Original)"
Pair 893,0.86,"[sfsmfp4] ""Install mechanical fire protection"" (""sfsmfp4.pdf"", Current, Original)","[sfs mfp 4l] ""Install mechanical fire protection legacy"" (""sfsmfp4l.pdf"", Legacy, Original)"
Pair 894,0.86,"[pplemtsa7] ""Identify and negotiate contracts for an event "" (""pplemtsa7.pdf"", Current, Original)","[ppleva6] ""Identify and negotiate contracts for an event"" (""ppleva6.pdf"", Current, Original)"
Pair 895,0.86,"[semeee3-36] ""Checking the compliance of electrical equipment"" (""semeee336.pdf"", Current, Original)","[semeee36] ""Checking the compliance of electrical equipment against the specification"" (""semeee36.pdf"", Current, Original)"
Pair 896,0.86,"[sfjhf19] ""Develop proposals to meet external tendering requirements"" (""sfjhf19.pdf"", Current, Original)","[sfjhf19] ""Develop proposals to meet external tendering requirements legacy"" (""sfjhf19l.pdf"", Legacy, Original)"
Pair 897,0.86,"[ccsmb6] ""Support a music industry marketing campaign"" (""ccsmb06.pdf"", Current, Original)","[ccsrcs9] ""Support a collecting society marketing campaign within a music business context"" (""ccsrcs9.pdf"", Current, Original)"
Pair 898,0.86,"[skabt28] ""Perform photo rejuvenation of the skin using intense pulsed light or laser systems legacy"" (""skabt28l.pdf"", Legacy, Original)","[skabt29] ""Reduction of hair growth using intense pulsed light or laser systems legacy"" (""skabt29l.pdf"", Legacy, Original)"
Pair 899,0.86,"[sfjgb3] ""Enable individuals to understand and address their difficulties"" (""sfjgb3.pdf"", Current, Original)","[sfj gb3] ""Enable individuals to understand and address their difficulties"" (""sfjgb3l.pdf"", Current, Original)"
Pair 900,0.855,"[semme2004] ""Carrying out the installation of cable runs and circuits in marine structures"" (""semme2004.pdf"", Current, Original)","[semme3004] ""Installing cable runs and circuits in marine structures"" (""semme3004.pdf"", Current, Original)"
Pair 901,0.855,"[astc02] ""Manage your own work"" (""astc02.pdf"", Current, Original)","[astspm3c02] ""Manage your own work within a surveying environment"" (""astspm3c02.pdf"", Current, Original)"
Pair 902,0.855,"[ccstp69] ""Run and crew an ongoing production legacy"" (""ccstp69l.pdf"", Legacy, Original)","[ccsttl50] ""Manage ongoing live productions  "" (""ccsttl50.pdf"", Current, Original)"
Pair 903,0.855,"[fspdc07] ""Administer the debt collections process"" (""fspdc07.pdf"", Current, Original)","[fspdc07] ""Administer the debt collections process legacy"" (""fspdc07l.pdf"", Legacy, Original)"
Pair 904,0.855,"[sfjcps8.14] ""Analyse and report data"" (""sfjcps8.14.pdf"", Current, Tailored)","[sfjpa2.1] ""Analyse and report data"" (""sfjpa2.1.pdf"", Current, Tailored)"
Pair 905,0.855,"[euswo40] ""Carry out your responsibilities at work"" (""euswo40.pdf"", Current, Imported)","[sfjza10] ""Carry out your responsibilities at work"" (""sfjza10.pdf"", Current, Original)"
Pair 906,0.855,"[cogscim2_05 ] ""Transfer materials in a biomanufacturing environment"" (""cogscim2_05 .pdf"", Current, Original)","[cogscim3_09] ""Monitor the transfer of materials in the biomanufacturing environment"" (""cogscim3_09.pdf"", Current, Original)"
Pair 907,0.855,"[semaut3079] ""Carrying out visual inspection of welded motorsport components or structures"" (""semaut3079.pdf"", Current, Original)","[semets3-14] ""Carrying out visual inspection of welded fabrications"" (""semets314.pdf"", Current, Original)"
Pair 908,0.855,"[fspamfpi01] ""Provide an administrative service for mortgage or financial planning clients "" (""fspamfpi01.pdf"", Current, Original)","[fspamfpi01] ""Provide an administrative service for mortgage and/or financial planning clients legacy"" (""fspamfpi01l.pdf"", Legacy, Original)"
Pair 909,0.855,"[sfhec19] ""Perform manual external defibrillation on an adult or older person "" (""sfhec19.pdf"", Current, Original)","[sfhec20] ""Perform manual external defibrillation on a child or young person "" (""sfhec20.pdf"", Current, Original)"
Pair 910,0.855,"[sfjcjhf26] ""Contribute to the development and promotion of the organisation and its services"" (""sfjcjhf26l.pdf"", Current, Original)","[sfjhf26] ""Contribute to the development and promotion of the organisation and its services"" (""sfjhf26.pdf"", Current, Original)"
Pair 911,0.855,"[semmme3-052] ""Handing over machine tools to production operators"" (""semmme3052.pdf"", Current, Original)","[semmpf362] ""Handing over plastic injection moulding machines to production operators"" (""semmpf362.pdf"", Current, Original)"
Pair 912,0.855,"[fspfcc01] ""Review and develop yourself to improve and maintain workplace competence in a financial services environment"" (""fspfcc01.pdf"", Current, Original)","[fspfcc01] ""Develop yourself to improve and maintain workplace competence in a financial services environment legacy"" (""fspfcc01l.pdf"", Legacy, Original)"
Pair 913,0.855,"[ppl.b308] ""Monitor and contribute to improving food safety in a retail organisation"" (""ppl.b308.pdf"", Current, Original)","[ssr.b308] ""Monitor and help improve food safety in a retail environment legacy"" (""ssrb308l.pdf"", Legacy, Original)"
Pair 914,0.855,"[euswo01l] ""Maintain a healthy and safe working environment for waste management activities legacy"" (""euswo01l.pdf"", Legacy, Original)","[eusws02l] ""Provide health and safety in the working environment for waste management activities legacy"" (""eusws02.pdf"", Legacy, Original)"
Pair 915,0.855,"[sfhmcn7] ""Develop and agree individualised antenatal care plans "" (""sfhmcn7.pdf"", Current, Original)","[sfhmcn8] ""Develop and agree individualised care plans for labour and birth "" (""sfhmcn8.pdf"", Current, Original)"
Pair 916,0.855,"[cogpoh12] ""Prepare and shut down process systems"" (""cogpoh12.pdf"", Current, Original)","[cogpoh20] ""Prepare and shut down remote integrated process systems"" (""cogpoh20.pdf"", Current, Original)"
Pair 917,0.855,"[semae3352] ""Identifying, monitoring and resolving aircraft maintenance programme problems"" (""semae3352.pdf"", Current, Original)","[semcaw404] ""Identify, monitor and resolve aircraft maintenance programme problems"" (""semcaw404.pdf"", Current, Original)"
Pair 918,0.855,"[sfjccad2] ""Promote business continuity management"" (""sfjccad2.pdf"", Current, Original)","[sfjccad2] ""Promote business continuity management"" (""sfjccad2l.pdf"", Current, Original)"
Pair 919,0.855,"[skacb7] ""Creatively cut hair using a combination of barbering techniques"" (""skacb7.pdf"", Current, Original)","[skach9] ""Creatively cut hair using a combination of techniques"" (""skach9.pdf"", Current, Original)"
Pair 920,0.855,"[euslpg14] ""Install complex systems and components"" (""euslpg14.pdf"", Current, Original)","[euslpg4] ""Install gas systems and components"" (""euslpg4.pdf"", Current, Original)"
Pair 921,0.855,"[profsb02] ""Contribute to the work of the installation team  legacy"" (""profsb02l.pdf"", Legacy, Original)","[proglaze2] ""Contribute to the work of the glazing team"" (""proglaze2.pdf"", Current, Original)"
Pair 922,0.855,"[pplemtsa3] ""Develop and agree a business plan for an event "" (""pplemtsa3.pdf"", Current, Original)","[pplevf13] ""Develop and agree a business plan for an event"" (""pplevf13.pdf"", Current, Original)"
Pair 923,0.855,"[impso709] ""Serve on a specialist cooked meat retail counter"" (""impso709.pdf"", Current, Original)","[impso710] ""Serve on a specialist raw meat retail counter"" (""impso710.pdf"", Current, Original)"
Pair 924,0.855,"[proffi409] ""Plan and manage design work in the kitchen, bedroom and bathroom industry"" (""proffi409.pdf"", Current, Original)","[prosf368] ""Plan and manage design work "" (""prosf368.pdf"", Current, Imported)"
Pair 925,0.855,"[proff9] ""Apply polishes, waxes, oils, varnishes and lacquers by hand   "" (""proff9.pdf"", Current, Original)","[proffi239] ""Finish hand-crafted furniture - legacy"" (""proffi239l.pdf"", Legacy, Original)"
Pair 926,0.855,"[proff14] ""Check, pack and store furniture items and components"" (""proff14.pdf"", Current, Original)","[proffi104] ""Pack and store furniture items and components "" (""proffi104.pdf"", Current, Original)"
Pair 927,0.855,"[skagh19 (2)] ""Creatively style and dress hair gh19"" (""skagh19 (2).pdf"", Current, Original)","[skagh19] ""Creatively style and dress hair"" (""skagh19.pdf"", Current, Original)"
Pair 928,0.855,"[astrbm07] ""Manage service providers for residential blocks"" (""astrbm07.pdf"", Current, Original)","[astrbm7] ""Manage service providers for residential blocks "" (""astrbm7.pdf"", Current, Original)"
Pair 929,0.855,"[ppl1foh5] ""Receive, move and store customer and organisation property"" (""ppl1foh5.pdf"", Current, Original)","[ppl1foh5] ""Receive, move and store customer and organisation property"" (""ppl1foh5l.pdf"", Legacy, Original)"
Pair 930,0.855,"[ccsdes5] ""Follow a design process"" (""ccsdes5.pdf"", Current, Original)","[proffi402] ""Follow a design process in the kitchen, bedroom and bathroom industry"" (""proffi402.pdf"", Current, Original)"
Pair 931,0.85,"[semae3089] ""Applying aircraft paint finishes by hand"" (""semae3089.pdf"", Current, Original)","[semae3090] ""Applying aircraft paint finishes by spray guns"" (""semae3090.pdf"", Current, Original)"
Pair 932,0.85,"[sfl225] ""Plan the route and timings for the collection or delivery of multi-drop loads"" (""sfl225.pdf"", Current, Original)","[sfldgv9] ""Plan the route and timings for the collection or delivery of loads"" (""sfldgv9.pdf"", Current, Original)"
Pair 933,0.85,"[pplrec06] ""Plan for further professional development in the rail engineering industry"" (""pplrec06  plan for further professional development in the rail engineering industry.pdf"", Current, Original)","[pplrs06] ""Plan for further professional development in the rail industry"" (""pplrs06.pdf"", Current, Original)"
Pair 934,0.85,"[fspba08] ""Process the transfer of foreign currency"" (""fspba08.pdf"", Current, Original)","[fspba8] ""Process the transfer of foreign currency legacy"" (""fspba08l.pdf"", Legacy, Original)"
Pair 935,0.85,"[impmp235] ""Monitor the slicing and wrapping of meat and meat products"" (""monitor-the-slicing-and-wrapping-of-meat-and-meat-products-impmp235.pdf"", Current, Original)","[impmp233] ""Monitor treatment operations in meat processing"" (""monitor-treatment-operations-in-meat-processing-impmp233.pdf"", Current, Original)"
Pair 936,0.85,"[pplemtsd5] ""Manage contracts for an event "" (""pplemtsd5.pdf"", Current, Original)","[pplevc5] ""Manage contracts for an event"" (""pplevc5.pdf"", Current, Original)"
Pair 937,0.85,"[cfaturo3] ""Plan, implement and co-ordinate local union participative structures and processes v2"" (""cfaturo3.pdf"", Current, Original)","[cfauo3] ""Plan, implement and co-ordinate local union participative structures and processes"" (""cfauo3.pdf"", Current, Original)"
Pair 938,0.85,"[eusdsg3.37] ""Identify and rectify faults in cooling systems, equipment and components"" (""eusdsg3.37.pdf"", Current, Imported)","[summes20] ""Identify and rectify faults in cooling systems, equipment and components - legacy"" (""summes20l.pdf"", Legacy, Original)"
Pair 939,0.85,"[sumetpm202] ""Manage the effectiveness of the project workforce in the electrotechnical work location legacy"" (""sumetpm202l.pdf"", Legacy, Original)","[sumsste2] ""Manage the effectiveness of the project workforce in the building services engineering work location - legacy"" (""sumsste2l.pdf"", Legacy, Original)"
