,Keywords,Keywords_2
semmme3115.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, valve, assemblies, rotary, linear, action,', 'globe, wedge gate, parallel slide, piston, diaphragm, gate, pinch, ball, butterfly,', 'plug, rotating shoe, needle', '9']"
semmme3116.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, hydraulic, equipment, components, pump,', 'hydraulic motor, power unit, oil cooler, pressure, control valve, flow, directional,', 'proportional, intensifier, regulator, accumulator, cylinder, single acting, double', 'acting, rotary', '8']"
semmme3117.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, equipment, component, pneumatic,', 'vacuum, compressed air, pump, cooler, extractor, heat exchanger, humidifier,', 'pressure intensifier, accumulator, compressor, control valve, regulator,', 'actuator, linear, rotary, reservoir, test', '8']"
semmme3118.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, test, industrial power turbine, igniter,', 'ground idle, fuel flow, running, handling, performance curve, vibration,', 'pressure, temperature, fire detection, fire protection, specification', '7']"
semmme3119.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, test, piston engine, fixed dynamometer, two', 'stroke, four stroke, internal combustion, compression ignition, test sequence,', 'running, handling, performance curve, vibration, pressure, temperature, fuel', 'flow, maximum power', '8']"
semmme3120.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, spring making, compression springs, hand forming,', 'open ended, closed end, right hand helix, left hand helix, conical, hour glass,', 'barrel, garter, constant pitch, variable pitch, carbon steel, alloy steel, stainless', 'steel, nickel based alloy', '8']"
semmme3121.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, spring making, torsion springs, hand forming, right', 'hand helix, left hand helix, single torsion, double torsion, hook ends, hinge', 'ends, straight torsion, straight offset, special ends, carbon steel, alloy steel,', 'stainless steel, nickel based alloy', '8']"
semmme3123.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, spring making, spring wire forms, hand forming,', 'spring pins, clips, key rings, plain wire rings, retaining rings, carbon steel, alloy', 'steel, stainless steel, nickel based alloys, copper based alloy, titanium', '8']"
semmme3124.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, spring making, grinding, spring ends, by hand, single', 'end, double end, grinding wheels, linishing, carbon steel, alloy steel, stainless', 'steel, nickel based alloys, copper based alloy, titanium', '8']"
semmme3125.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, spring making, setting up, automatic machines, cold', 'wire, compression spring, open ended, closed end, right hand helix, left hand', 'helix, conical, hour glass, barrel, garter, constant pitch, variable pitch, carbon', 'steel, alloy steel', '9']"
semmme3126.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, spring making, setting up, automatic machines, cold', 'wire, torsion spring, right hand helix, left hand helix, single torsion, double', 'torsion, wire forms, hook ends, hinge ends, straight torsion, straight offset,', 'special ends, carbon', '9']"
semmme3152.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, photonics, machining, optical, prism, flat component,', 'lap-master, twin lap polishing, hard lap polishing, roof prism, zinc selenide,', 'zinc sulphide, barium crown, borosilicate crown, flint, optical orange, optical', 'blue, filter glass', '6']"
semmme3153.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, photonics, setting, CNC, turning machine, aspheric', 'glass, diamond, aspheric generating, aspheric polishing, diamond turning', 'aspheric process, diamond turning diffractive process, diamond turning hybrid', 'process', '7']"
semmme3154.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, photonics, machining, optical components, CNC,', 'turning machine, aspheric glass, diamond, aspheric generating, aspheric', 'polishing, diamond turning aspheric process, diamond turning diffractive', 'process, diamond turning hybrid process', '7']"
semmme3155.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, photonics, setting, CNC, optical, grinding machine,', 'polishing machine, smoothing machine, edging machine, special purpose', 'machine, rough grinding, forming, edging, polishing, zinc selenide, zinc', 'sulphide, germanium, silicon, cleartran', '8']"
semmme3158.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, photonics, machining, optical plastic, components,', 'automated, lens, prism, flat, generating, edging, smoothing, cleaning,', 'polishing, stabilisation, diamond turning, special materials, cyclic olefin, acrylic,', 'polyethyrene, polyether', '8']"
semmme3159.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, photonics, polishing, smoothing, lens, mirror, surface,', 'Foucault test, radius check, number of rings, surface defects, lens centre', 'thickness, lens cap height, lens surface form error, prism angles', '7']"
semmme3160.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, photonics, vacuum coating, optical materials, infrared coating, special material coating, visible dichroics, edge filters coating,', 'graded coating, polycarbonate coating, anti-reflection coating, zinc selenide,', 'zinc sulphide, germa', '6']"
semmme3162.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, photonics, inspecting, optical components, coordinate measuring machine, CMM, vertical, horizontal, gantry, bridge, lens,', 'dome, combiner, flat, cylinder, prism, mirror', '8']"
semmme3163.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, photonics, laser, optical, metrology, lens, dome,', 'combiner, flat, cylinder, prism, mirror, surface, spherical, interferometer,', 'interferogram, transmission, phase shifting, fringe patterns, concave parabolic', 'test, elliptical test', '8']"
semmme3164.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, photonics, terminating, fibre-optic, cable, simplex,', 'duplex, lucent connector (LC), Pigtail, ST LC, FC, MTRJ, E2000, SMA,', 'ESCON, MU, LX.5, MPO/MTP, FDDI, TAP 8', '8']"
semmme3165.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, photonics, building, assembling, optical, system,', 'optical systems, sensing, measuring, data, imaging, display', '8']"
semmme3166.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, photonics, laser, optical, system, alignment, welding,', 'drilling, cutting, marking out, inspection, heat treatment, guidance, imaging,', 'holographic, telemetry, control unit, lens, interferometer, mirror, receiver unit', '8']"
semmme3167.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, photonics, aligning, setting up, holographic,', 'equipment, reflection hologram, transmission hologram, shutter, subject, laser,', 'beam expander, spatial filter, blank, plate, reference beam, mirror', '7']"
semmpao39.pdf,"laboratory, technical, lata, environment, criteria, safety factors, cleanliness, calibration, homogeneity","['engineering; metals; manufacturing; processing; controlling; treating; molten', 'steel; molten iron; molten metal; alloy; casting; techniques; equipment', 'inspection; testing; samples; manually; automated; rolling; drawing; sizing;', 'shaping; forging; extrusion', '5']"
sempat05.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, machining, sawing', 'machine, router, planer, morticer, tenoner, combing machine', '6']"
sempat06.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, producing,', 'finishing, components, hand tools, saw, planes, spokeshaves, chisels, files,', 'rasps', '6']"
sempat07.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, machining, wood', 'turning, techniques, equipment, profile turning, taper turning', '6']"
sempat08.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, assembly, jigs,', 'frames, furniture, show stands, cases, storage units', '7']"
sempat09.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, components,', 'structures, surface finishing, applying lacquers, water based paints, oil based', 'paints, varnish, French polishing', '6']"
sempat10.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, installing, wooden', 'structures, furniture, fittings, door frames, studded walls', '7']"
sempat11.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, marking out,', 'patterns, corebox, model components, mould, marking out equipment', '7']"
sempat12.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, woodworking', 'machines, wood miller, wood lathe, wood sander, wood planer, wood sawing', '7']"
sempat13.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, machining, milling,', 'turning, grinding, electro discharge machine, band sawing, corebox, model,', 'components', '6']"
sempat15.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, manufacture,', 'patterns, corebox, model, components, hand fitting, techniques', '7']"
sempat16.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, manufacture,', 'patterns, corebox, model, components, FRP, vacuum bagging', '7']"
sempat17.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, assembly, wood', 'patterns, composite patterns, wood corebox, wood models, composite models,', 'split patterns with cores, plated patterns', '8']"
sempat18.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, assembly, corebox,', 'model, components, metal patterns, metal corebox, metal models, patterns', 'with cores, vacuum forming tools', '8']"
sempat19.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, manufacture, cast', 'resin, patterns, corebox, model components, resin casting equipment,', 'techniques', '7']"
sempat20.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, proving, patterns,', 'corebox, models, sample castings, resin model components', '6']"
sempat21.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, drawings, 2D CAD', 'pattern drawings, 2D CAD corebox drawings, 2D CAD model drawings, first', 'angle drawings, first angle projection, third angle projection, third angle', 'drawings', '7']"
sempat22.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, drawings, 3D CAD', 'pattern drawings, 3D CAD corebox drawings, 3D CAD model drawings,', 'surface modelling, solid modelling', '7']"
sempat23.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, setting, NC', 'machine, CNC machine, CNC machine centre, CNC milling machine, CNC', 'turning machine, CNC electro-discharge machine', '8']"
sempat24.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, components,', 'programming, CNC machines, loading data, inputting data, saving, editing', '7']"
sempat25.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, manufacture,', 'produce, CNC machines, patterns, corebox, model components, techniques', '8']"
sempat26.pdf,"engineering, woodworking, pattern making, model making, manufacture, produce, components, flexible composite materials, flexible models, rubber moulds, silicon moulds, moulding techniques","['engineering, woodworking, pattern making, model making, inspection,', 'components, co-ordinate measuring, methods, CMM, pattern, corebox, model', '7']"
semts204.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, producing engineering drawings, modifying', 'engineering drawings, cad, mechanical, fabrication, component drawings,', 'assembly drawings, installation drawings.', '8']"
semts205.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, producing engineering drawings, modifying', 'engineering drawings, cad, electrical, electronic, circuit layout, circuit', 'diagrams, wiring diagrams.', '8']"
semts206.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, producing engineering drawings, modifying', 'engineering drawings, cad, engineering services, fluid power, water', 'distribution, environmental control, refrigeration.', '8']"
semts207.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, producing engineering models, modifying', 'engineering models, cad, cad models, 3d modelling, 2d prints, 3d prints,', 'company standards.', '8']"
semts208.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, checking mechanical components, checking', 'assemblies, dimensional checks, visual checks, approved procedures,', 'documentation, inspection equipment, inspection activities.', '8']"
semts209.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, checking components, co-ordinate measuring', 'machines (cmm), quality control, inspection, measuring programme, inspection', 'probes, first off inspection, final inspection.', '8']"
semts210.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, checking electrical products, testing electrical', 'products, checks, tests, specification, equipment, inspection, instruments.', '6']"
semts211.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, checking electronic products, testing electronic', 'products, electronic assemblies, printed circuit board assemblies, power', 'supplies, motor control equipment, signal processing equipment, alarm and', 'protection equipment.', '8']"
semts212.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, checking fabricated components, checking', 'structures, flat sheet components, pressings, fabricated frames, tanks, pipe', 'sections, modular components.', '7']"
semts213.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, engineering products, penetrant flaw detection,', 'ferrous engineering products, non-ferrous engineering products, detection', 'techniques, penetrant fluids, developers, ultraviolet light imaging.', '7']"
semts214.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, engineering products, magnetic particle', 'testing, ferromagnetic, magnetising components, detecting ink, detecting', 'powder, magnetic flux indicators, demagnetising.', '7']"
semts215.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, operating programmes, computer controlled', 'machines, programming software, repeat programmes, sub-routines, material', 'removal rates, speeds and feeds, surface finish.', '7']"
semts217.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, producing technical information, approved', 'procedures, machining, assembly, fabrication, maintenance, installation,', 'commissioning.', '7']"
semts218.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, monitoring engineering activities, resources,', 'suppliers, contractors, materials, schedules, timescales, specification.', '6']"
semts220.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, issuing materials, controlling materials, stock', 'control, materials, storage, handling, materials requirements, material', 'processing.', '6']"
semts221.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, technical sales, marketing, technical manuals,', 'bulletins, sales leaflets, specifications, presentations, reports.', '6']"
semts222.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, scheduling engineering activities, multiple', 'operations, multiple resources, manufacturing, installation, commissioning,', 'maintenance, testing.', '8']"
semts223.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, engineering requirements, products, services,', 'workloads, timescales, customer requirements, resources, specifications.', '6']"
semts224.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, condition monitoring, engineering plant,', 'engineering equipment, fault diagnosis, process control, fluid power, integrated', 'systems, monitoring equipment.', '6']"
semts225.pdf,"engineering, technical support, developing customer relationships, maintaining customer relationships, work plans, work activities, effective communications, disagreements, contractual agreements, working relationships","['Engineering, technical support, implementing engineering activities, methods', 'of operation, quality assurance systems, health and safety, environmental', 'requirements, safety precautions, support systems, engineering methods.', '8']"
sfhdiabcyp10.pdf,diabetes,['6']
sfhdiabcyp12.pdf,diabetes,['6']
sfhdiabga1.pdf,diabetes,['5']
sfhdiabga2.pdf,diabetes,['5']
sfhdiabpd12.pdf,diabetes,['5']
sfhdiabpd13.pdf,diabetes,['5']
sfhdiabtx01.pdf,diabetes,['5']
sfhdiabtx02.pdf,diabetes,[]
sfhgen24.pdf,despatch biomedical samples,['6']
sfjccab2.1.pdf,"operational delivery, contact centre, analysis, interpretation and synthesis, data and research","['Operational Delivery, Contact Centre, Segmentation principles, methods, tools', 'and techniques.', '5']"
sfjcjhf25.pdf,manage activities to meet requirements,['8']
sfjcps5.1.pdf,"organisation environment; internal; external;
 mapping",['5']
sfjda101.pdf,"police, courts, hearings; remote; monitoring; security","['police, courts, hearings, provide expert evidence', '7']"
sfjhf14.pdf,"plan systems, implement systems, manage systems, exchange of sensitive information, data and intelligence","['plan systems, implement systems, manage systems, exchange of', 'SFJHF14', '5']"
sfjpsg2.1.1.pdf,administer first aid,"['Leadership, Vision, People Management, PSG', '5']"
skac247.pdf,install acrylic surfaces for sport and play,['5']
sksl11v3.pdf,"textiles, footwear, leather, leathergoods","['textiles, learning, demonstrations, instruction', '5']"
sksl12v3.pdf,"textiles, footwear, leather, leathergoods","['Textiles, learning, coaching', '5']"
skssim1.pdf,sustainability textiles raw materials reuse recycling,"['Recycling, textiles, fashion, yarn, material', '4']"
sumise15.pdf,sectional test pipework and associated system components (integrated systems engineering),"['Sectional test pipework, components, Integrated Systems Engineering', '6', '\x0c']"
supply-veterinary-medicines-lanrvn23.pdf,animal care; pharmacy; qualified person,"['nurses, animals, duties, theatre', '4']"
tdastl27.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['foundation, early years, frameworks, planning, preparation, resources, monitor,', 'assessment, feedback', '6']"
tdastl28.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['subject, organised learning, foundation, play, early years, primary, secondary,', 'vocational, cross-curricular, 14–19 phase, expertise, personal development,', 'knowledge, materials, development, research, evaluation', '8']"
tdastl29.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['assessment, evidence, record keeping, confidentiality, reflective practice,', 'planning, evaluation', '6']"
tdastl3.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['safety, accidents, emergencies, illness, safeguarding, welfare, procedures,', 'policies, environment, behaviour', '8']"
tdastl30.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['learning goals, personalised learning, independent learning, strategies,', 'achievement, communication, peer assessment, self-assessment, reflection', '8']"
tdastl31.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['planning, preparation, organisation, special educational needs, additional', 'support needs, health and safety, hazards, equipment, security, stock, storage,', 'responsibilities, monitor, disability awareness', '5']"
tdastl32.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['reflection, facilitate, activities, community-based projects, field studies, cultural', 'visits, sports, recreation', '6']"
tdastl34.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['able, acceleration, enrichment, extension, planning, preparation, strategies,', 'independence, negotiation', '7']"
tdastl35.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['strategies, speaking, talking, listening, reading, writing, diversity,', 'multiculturalism, anti-racism, self-esteem, independence, monitor, feedback,', 'access, families, immersion', '7']"
tdastl36.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['strategies, speaking, talking, listening, reading, writing, diversity,', 'multiculturalism, anti-racism, self-esteem, independence, monitor, feedback,', 'assessment, immersion, personalised learning, role model, families,', 'communication, home-school liaison', '8']"
tdastl37.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['strategies, consequences, families, carers, parents, communication, role', 'model, well-being, confidentiality, praise, rewards, sanctions, triggers, restraint', '11']"
tdastl39.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['speech, difficulties, dyslexia, dyspraxia, autistic spectrum disorder, sensory', 'impairment, physical impairment, deaf, deafblind, visual impairment,', 'development, communication, AAC, signing, independence, self-esteem,', 'individual education plan, IEP', '6']"
tdastl4.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['Interaction, adults, equality, verbal, non-verbal, communication', 'TDASTL4 Contribute to positive relationships', '6']"
tdastl40.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['monitor, feedback, individual education plan, IEP, behaviour support plans,', 'self-esteem, independence, strategies, behaviour, disability', '8']"
tdastl41.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['special educational needs, additional support needs, withdrawn, isolated,', 'school phobic, disruptive, disturbing, hyperactive, personality disorders,', 'challenging behaviour, inappropriate behaviour, complex needs, strategies,', 'role model, rules, interactions', '8']"
tdastl43.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['healthcare, infection control, standard precautions, health and safety, record', 'keeping', '7']"
tdastl44.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['parents, families, carers, communication, self-help, risks, monitor, review', '10']"
tdastl45.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['development, well-being, behaviour, diversity, respect, risk assessment,', 'supervision, communication, praise, rewards', '7']"
tdastl46.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['problem solving, safety, distress, trust, confidentiality, disclosure, child', 'protection, listening skills', '7']"
tdastl47.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['communication, rights, responsibilities, decision making, influencing skills,', 'presentations, review', '5']"
tdastl48.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['goals, options, consultation, development, boundaries, communication,', 'relationships, reflection, review', '7']"
tdastl49.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['experience, behaviour, development, moving school, transfer, puberty,', 'bereavement, divorce, change, relationships, boundaries, protocols,', 'communication', '6']"
tdastl5.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['Relationships, team work, problem solving, communication, collaboration,', 'confidentiality, feedback, personal development, appraisal, performance', 'review, adults, continuing professional development, CPD', '5']"
tdastl50.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['mentor, capabilities, aspirations, negotiation, work experience, action planning,', 'goals, barriers, communication, problem-solving, review', '9']"
tdastl51.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['procedures, records, data analysis, carers', '4']"
tdastl53.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['music, drama, performance, extended, school, after-school club,', 'communication, relationships, behaviour, health and safety', '7']"
tdastl54.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['environment, recreation, health and safety, planning, affective, communication,', 'creative, dramatic, exploratory, fantasy, imaginative, barriers, risk assessment', '12']"
tdastl55.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['information, confidentiality, legislation, Data Protection, record keeping,', 'responsibilities, security, review', '6']"
