,NOS 1,NOS 2
Pair 685,"('lsi yw26', 'identify and secure funding and resources for youth work  ', 'lsi yw26.pdf')","('lsiyw4.2.4 v2', 'identify and secure resources for youth work', 'lsiyw4.2.4 v2.pdf')"
Pair 686,"('lsicd15', 'use a community development approach to support collaborative and partnership work', 'lsicd15.pdf')","('lsicd16', 'apply a community development approach to strategically co-ordinate networks and partnerships', 'lsicd16.pdf')"
Pair 687,"('lsicld1.1.3 v2', 'encourage individuals through community learning and development processes to broaden their horizons and be active citizens', 'lsicld1.1.3 v2.pdf')","('lsiyw1.1.3 v2', 'enable young people to broaden their horizons to be active citizens', 'lsiyw1.1.3 v2.pdf')"
Pair 688,"('lsicld1.3.3 v2', 'engage with the local community using community learning and development processes', 'lsicld1.3.3 v2.pdf')","('lsiyw3.2.1 v2', 'engage with the local community', 'lsiyw3.2.1 v2.pdf')"
Pair 689,"('lsicld4.3.1 v2', 'support communities to secure resources for community learning and development services', 'lsicld4.3.1 v2.pdf')","('sfjhe805', 'identify and secure resources towards providing mentoring/ befriending services', 'sfjhe805.pdf')"
Pair 690,"('lsiilarg2v2', 'provide support to learners and groups of learners ', 'lsiilarg2v2.pdf')","('lsilssa', 'providing learning support to individuals or groups of learners', 'lsilssa.pdf')"
Pair 691,"('lsiilarh9', 'work with others to improve customer service ', 'lsiilarh9.pdf')","('pplmrpt 18', 'work with others to improve customer service  ', 'pplmrpt18.pdf')"
Pair 692,"('lsiwwp201', '201 contribute to building relationships in work with parents.', 'lsiwwp201.pdf')","('lsiwwp201v2', 'contribute to building relationships in work with parents', 'lsiwwp201v2.pdf')"
Pair 693,"('lsiwwp202', '202 provide access to knowledge and information.', 'lsiwwp202.pdf')","('lsiwwp202v2', 'provide access to knowledge and information', 'lsiwwp202v2.pdf')"
Pair 694,"('lsiwwp301', '301 build and maintain relationships in work with parents.', 'lsiwwp301.pdf')","('lsiwwp301v2', 'build and maintain relationships in work with parents', 'lsiwwp301v2.pdf')"
Pair 695,"('lsiwwp302', '302 communicate effectively with parents.', 'lsiwwp302.pdf')","('lsiwwp302v2', 'communicate effectively with parents', 'lsiwwp302v2.pdf')"
Pair 696,"('lsiwwp303', '303 ensure confidentiality whilst maintaining good practice in child protection.', 'lsiwwp303.pdf')","('lsiwwp303v2', 'ensure confidentiality whilst maintaining good practice in child protection', 'lsiwwp303v2.pdf')"
Pair 697,"('lsiwwp304', '304 build and maintain relationships with colleagues engaged with work with parents.', 'lsiwwp304.pdf')","('lsiwwp304v2', 'build and maintain relationships with colleagues engaged with work with parents', 'lsiwwp304v2.pdf')"
Pair 698,"('lsiwwp306', '306 enable parents to reflect on the influences on parenting and the parent-child relationship.', 'lsiwwp306.pdf')","('lsiwwp306v2', 'enable parents to reflect on the influences on parenting and the parent-child relationship', 'lsiwwp306v2.pdf')"
Pair 699,"('lsiwwp307', '307 work with parents to meet their children’s needs.', 'lsiwwp307.pdf')","('lsiwwp307v2', ""work with parents to meet their children's needs"", 'lsiwwp307v2.pdf')"
Pair 700,"('lsiwwp309', '309 work with parents to understand and meet their own needs.', 'lsiwwp309.pdf')","('lsiwwp309v2', 'work with parents to understand and meet their own needs', 'lsiwwp309v2.pdf')"
Pair 701,"('lsiwwp311', '311 contribute to the work of a team.', 'lsiwwp311.pdf')","('lsiwwp311v2', 'contribute to the work of a team', 'lsiwwp311v2.pdf')"
Pair 702,"('lsiwwp312', '312 deliver services that value and respect parents.', 'lsiwwp312.pdf')","('lsiwwp312v2', 'deliver services that value and respect parents', 'lsiwwp312v2.pdf')"
Pair 703,"('lsiwwp313', '313 provide services that meet parents’ needs.', 'lsiwwp313.pdf')","('lsiwwp313v2', 'provide services that meet parents needs', 'lsiwwp313v2.pdf')"
Pair 704,"('lsiwwp314', '314 work with parents with complex needs who find services hard to reach.', 'lsiwwp314.pdf')","('lsiwwp314v2', 'work with parents with complex needs who find services hard to reach', 'lsiwwp314v2.pdf')"
Pair 705,"('lsiwwp315', '315 meet requirements for the protection and safety of parents.', 'lsiwwp315.pdf')","('lsiwwp315v2', 'meet requirements for the protection and safety of parents', 'lsiwwp315v2.pdf')"
Pair 706,"('lsiwwp316', '316 provide environments that are sensitive to the culture, religion, gender or disability of the parents.', 'lsiwwp316.pdf')","('lsiwwp316v2', 'provide environments that are sensitive to the culture, religion and gender or disability of the parents', 'lsiwwp316v2.pdf')"
Pair 707,"('lsiwwp317', '317 publicise services and recruit parents.', 'lsiwwp317.pdf')","('lsiwwp317v2', 'publicise services and recruit parents', 'lsiwwp317v2.pdf')"
Pair 708,"('lsiwwp319', '319 work with groups of parents.', 'lsiwwp319.pdf')","('lsiwwp319v2', 'work with groups of parents', 'lsiwwp319v2.pdf')"
Pair 709,"('lsiwwp401', '401 develop and undertake inter-agency, cross-sector working.', 'lsiwwp401.pdf')","('lsiwwp401v2', 'develop and undertake inter-agency cross-sector working', 'lsiwwp401v2.pdf')"
Pair 710,"('lsiwwp402', '402 support others in developing their practice.', 'lsiwwp402.pdf')","('lsiwwp402v2', 'support others in developing their practice', 'lsiwwp402v2.pdf')"
Pair 711,"('lsiwwp404', '404 manage or co-ordinate sensitive and inclusive parenting environments.', 'lsiwwp404.pdf')","('lsiwwp404v2', 'manage or co-ordinate sensitive and inclusive parenting environments', 'lsiwwp404v2.pdf')"
Pair 712,"('lsiwwp405', '405 take responsibility for the safety and security of parents, staff and environments.', 'lsiwwp405.pdf')","('lsiwwp405v2', 'take responsibility for the safety and security of parents, staff and environments', 'lsiwwp405v2.pdf')"
Pair 713,"('lsiwwp406', '406 co-ordinate resources.', 'lsiwwp406.pdf')","('lsiwwp406v2', 'coordinate resources', 'lsiwwp406v2.pdf')"
Pair 714,"('lsiwwp407', '407 monitor and evaluate the impact of trends and developments in parenting.', 'lsiwwp407.pdf')","('lsiwwp407v2', 'monitor and evaluate the impact of trends and developments in parenting', 'lsiwwp407v2.pdf')"
Pair 715,"('lsiwwp408', '408 promote a culture of quality in parenting provision.', 'lsiwwp408.pdf')","('lsiwwp408v2', 'promote a culture of quality in parenting provision', 'lsiwwp408v2.pdf')"
Pair 716,"('lsiyw3.3.3 v2', 'involve, motivate and support volunteers', 'lsiyw3.3.3 v2.pdf')","('sfjhk5', 'involve, motivate and retain volunteers ', 'sfjhk5.pdf')"
Pair 717,"('eusfes01', 'maintain a healthy and safe working environment for waste management activities', 'maintain-a-healthy-and-safe-working-environment-for-waste-management-activities-eusfes01.pdf')","('euswo01', 'maintain a healthy and safe working environment for waste management activities', 'maintain-a-healthy-and-safe-working-environment-for-waste-management-activities-euswo01.pdf')"
Pair 718,"('sfs sys 13', 'maintain the performance of electronic security systems', 'maintain-the-performance-of-electronic-security-systems-sfs sys 13.pdf')","('sfs sys 13', 'maintain the performance of electronic security systems', 'sfssys13.pdf')"
Pair 719,"('eusfes13', 'maintain the security of waste management facilities', 'maintain-the-security-of-waste-management-facilities-eusfes13.pdf')","('euswo13', 'maintain the security of waste management facilities', 'maintain-the-security-of-waste-management-facilities-euswo13.pdf')"
Pair 720,"('eusfes35', 'make sure your own actions reduce risks to health and safety', 'make-sure-your-own-actions-reduce-risks-to-health-and-safety-eusfes35.pdf')","('euswo35', 'make sure your own actions reduce risks to health and safety', 'make-sure-your-own-actions-reduce-risks-to-health-and-safety-euswo35.pdf')"
Pair 721,"('euswm15', 'manage and maintain the aftercare of closed and restored landfill sites', 'manage-and-maintain-the-aftercare-of-closed-and-restored-landfill-sites-euswm15.pdf')","('euswm14', 'restore and prepare landfill sites for aftercare ', 'restore-and-prepare-landfill-sites-for-aftercare--euswm14.pdf')"
Pair 722,"('impmp225', 'monitor butchery in sales operations', 'monitor-butchery-in-sales-operations-impmp225.pdf')","('impmp223', 'monitor secondary butchery in meat processing', 'monitor-secondary-butchery-in-meat-processing-impmp223.pdf')"
Pair 723,"('impmp235', 'monitor the slicing and wrapping of meat and meat products', 'monitor-the-slicing-and-wrapping-of-meat-and-meat-products-impmp235.pdf')","('impmp233', 'monitor treatment operations in meat processing', 'monitor-treatment-operations-in-meat-processing-impmp233.pdf')"
Pair 724,"('mpqbl04', 'receive and handle explosive materials on-site', 'mpqbl04.pdf')","('mpqmg25', 'receive and handle explosive materials on-site', 'mpqmg25.pdf')"
Pair 725,"('mpqdo09', 'contribute to the specified drilling programme', 'mpqdo09.pdf')","('mpqmg19', 'contribute to the specified drilling programme', 'mpqmg19.pdf')"
Pair 726,"('mpqdo14', 'drill to drilling specification', 'mpqdo14.pdf')","('mpqmg21', 'drill holes to drilling specification', 'mpqmg21.pdf')"
Pair 727,"('mpqmg08', 'construct shafts in mines', 'mpqmg08.pdf')","('mpqmg09', 'carry out mud, slurry or fluid pump operations in mines', 'mpqmg09.pdf')"
Pair 728,"('mpqmg12', 'operate mining extraction plant or machinery', 'mpqmg12.pdf')","('mpqmg13', 'operate mining plant or machinery to excavate and load', 'mpqmg13.pdf')"
Pair 729,"('mpqmg31', 'store materials derived from mining operations', 'mpqmg31.pdf')","('mpqmg49', 'operate attachments in mines', 'mpqmg49.pdf')"
Pair 730,"('msa a13', 'control the response to emergencies on board a vessel', 'msaa13.pdf')","('msa a14', 'direct the response to emergencies on board a vessel', 'msaa14.pdf')"
Pair 731,"('msa c21', 'manage the operation of vessel propulsion machinery and ancillary systems', 'msac21.pdf')","('msa c22', 'manage the operation of vessel auxiliaries, auxiliary boilers and service machinery', 'msac22.pdf')"
Pair 732,"('sfs sys 16', 'negotiate sales of electronic security systems', 'negotiate-sales-of-electronic-security-systems-sfs sys 16.pdf')","('sfs sys 16', 'negotiate sales of electronic security systems', 'sfssys16.pdf')"
Pair 733,"('o64nstl1', 'provide support for learning activities', 'o64nstl1.pdf')","('tdastl1', 'provide support for learning activities', 'tdastl1.pdf')"
Pair 734,"('sfl211l', 'sfl211 operate and monitor the tanker’s systems legacy', 'operate and monitor the tanker systems legacy.pdf')","('sfldgv3', 'lsfl3 operate and monitor the vehicle systems legacy', 'sfldgv3l.pdf')"
Pair 735,"('cogdo24', 'participate in providing samples for analysis in downstream operations', 'participate-in-providing-samples-for-analysis-in-downstream-operations-cogdo24.pdf')","('cogdo6', 'providing samples for analysis in downstream operations', 'providing-samples-for-analysis-in-downstream-operations-cogdo6.pdf')"
Pair 736,"('sfhci.c', 'perform, interpret and report on ultrasound examinations', 'perform--interpret-and-report-on-ultrasound-examinations-sfhci.pdf')","('sfhci.c', 'perform, interpret and report on ultrasound examinations', 'sfhci.c.pdf')"
Pair 737,"('sfhci.i', 'perform image guided procedures and/or interventions ', 'perform-image-guided-procedures-and-or-interventions--sfhci.pdf')","('sfhci.i', 'perform image guided procedures and/or interventions ', 'sfhci.i.pdf')"
Pair 738,"('eusfes50', 'perform street cleansing by machine', 'perform-street-cleansing-by-machine-eusfes50.pdf')","('euswo50', 'perform street cleansing by machine', 'perform-street-cleansing-by-machine-euswo50.pdf')"
Pair 739,"('ppl 4km33', 'develop and deliver a menu which meets organisational standards and financial targets', 'ppl 4km33.pdf')","('ppl4km33', 'develop and deliver a menu which meets organisational standards and financial targets', 'ppl4km33.pdf')"
Pair 740,"('ppl.a406', ""contribute to developing a retail organisation's understanding of its market and customers for its merchandise"", 'ppl.a406.pdf')","('ssr.a406', 'contribute to developing your company’s understanding of its market and customers legacy', 'ssra406l.pdf')"
Pair 741,"('ppl.b308', 'monitor and contribute to improving food safety in a retail organisation', 'ppl.b308.pdf')","('ssr.b308', 'monitor and help improve food safety in a retail environment legacy', 'ssrb308l.pdf')"
Pair 742,"('ppl.b403', 'evaluate proposals and options for retail products', 'ppl.b403.pdf')","('ssr.b403', 'evaluate options for retail products legacy', 'ssrb403l.pdf')"
Pair 743,"('ppl.b416', 'plan and agree markdowns of stock', 'ppl.b416.pdf')","('ssr.b416', 'plan markdowns legacy', 'ssrb416l.pdf')"
Pair 744,"('ppl.c234', 'evaluate and improve retail displays', 'ppl.c234.pdf')","('ssr.c234', 'evaluate and improve retail displays legacy', 'ssrc234l.pdf')"
Pair 745,"('ppl.e210', 'prepare newspapers and magazines for return to the merchandiser', 'ppl.e210.pdf')","('ssr.e210', 'prepare newspapers and magazines for return to the merchandiser legacy', 'ssre210l.pdf')"
Pair 746,"('ppl.e403', 'analyse and present reports on sales, stock and profit performance', 'ppl.e403.pdf')","('ssr.e403', 'analyse and present reports on sales, stock and profit performance legacy', 'ssre403l.pdf')"
Pair 747,"('ppl.mcr06', 'analyse feedback from retail customers of a multi-channel retail organisation when goods are returned', 'ppl.mcr06.pdf')","('ssr.mcr06', 'analyse feedback from customers of a multi-channel retail business legacy', 'ssrmcr06l.pdf')"
Pair 748,"('ppl.mcr12', 'project manage the production of photographs or videos for use on a trading website', 'ppl.mcr12.pdf')","('ssr.mcr12', 'organise the production of photographs or videos for use on a trading website legacy', 'ssrmcr12l.pdf')"
Pair 749,"('ppl.mcr15', 'use in-store online facilities to achieve retail sales', 'ppl.mcr15.pdf')","('pplmcr15', 'use in-store online facilities to achieve retail sales', 'pplmcr15.pdf')"
Pair 750,"('ppl.mcr18', 'maintain the confidentiality and security of online data regarding retail customers', 'ppl.mcr18.pdf')","('pplmcr18', 'maintain the confidentiality and security of online data regarding retail customers', 'pplmcr18.pdf')"
Pair 751,"('ppl1foh1', 'process information for the reception function', 'ppl1foh1.pdf')","('ppl1foh1', 'process information for reception function ', 'ppl1foh1l.pdf')"
Pair 752,"('ppl1foh5', 'receive, move and store customer and organisation property', 'ppl1foh5.pdf')","('ppl1foh5', 'receive, move and store customer and organisation property', 'ppl1foh5l.pdf')"
Pair 753,"('ppl1gen5', 'clean and store crockery and cutlery', 'ppl1gen5.pdf')","('ppl1gen5', 'clean and store crockery and cutlery', 'ppl1gen5l.pdf')"
Pair 754,"('ppl1gen6', 'maintain a vending machine', 'ppl1gen6.pdf')","('ppl1gen6', 'maintain a vending machine', 'ppl1gen6l.pdf')"
Pair 755,"('ppl1pc10', 'prepare and cook vegetable protein', 'ppl1pc10.pdf')","('ppl2pc1', 'prepare vegetables for basic dishes', 'ppl2pc1.pdf')"
Pair 756,"('ppl2fbs14', 'serve food at table (formal dining)', 'ppl2fbs14.pdf')","('ppl2fbs15', 'serve food at table (casual dining)', 'ppl2fbs15.pdf')"
Pair 757,"('ppl2fpc11', 'prepare, cook and finish basic cakes, sponges, biscuits and scones', 'ppl2fpc11l.pdf')","('ppl2pr13', 'produce basic cakes, sponges and scones', 'ppl2pr13l.pdf')"
Pair 758,"('ppl2gen6', 'promote additional services or products to customers', 'ppl2gen6l.pdf')","('ppl2gen8', 'promote additional services or products to customers', 'ppl2gen8.pdf')"
Pair 759,"('ppl2gs7', 'sell bingo gaming equipment to customers', 'ppl2gs7.pdf')","('pplgs2007', 'sell bingo books and tickets', 'pplgs2007.pdf')"
Pair 760,"('ppl2hk1', 'clean and service a range of areas', 'ppl2hk1.pdf')","('ppl2hk1', 'clean and service a range of areas', 'ppl2hk1l.pdf')"
Pair 761,"('ppl2hk3', 'maintain housekeeping supplies', 'ppl2hk3.pdf')","('ppl2hk3', 'maintain housekeeping supplies', 'ppl2hk3l.pdf')"
Pair 762,"('ppl2hk7', 'carry out periodic room servicing and deep cleaning', 'ppl2hk7.pdf')","('ppl2hk7', 'carry out periodic room servicing and deep cleaning', 'ppl2hk7l.pdf')"
Pair 763,"('ppl2pr16', 'produce flour, dough and tray baked products', 'ppl2pr16l.pdf')","('ppl2prd15', 'produce flour, dough and tray baked products', 'ppl2prd15.pdf')"
Pair 764,"('ppl2prd5', 'cook-chill food', 'ppl2prd5.pdf')","('ppl2prd6', 'cook-freeze food', 'ppl2prd6.pdf')"
Pair 765,"('ppl3fp2', 'prepare shellfish for complex dishes', 'ppl3fp2l.pdf')","('ppl3fp3', 'prepare meat for complex dishes', 'ppl3fp3l.pdf')"
Pair 766,"('ppl3gen1', 'apply and monitor food safety management procedures in catering and hospitality', 'ppl3gen1.pdf')","('sflfsle155', 'apply and monitor food safety management procedures', 'sflfsle155.pdf')"
Pair 767,"('pplaog66', 'operate an it system in the aviation industry', 'pplaog66.pdf')","('pplrpto37', 'operate an it system in road passenger transport operations', 'pplrpto37.pdf')"
Pair 768,"('pplaog95', 'operate control room equipment to meet operational requirements in the aviation industry', 'pplaog95.pdf')","('pplrs21', 'operate control room equipment to meet operational requirements in the rail industry', 'pplrs21.pdf')"
Pair 769,"('pplbacem07', 'rectify mechanical faults in bus/coach systems and components', 'pplbacem07.pdf')","('pplbacem08', 'rectify electrical faults in bus/coach systems and components', 'pplbacem08.pdf')"
Pair 770,"('pplbacem26', 'repair electrical faults in bus/coach systems and components', 'pplbacem26.pdf')","('pplbacem33', 'repair mechanical/electrical faults in ancillary systems and components in buses/coaches', 'pplbacem33.pdf')"
Pair 771,"('pplbacem39', 'support learners by mentoring in the workplace', 'pplbacem39.pdf')","('pplrec08', 'support learners by mentoring in the rail engineering workplace', 'pplrec08  support learners by mentoring  in the rail engineering workplace.pdf')"
Pair 772,"('pplbacem41', 'evaluate and develop your own knowledge, understanding and skills in the bus/coach engineering and maintenance environment', 'pplbacem41.pdf')","('ppldt10', 'evaluate and develop your own knowledge, understanding and skills in the driver training industry', 'ppldt10.pdf')"
Pair 773,"('ppldt19', 'manage and administer small businesses in the driver training industry', 'ppldt19.pdf')","('pplrpto29', 'manage and administer small businesses in road passenger transport operations', 'pplrpto29.pdf')"
Pair 774,"('pplemtsa3', 'develop and agree a business plan for an event ', 'pplemtsa3.pdf')","('pplevf13', 'develop and agree a business plan for an event', 'pplevf13.pdf')"
Pair 775,"('pplemtsa7', 'identify and negotiate contracts for an event ', 'pplemtsa7.pdf')","('ppleva6', 'identify and negotiate contracts for an event', 'ppleva6.pdf')"
Pair 776,"('pplemtsb9.1', 'oversee the erection of pole tents up to and including 12 metres width ', 'pplemtsb9.1.pdf')","('pplemtsb9.2', 'oversee the erection of pole tents exceeding 12 metres width ', 'pplemtsb9.2.pdf')"
Pair 777,"('pplemtsd1', 'plan and implement a critical path for an event ', 'pplemtsd1.pdf')","('pplevc1', 'plan and implement a critical path for an event', 'pplevc1.pdf')"
Pair 778,"('pplemtsd10', 'manage the running of an event ', 'pplemtsd10.pdf')","('pplevc10', 'manage the running of an event', 'pplevc10.pdf')"
Pair 779,"('pplemtsd5', 'manage contracts for an event ', 'pplemtsd5.pdf')","('pplevc5', 'manage contracts for an event', 'pplevc5.pdf')"
Pair 780,"('pplemtsd9', 'manage the setup and breakdown of an event ', 'pplemtsd9.pdf')","('pplevc9', 'manage the setup and breakdown of an event', 'pplevc9.pdf')"
Pair 781,"('pplfos27', 'promote, monitor and maintain the health, safety and security of the work environment', 'pplfos27.pdf')","('ssr.fos303', 'promote, monitor and maintain the health, safety and security of the work environment', 'ssr.fos303.pdf')"
Pair 782,"('pplgs2009', 'call and validate ancillary bingo games', 'pplgs2009.pdf')","('pplgs2020', 'call and validate main stage bingo games', 'pplgs2020.pdf')"
Pair 783,"('pplhsl25', 'support the use of technological equipment in hospitality services', 'pplhsl25.pdf')","('pplhsl25', 'supervise the use of technological equipment in hospitality services ', 'pplhsl25l.pdf')"
Pair 784,"('pplhsl30', 'ensure food safety practices are followed in the preparation and serving of food and drink', 'pplhsl30.pdf')","('pplhsl30', 'ensure food safety practices are followed in the preparation and serving of food and drink ', 'pplhsl30l.pdf')"
Pair 785,"('pplhsl4', 'maintain the health, hygiene, safety and security of the working environment', 'pplhsl4.pdf')","('pplhsl4', 'maintain the health, hygiene, safety and security of the working environment ', 'pplhsl4l.pdf')"
Pair 786,"('pplmcr01', 'work productively with colleagues in a multi-channel retail business', 'pplmcr01.pdf')","('ssr.mcr01', 'work productively with colleagues in a multi-channel retail business legacy', 'ssrmcr01l.pdf')"
Pair 787,"('pplmcr02', 'work with colleagues to encourage innovation in a multi-channel retail business', 'pplmcr02.pdf')","('ssr.mcr02', 'work with colleagues to encourage innovation in a multi-channel retail business legacy', 'ssrmcr02l.pdf')"
Pair 788,"('pplmcr04', 'analyse customer behaviour on a trading website', 'pplmcr04.pdf')","('ssr.mcr04', 'analyse customer behaviour on a trading website legacy', 'ssrmcr04l.pdf')"
Pair 789,"('pplmcr05', 'provide support to individual customers of a trading website', 'pplmcr05.pdf')","('ssr.mcr05', 'provide support to individual customers of a trading website legacy', 'ssrmcr05l.pdf')"
Pair 790,"('pplmcr08', 'specify the content and layout of pages for a trading website', 'pplmcr08.pdf')","('ssr.mcr08', 'specify the content and layout of pages for a trading website legacy', 'ssrmcr08l.pdf')"
Pair 791,"('pplmcr09', 'maintain a library of materials for use on a trading website', 'pplmcr09.pdf')","('ssr.mcr09', 'maintain a library of materials for use on a trading website legacy', 'ssrmcr09l.pdf')"
Pair 792,"('pplmcr10', 'write copy for a trading website', 'pplmcr10.pdf')","('ssr.mcr10', 'write copy for a trading website legacy', 'ssrmcr10l.pdf')"
Pair 793,"('pplmcr14', 'organise urgent changes to the content of a trading website', 'pplmcr14.pdf')","('ssr.mcr14', 'organise urgent changes to the content of a trading website legacy', 'ssrmcr14l.pdf')"
Pair 794,"('pplmcr16', 'advise and support customers in-store on the use of online retail facilities', 'pplmcr16.pdf')","('ppltt53', 'advise and coach customers on the use of online facilities', 'ppltt53.pdf')"
Pair 795,"('pplrec06', 'plan for further professional development in the rail engineering industry', 'pplrec06  plan for further professional development in the rail engineering industry.pdf')","('pplrs06', 'plan for further professional development in the rail industry', 'pplrs06.pdf')"
Pair 796,"('pplreep03  establish the operational condition of electrification and plant assets', 'establish the operational condition of electrification and plant assets', 'pplreep03  establish the operational condition of electrification and plant assets.pdf')","('pplreep12  restore the contact systems to operational condition in the rail engineering industry', 'restore the contact systems to operational condition in the rail engineering industry ', 'pplreep12  restore the contact systems to operational condition in the rail engineering industry.pdf')"
Pair 797,"('pplrep08', 'prepare small plant, measuring equipment and tools for permanent way renewal or maintenance  legacy', 'pplrep08l.pdf')","('pplrep25', 'supervise the preparation of small plant, measuring equipment and tools for permanent way renewal and maintenance legacy', 'pplrep25l.pdf')"
Pair 798,"('pplrep21', 'restore plain line track geometry to operational condition legacy', 'pplrep21l.pdf')","('pplrep22', 'restore switches and crossings to operational condition legacy', 'pplrep22l.pdf')"
Pair 799,"('pplrep23', 'prepare work areas for permanent way engineering activities legacy', 'pplrep23l.pdf')","('sempw402', 'prepare work areas for permanent way engineering activities', 'sempw402.pdf')"
Pair 800,"('pplres05', 'determine requirements for safe access to work locations for signal engineering', 'pplres05  determine requirements for safe access to work locations for signal engineering.pdf')","('pplret05', 'determine requirements for the safe access to work locations for telecoms engineering', 'pplret05  determine requirements for the safe access to work locations for telecoms engineering.pdf')"
Pair 801,"('pplres06', 'allocate and monitor resources for signal engineering activities', 'pplres06  allocate and monitor resources for signal engineering activities.pdf')","('pplret06', 'allocate and monitor resources for telecoms engineering activities', 'pplret06  allocate and monitor resources for telecoms engineering activities.pdf')"
Pair 802,"('pplres07', 'reinstate the work area after signal engineering activities', 'pplres07  reinstate the work area after signal engineering activities.pdf')","('pplret07', 'reinstate the work area after telecoms engineering activities', 'pplret07  reinstate the work area after telecoms engineering activities.pdf')"
Pair 803,"('pplres10', 'assist in planned maintenance of signalling equipment', 'pplres10  assist in planned maintenance of signalling equipment.pdf')","('sempeo129', 'preparing sand for moulding and coremaking', 'sempeo129.pdf')"
Pair 804,"('pplres19', 'conduct functional testing of newly installed signalling systems', 'pplres19  conduct specified testing of signalling systems.pdf')","('pplres20', 'conduct maintenance testing of signalling assets', 'pplres20  conduct maintenance testing of signalling assets.pdf')"
Pair 805,"('pplres22', 'diagnose faults in signalling assets', 'pplres22  diagnose faults in signalling assets.pdf')","('pplret21diagnose faults in telecoms assets', 'diagnose faults in telecoms assets', 'pplret21  diagnose faults in telecoms assets.pdf')"
Pair 806,"('pplres23', 'transfer responsibility of signalling assets', 'pplres23  transfer responsibility of signalling assets.pdf')","('pplret22', 'transfer responsibility of telecoms assets', 'pplret22  transfer responsibility of telecoms assets.pdf')"
Pair 807,"('pplres24', 'contribute to technical leadership of signal engineering activities', 'pplres24  contribute to technical leadership of signal engineering activities.pdf')","('pplret23', 'contribute to technical leadership of telecoms engineering activities', 'pplret23  contribute to technical leadership of telecoms engineering activities.pdf')"
Pair 808,"('pplres25organise local signal engineering activities', 'organise local signal engineering activities', 'pplres25  organise local signal engineering activities.pdf')","('pplret24', 'organise local telecoms engineering activities', 'pplret24  organise local telecoms engineering activities.pdf')"
Pair 809,"('pplret15', 'assist in the replacement of telecoms equipment', 'pplret15  assist in the replacement of telecoms equipment.pdf')","('pplret16', 'carry out replacement of components from telecoms assets', 'pplret16  carry out replacement of  components from telecoms assets.pdf')"
Pair 810,"('pplrs02', 'maintain a safe and secure working environment in the rail industry', 'pplrs02.pdf')","('pplukw02', 'maintain a safe and secure working environment in the uk waterways industry', 'pplukw02.pdf')"
Pair 811,"('pplrs09', 'respond to abnormal working situations in the rail industry', 'pplrs09.pdf')","('pplrs09', 'respond to abnormal working conditions in the rail industry', 'pplrs09l.pdf')"
Pair 812,"('pplrs10', 'handover and dispose of trains', 'pplrs10.pdf')","('pplrs10', 'hand over and dispose of trains', 'pplrs10l.pdf')"
Pair 813,"('ppltp03', 'manage transport planning projects', 'ppltp03.pdf')","('ppltpts03', 'run transport planning projects', 'ppltpts03.pdf')"
Pair 814,"('ppltp07', 'apply laws and regulations in transport planning', 'ppltp07.pdf')","('ppltpts05', 'work within laws and regulations in transport', 'ppltpts05.pdf')"
Pair 815,"('ppltp08', 'manage data for transport planning', 'ppltp08.pdf')","('ppltpts06', 'collect, retrieve, analyse and apply data and information for transport planning', 'ppltpts06.pdf')"
Pair 816,"('ppltp09', 'apply modelling and analysis techniques in transport', 'ppltp09.pdf')","('ppltpts07', 'work with modelling and analysis techniques in transport planning', 'ppltpts07.pdf')"
Pair 817,"('ppltp10', 'apply assessment techniques in transport planning', 'ppltp10.pdf')","('ppltpts08', 'work with assessment techniques in transport planning', 'ppltpts08.pdf')"
Pair 818,"('ppltp12', 'develop strategic and master plans for transport', 'ppltp12.pdf')","('ppltpts10', 'contribute to strategic and master plans for transport', 'ppltpts10.pdf')"
Pair 819,"('ppltp13', 'manage the application of the principles of transport systems design', 'ppltp13.pdf')","('ppltpts11', 'contribute to the application of the principles of transport systems design', 'ppltpts11.pdf')"
Pair 820,"('ppltp15', 'apply commercial and operational management in transport', 'ppltp15.pdf')","('ppltpts13', 'contribute to commercial and operational management in transport', 'ppltpts13.pdf')"
Pair 821,"('ppltt10', 'develop and maintain your effectiveness at work', 'ppltt10.pdf')","('ppl tt10', 'develop and maintain your effectiveness at work', 'ppltt10l.pdf')"
Pair 822,"('ppltt13', 'sell tourism-related products and services', 'ppltt13.pdf')","('ppl tt13', 'sell tourism-related products and services', 'ppltt13l.pdf')"
Pair 823,"('ppltt27', 'sell multi-sector air travel', 'ppltt27.pdf')","('ppl tt27', 'sell multi-sector air travel', 'ppltt27l.pdf')"
Pair 824,"('proawo05', 'assembly of complex and non-routine engineered wood components legacy', 'proawo05l.pdf')","('proew06', 'assembly of engineered wood components legacy', 'proew06l.pdf')"
Pair 825,"('proawo11 ', 'produce machine finished complex or non-routine timber based products  ', 'proawo11 .pdf')","('proawo30 ', 'produce machine finished routine timber based products  ', 'proawo30 .pdf')"
Pair 826,"('proawo13', 'maintenance planning in tooling technology', 'proawo13.pdf')","('proawo13', 'maintenance planning in tooling technology legacy', 'proawo13l.pdf')"
Pair 827,"('proawo14', 'service complex or non-routine tooling ', 'proawo14.pdf')","('proawo22', 'service routine tooling', 'proawo22.pdf')"
Pair 828,"('proawo21', 'timber and related products stock control and movement', 'proawo21.pdf')","('proawo21', 'timber and related products stock control and movement legacy', 'proawo21l.pdf')"
