,14,4,6,11,5,9,8,15,10,12,7,13
348,,,,,,,,,,,implementing approved continuing airworthiness maintenance programmes ,establish compliance with specifications for signalling assets
349,,,,,,,,,,,supporting the management and development of systems and procedures in a continuing airworthiness environment,conduct functional testing of newly installed signalling systems
350,,,,,,,,,,,using and interpreting engineering data and documents,conduct maintenance testing of signalling assets
351,,,,,,,,,,,reinstating the work area on completion of aircraft engineering activities,conduct specific testing of signalling electronic equipment
352,,,,,,,,,,,carrying out aircraft routine servicing,transfer responsibility of signalling assets
353,,,,,,,,,,,carry out maintenance on aircraft mechanical systems by component replacement,contribute to technical leadership of signal engineering activities
354,,,,,,,,,,,carrying out maintenance on aircraft electrical/electronic systems by component replacement,organise local signal engineering activities
355,,,,,,,,,,,servicing aircrew protective helmets and electrical headsets,establish information for telecoms engineering maintenance and/or fault finding
356,,,,,,,,,,,"servicing aircrew nuclear, biological and chemical (nbc) respirators and equipment",establish information for telecoms engineering installation
357,,,,,,,,,,,servicing aircrew life preserver equipment,establish information for telecoms engineering testing
358,,,,,,,,,,,servicing parachute assemblies,plan telecoms maintenance testing activities
359,,,,,,,,,,,assembling aircraft airframe ancillary components,determine requirements for the safe access to work locations for telecoms engineering
360,,,,,,,,,,,producing aircraft cableforms and looms,allocate and monitor resources for telecoms engineering activities
361,,,,,,,,,,,assembling aircraft electrical components,reinstate the work area after telecoms engineering activities
362,,,,,,,,,,,making modifications to aircraft cableforms and looms,assist in planned maintenance of telecoms equipment
363,,,,,,,,,,,producing aircraft components by vacuum forming,carry out planned maintenance of telecoms assets
364,,,,,,,,,,,assembling aircraft composite components,adjust telecoms components and equipment to meet operational requirements
365,,,,,,,,,,,assembling sub-assembly units to vehicles,assist in the removal of telecoms equipment
366,,,,,,,,,,,assembling power plant units,carry out removal of components from telecoms assets
367,,,,,,,,,,,assembling the rear axle sub-assembly,assist in the replacement of telecoms equipment
368,,,,,,,,,,,assembling the front suspension sub-assembly,carry out replacement of components from telecoms assets
369,,,,,,,,,,,assembling braking systems to vehicles,assist with tests and checks of telecoms equipment
370,,,,,,,,,,,assembling vehicle body sub-assemblies,establish compliance with specifications for maintained telecoms assets
371,,,,,,,,,,,assembling body sub-assemblies to produce a vehicle,establish compliance with specifications for newly installed telecoms assets
372,,,,,,,,,,,assembling and fitting wiring looms to vehicles,conduct specified testing of telecoms systems
373,,,,,,,,,,,assembling electrical and electronic equipment to vehicles,transfer responsibility of telecoms assets
374,,,,,,,,,,,diagnosing and rectifying faults in vehicle electrical and electronic systems,contribute to technical leadership of telecoms engineering activities
375,,,,,,,,,,,trimming of body components for vehicles,organise local telecoms engineering activities
376,,,,,,,,,,,machining and hand sewing of vehicle trim components,identify and deal with defects and discrepancies in traction and rolling stock
377,,,,,,,,,,,assembling trim components to vehicles,carry out routine adjustments to traction and rolling stock
378,,,,,,,,,,,making vehicle trim prototypes and patterns,carry out checks and tests to confirm that traction and rolling stock assets comply with operational specifications
379,,,,,,,,,,,producing and assembling substrates for vehicle components,carry out planned maintenance of trs assets
380,,,,,,,,,,,veneering and finishing vehicle components,undertake the removal and replacement of traction and rolling stock components
381,,,,,,,,,,,manufacturing vehicle components by vacuum forming,modify traction and rolling stock components using tools
382,,,,,,,,,,,assembling composite vehicle components,overhaul traction and rolling stock components
383,,,,,,,,,,,assembling and disassembling mechanical equipment on experimental vehicles,identify and assess defects and discrepancies in traction and rolling stock assets
384,,,,,,,,,,,assembling and disassembling electrical and electronic equipment on experimental vehicles,establish compliance with traction and rolling stock specifications
385,,,,,,,,,,,assembling structures for experimental vehicle engineering using mechanical fasteners,diagnose faults in traction and rolling stock assets
386,,,,,,,,,,,carrying out fault diagnosis on experimental vehicles,plan traction and rolling stock engineering activities
387,,,,,,,,,,,conducting and monitoring static tests on vehicles,allocate and supervise traction and rolling stock resources
388,,,,,,,,,,,conducting and monitoring road tests on vehicles,diagnose faults in ancillary systems in trs
389,,,,,,,,,,,producing commercial and passenger carrying vehicle body sub-assemblies,install and test traction and rolling stock assets and components
390,,,,,,,,,,,assembling commercial and passenger carrying vehicle body sub-assemblies to produce a vehicle,"accept, and return, responsibility for the control of traction and rolling stock assets"
391,,,,,,,,,,,fitting ancillary units to commercial and passenger carrying vehicles,provide operational support to users of traction and rolling stock assets
392,,,,,,,,,,,fitting internal and external trim and fitments to commercial and passenger carrying vehicles,"receive, store and handle processing chemicals, reagents and other consumables"
393,,,,,,,,,,,fitting electrical and electronic components to commercial and passenger carrying vehicles,receive and store sludge for processing
394,,,,,,,,,,,modifying commercial and passenger carrying vehicles,planning aeronautical engineering activities
395,,,,,,,,,,,setting up motorsport vehicles,producing technical details for aeronautical engineering activities
396,,,,,,,,,,,carrying out motorsport vehicle inspections during a competition,obtaining resources for aeronautical engineering activities
397,,,,,,,,,,,removing and refitting motorsport engines and ancillary components,implementing aeronautical engineering activities
398,,,,,,,,,,,removing and refitting transmissions on motorsport vehicles,implementing quality assurance systems in an aeronautical engineering environment
399,,,,,,,,,,,removing and refitting suspension systems on motorsport vehicles,rectifying aeronautical engineering problems
400,,,,,,,,,,,removing and refitting braking systems on motorsport vehicles,carrying out project management of aeronautical engineering activities
401,,,,,,,,,,,removing and refitting steering systems on motorsport vehicles,leading a team in a continuing airworthiness environment
402,,,,,,,,,,,removing and refitting chassis sub-assemblies and components on motorsport vehicles,developing working relationships in a continuing airworthiness environment
403,,,,,,,,,,,removing and refitting fuel systems on motorsport vehicles,identifying and following clean room/clean work area protocols
404,,,,,,,,,,,carrying out fault diagnosis and rectification activities on motorsport vehicles during a competition,monitoring and analysing data from semiconductor processes
405,,,,,,,,,,,"removing, fitting and trimming bodywork to motorsport vehicles",adjusting and sustaining semiconductor processes
406,,,,,,,,,,,removing and refitting electrical/electronic equipment on motorsport vehicles,selecting and preparing materials and components for manufacturing
407,,,,,,,,,,,producing motorsport composite assemblies,preparing manufacturing systems equipment for operation
408,,,,,,,,,,,installing cableforms and looms in motorsport vehicles,monitoring and analysing data from electronic circuit manufacturing processes
409,,,,,,,,,,,installing electrical/electronic engine/transmission control units in motorsport vehicles,adjusting and sustaining electronic circuit manufacturing processes
410,,,,,,,,,,,installing visual display and computer systems to motorsport vehicles,processing electronic components within the manufacturing system
411,,,,,,,,,,,installing communication systems to motorsport vehicles,checking the compliance of electronic components
412,,,,,,,,,,,installing data acquisition systems to motorsport vehicles,checking the compliance of electrical equipment
413,,,,,,,,,,,modifying motorsport vehicle electrical/electronic systems,solve engineering or manufacturing problems
414,,,,,,,,,,,testing motorsport vehicle cableforms and looms,undertake engineering research
415,,,,,,,,,,,setting up and testing motorsport vehicle electrical/electronic engine/transmission control units,determine the requirements for engineering activities
416,,,,,,,,,,,setting up and testing motorsport vehicle visual display and computing systems,specify methods and procedures to achieve engineering requirements
417,,,,,,,,,,,setting up and testing motorsport vehicle communication systems,schedule engineering activities 
418,,,,,,,,,,,setting up and testing motorsport vehicle data acquisition systems,obtaining resources for the implementation of engineering activities
419,,,,,,,,,,,constructing and assembling cableforms and wiring looms for motorsport vehicles,implement engineering processes
420,,,,,,,,,,,stripping and rebuilding engines for motorsport vehicles,monitor and evaluate engineering processes
421,,,,,,,,,,,building engines for motorsport vehicles,evaluate engineering risk assessments
422,,,,,,,,,,,testing engines for motorsport vehicles (fixed dynamometer),implement quality assurance methods and procedures
423,,,,,,,,,,,testing installed engines for motorsport vehicles (rolling road),improve the quality of engineering products or processes
424,,,,,,,,,,,dressing engines for motorsport vehicles,identify and define areas of engineering research
425,,,,,,,,,,,constructing the floor of a leisure vehicle,develop a research methodology for engineering
426,,,,,,,,,,,constructing the walls and roof of a leisure vehicle,propose and specify engineering research
427,,,,,,,,,,,"assembling a leisure vehicle chassis, floor and running gear",evaluate the results of engineering research
428,,,,,,,,,,,"finishing the floor assembly, fitting front bulkhead and part fitting services in a leisure vehicle","configure engineering products, processes or facilities"
429,,,,,,,,,,,installing the front and rear structural frames in a leisure vehicle,"transfer control of engineering products, processes or facilities"
430,,,,,,,,,,,installing the side walls and associated equipment in a leisure vehicle,"propose decommissioning of engineering equipment, processes or facilities"
431,,,,,,,,,,,installing furniture and structural units in leisure vehicles,"plan and decommission engineering equipment, processes or facilities"
432,,,,,,,,,,,installing domestic equipment in leisure vehicles,investigate incidents relating to engineering activities
433,,,,,,,,,,,connecting and testing electrical systems and equipment in leisure vehicles,"commission engineering products, processes or facilities"
434,,,,,,,,,,,connecting and testing liquid petroleum gas systems and equipment in leisure vehicles,undertaking project management activities 
435,,,,,,,,,,,connecting and testing water pipework and equipment in leisure vehicles,leading mechanical manufacturing or inspection activities
436,,,,,,,,,,,installing the front and back panel in a leisure vehicle,leading installation or commissioning activities
437,,,,,,,,,,,installing the inner and outer roof on a leisure vehicle,leading electrical/electronic product manufacturing or testing activities 
438,,,,,,,,,,,"completing the construction of a leisure vehicle by installing windows, doors and body graphics",planning engineering activities
439,,,,,,,,,,,finishing a leisure vehicle by installing soft furnishings and trim,producing technical information for engineering activities
440,,,,,,,,,,,final inspection and testing of leisure vehicles,implementing quality control systems and procedures in an engineering environment
441,,,,,,,,,,,assembling furniture and structural units for leisure vehicles,carrying out project management of engineering activities
442,,,,,,,,,,,preparing lpg pipework and appliances for installation into leisure vehicles,solving welding problems in production
443,,,,,,,,,,,preparing electrical equipment for installation into leisure vehicles,checking marine fabrications for quality and dimensional accuracy
444,,,,,,,,,,,preparing water and waste pipework and equipment for installation into leisure vehicles,"complete testing, gauging and acceptance of overhead line equipment"
445,,,,,,,,,,,removal and fitting fuel systems to prototype engines for test,working efficiently and effectively in engineering
446,,,,,,,,,,,installing electrical/electronic engine/transmission control units to prototype vehicles,working efficiently and effectively in engineering
447,,,,,,,,,,,setting up and testing prototype vehicle electrical/electronic engine/transmission control units,producing engineering project plans
448,,,,,,,,,,,setting up and testing prototype vehicle data acquisition systems,conducting business improvement activities
449,,,,,,,,,,,stripping and rebuilding prototype engines for test,assist in preparing resources for permanent way activities
450,,,,,,,,,,,building prototype engines for test,undertake routine maintenance of the permanent way
451,,,,,,,,,,,testing prototype engines (fixed dynamometer),undertake replacement of permanent way assets and components
452,,,,,,,,,,,testing prototype engines installed in vehicles,install new permanent way assets
453,,,,,,,,,,,dressing prototype engines for test,dismantle and remove permanent way assets and components
454,,,,,,,,,,,inspecting manufactured vehicles,"prepare small plant, equipment and tools for permanent way renewal or maintenance"
455,,,,,,,,,,,carrying out composite assembly operations,carry out routine inspection of the permanent way infrastructure
456,,,,,,,,,,,carrying out the installation of composite mouldings,carry out routine adjustments to permanent way assets
457,,,,,,,,,,,assembling and checking printed and allied electronic circuits,restore track geometry to operational condition by the manual repair of permanent way assets
458,,,,,,,,,,,assembling and wiring electronic equipment and systems,carry out non-destructive testing of rails
459,,,,,,,,,,,testing post-production electronic components and circuits,deal with incidents and contingencies within the railway environment
460,,,,,,,,,,,locating and diagnosing faults in post-production electronic components and circuits,provide safe working systems for permanent way maintenance or renewal activities
461,,,,,,,,,,,preparing facilities for testing electronic components and circuits,reinstate the work area after permanent way engineering activities
462,,,,,,,,,,,writing specifications for testing electronic components or circuits,restore plain line track geometry to operational condition
463,,,,,,,,,,,assembling large transformer and inductor cores,restore switches and crossings to operational condition
464,,,,,,,,,,,winding transformer and inductor coils,secure the work area during and following permanent way maintenance or renewal activities
465,,,,,,,,,,,assembling transformers and inductors,plan protection requirements in the rail industry
466,,,,,,,,,,,fitting small transformer and inductor cores,implement protection arrangements in the rail industry
467,,,,,,,,,,,assembling rotor and armature windings,supervise the non-destructive testing of rails
468,,,,,,,,,,,assembling stator windings,prepare work areas for permanent way engineering activities
469,,,,,,,,,,,assembling and fitting commutators,undertake detailed inspection of the permanent way infrastructure
470,,,,,,,,,,,balancing assembled rotors or armatures,assess the performance and condition of permanent way assets
471,,,,,,,,,,,assembling and fitting electrical rotating equipment,monitor the performance and condition of permanent way assets
472,,,,,,,,,,,mounting electrical components in enclosures,gather and interpret information needed for permanent way engineering activities
473,,,,,,,,,,,wiring electrical components and equipment in enclosures,plan permanent way activities
474,,,,,,,,,,,selecting and preparing materials and components for electrical assembly,establish track geometry and position
475,,,,,,,,,,,carrying out functional tests on electrical equipment,supervise the obtaining and preparing of materials and components needed for the renewal or maintenance of the permanent way
476,,,,,,,,,,,locating and diagnosing faults in electrical systems and equipment,"supervise the preparation of small plant, measuring equipment and tools for permanent way renewal and maintenance"
477,,,,,,,,,,,carrying out fault diagnosis on mechanical equipment,implement and monitor safe working systems for permanent way maintenance or renewal activities
478,,,,,,,,,,,maintaining mechanical equipment,allocate and monitor resources for permanent way engineering activities
479,,,,,,,,,,,carrying out fault diagnosis on electrical equipment and circuits,ensure that the track is fit for operational purposes
480,,,,,,,,,,,maintaining electrical equipment,supervise the permanent way engineering work of a team on site
481,,,,,,,,,,,modifying or rewiring electrical circuits,establish information for signal engineering maintenance and/or fault finding
482,,,,,,,,,,,carrying out fault diagnosis on engineered systems,establish information for signal engineering installation
483,,,,,,,,,,,testing and calibrating instrumentation and control equipment and circuits,determine requirements for the safe access to work locations for signal engineering
484,,,,,,,,,,,leading maintenance activities,reinstate the work area after signal engineering activities
485,,,,,,,,,,,carrying out the testing and calibration of instrumentation control equipment and circuits,assist in the planned maintenance of signalling equipment
486,,,,,,,,,,,carrying out maintenance activities on mechanical equipment,assist in the removal of signalling equipment
487,,,,,,,,,,,carrying out maintenance activities on electrical equipment,assist in the replacement of signalling equipment
488,,,,,,,,,,,carrying out maintenance activities on fluid power equipment,assist with establishing compliance with specifications for signalling equipment
489,,,,,,,,,,,carrying out maintenance activities on instrumentation and control equipment,establish information for signal engineering testing
490,,,,,,,,,,,carrying out maintenance activities on mechanical equipment within an engineered system ,plan signal maintenance testing activities
491,,,,,,,,,,,carrying out maintenance activities on electrical equipment within an engineered system,allocate and monitor resources for signal engineering activities
492,,,,,,,,,,,carrying out maintenance activities on fluid power equipment within an engineered system,carry out planned maintenance of signalling equipment
493,,,,,,,,,,,carrying out maintenance activities on process controller equipment within an engineered system,adjust signalling components and equipment to meet operational requirements
494,,,,,,,,,,,assembling press tools,carry out removal of components from signalling equipment
495,,,,,,,,,,,assembling injection mould tools,carry out replacement of components from signalling equipment
496,,,,,,,,,,,assembling blow mould tools,establish compliance with specifications for signalling equipment
497,,,,,,,,,,,"carrying out fault diagnosis on mould, press tool or die equipment",conduct functional testing of newly installed signalling systems
498,,,,,,,,,,,"maintaining mould, press tool or die equipment",conduct maintenance testing of signalling equipment
499,,,,,,,,,,,"handing over and confirming the completion of mould, press tool or die equipment maintenance activities",conduct specific testing of signalling electronic equipment
500,,,,,,,,,,,"carrying out condition monitoring of mould, press tool or die equipment",transfer responsibility of signalling assets
501,,,,,,,,,,,"carrying out planned maintenance on mould, press tool or die equipment",contribute to technical leadership of signal engineering activities
502,,,,,,,,,,,carrying out planned maintenance on power presses,organise local signal engineering activities
503,,,,,,,,,,,assembling jigs and fixtures using mechanical methods,establish information for telecoms engineering maintenance and/or fault finding
504,,,,,,,,,,,producing sheet metal assemblies,establish information for telecoms engineering installation
505,,,,,,,,,,,assembling components using mechanical fasteners,determine requirements for the safe access to work locations for telecoms engineering
506,,,,,,,,,,,assembling structural steelwork,reinstate the work area after telecoms engineering activities
507,,,,,,,,,,,producing sheetmetal assemblies,assist in the planned maintenance of telecoms equipment
508,,,,,,,,,,,joining fabricated components using mechanical fasteners,assist in the removal of telecoms equipment
509,,,,,,,,,,,producing major structural components/sub-assemblies,assist in the replacement of telecoms equipment
510,,,,,,,,,,,erecting structural steelwork,assist in the tests and checks of telecoms equipment
511,,,,,,,,,,,producing pipe fabrications,establish information for telecoms engineering testing
512,,,,,,,,,,,carrying out the installation of cable runs and circuits in marine structures,plan telecoms maintenance testing activities
513,,,,,,,,,,,assisting in the installation of marine electrical and electronic equipment,allocate and monitor resources for telecoms engineering activities
514,,,,,,,,,,,locating faults in marine electrical and electronic equipment and circuits,carry out planned maintenance of telecoms equipment
515,,,,,,,,,,,carrying out modifications and rewiring of marine electrical circuits,adjust telecoms components and equipment to meet operational requirements
516,,,,,,,,,,,carrying out tests on marine electrical and electronic equipment and circuits,carry out removal of components from telecoms equipment
517,,,,,,,,,,,disconnecting and removing marine electrical and electronic equipment,carry out replacement of components from telecoms equipment
518,,,,,,,,,,,carrying out scheduled maintenance on marine electrical and electronic equipment,establish compliance with specifications for maintained telecoms equipment
519,,,,,,,,,,,assisting in the assembly of marine steelwork components,establish compliance with specifications for newly installed telecoms equipment
520,,,,,,,,,,,assisting in the installation of marine mechanical equipment,conduct specified testing of telecoms systems
521,,,,,,,,,,,locating faults in marine mechanical equipment,transfer responsibility of telecoms assets
522,,,,,,,,,,,carrying out scheduled maintenance on marine mechanical equipment,contribute to technical leadership of telecoms engineering activities
523,,,,,,,,,,,disconnecting and removing marine mechanical equipment,organise local telecoms engineering activities
524,,,,,,,,,,,carrying out maintenance on marine fuel systems and equipment,replace traction and rolling stock communication-electronic systems
525,,,,,,,,,,,carrying out maintenance on marine pneumatic systems and equipment,"support commissioning of plant, equipment and process in food manufacture"
526,,,,,,,,,,,carrying out maintenance on marine auxiliary power units for electrical power generation,take samples and measurements for quality assurance purposes
527,,,,,,,,,,,carrying out maintenance on marine mechanical control equipment and systems,work in an efficient and effective way in the utilities sector
528,,,,,,,,,,,"carrying out maintenance on marine steering gear, control systems and equipment",work with people from other organisations in the utilities sector 
529,,,,,,,,,,,carrying out maintenance on marine lifting equipment,
530,,,,,,,,,,,carrying out maintenance on marine ancillary plant and equipment,
531,,,,,,,,,,,carrying out maintenance on marine steam plant and equipment,
532,,,,,,,,,,,carrying out maintenance on marine liquid ballast systems,
533,,,,,,,,,,,carrying out maintenance on marine fire main systems and equipment,
534,,,,,,,,,,,carrying out maintenance on marine pantry and galley equipment,
535,,,,,,,,,,,producing assemblies of marine wooden components,
536,,,,,,,,,,,fitting marine interior panels and soft furnishings,
537,,,,,,,,,,,fitting marine seating and furniture,
538,,,,,,,,,,,assembling marine composite components,
539,,,,,,,,,,,vacuum forming marine composite materials,
540,,,,,,,,,,,"fitting marine composite components to the vessel, craft or structure",
541,,,,,,,,,,,assembling marine sheet metal components,
542,,,,,,,,,,,assisting in the installation of marine sheet metal components/assemblies,
543,,,,,,,,,,,using mechanical fasteners to join marine sheet metal components,
544,,,,,,,,,,,carrying out tests on marine electrical equipment and circuits,
545,,,,,,,,,,,carrying out the installation of cable runs and circuits in yachts and boats,
546,,,,,,,,,,,assisting in the installation of electrical/electronic equipment in yachts and boats,
547,,,,,,,,,,,assisting in the installation of engine/propulsion systems in yachts and boats,
548,,,,,,,,,,,assisting in the installation of ancillary equipment in yachts and boats,
549,,,,,,,,,,,assisting in the installation of domestic equipment in yachts and boats,
550,,,,,,,,,,,cutting and shaping wooden components for yachts and boats using hand tools,
551,,,,,,,,,,,assisting in the assembly of wooden furniture/outfitting units for yachts and boats,
552,,,,,,,,,,,assisting in the installation of wooden furniture/outfitting units for yachts and boats,
553,,,,,,,,,,,assisting in the assembly of wooden structural components to produce yachts and boats,
554,,,,,,,,,,,"fitting seating, interior panels, soft furnishing and trim in yachts and boats",
555,,,,,,,,,,,assisting in the disconnection and removal of yacht and boat electrical/electronic equipment,
556,,,,,,,,,,,assisting in the disconnection and removal of yacht and boat mechanical and ancillary equipment,
557,,,,,,,,,,,carrying out routine servicing of yacht and boat mechanical and ancillary equipment,
558,,,,,,,,,,,carrying out routine servicing of yacht and boat electrical/electronic equipment,
559,,,,,,,,,,,assisting in modifying and adding electrical circuits in yachts and boats,
560,,,,,,,,,,,check and maintain marina pontoons,
561,,,,,,,,,,,assisting in the installation of wooden furniture/outfitting units in yachts and boats,
562,,,,,,,,,,,overhauling marine electrical power generation and distribution equipment and systems,
563,,,,,,,,,,,installing cable runs and circuits in marine structures,
564,,,,,,,,,,,installing marine power generation and distribution equipment and systems,
565,,,,,,,,,,,installing marine communication equipment and systems,
566,,,,,,,,,,,installing marine navigational equipment and systems,
567,,,,,,,,,,,installing marine sensor equipment and systems,
568,,,,,,,,,,,installing marine computer equipment and systems,
569,,,,,,,,,,,installing marine weapons equipment and systems,
570,,,,,,,,,,,installing marine electrical rotating machines and domestic equipment,
571,,,,,,,,,,,"installing marine lighting, alarm, detection and monitoring equipment and systems",
572,,,,,,,,,,,"setting to work, testing and trialling marine electrical power generation and distribution equipment and systems",
573,,,,,,,,,,,"setting to work, testing and trialling marine communication equipment and systems",
574,,,,,,,,,,,"setting to work, testing and trialling marine navigational equipment and systems",
575,,,,,,,,,,,"setting to work, testing and trialling marine sensor equipment and systems",
576,,,,,,,,,,,"setting to work, testing and trialling marine computer equipment and systems",
577,,,,,,,,,,,"setting to work, testing and trialling marine weapons equipment and systems",
578,,,,,,,,,,,"setting to work, testing and trialling marine electrical rotating machines and domestic equipment",
579,,,,,,,,,,,"setting to work, testing and trialling marine lighting, alarm, detection and monitoring equipment and systems",
580,,,,,,,,,,,diagnosing faults on marine electrical and electronic equipment and circuits,
581,,,,,,,,,,,modifying and rewiring marine electrical circuits,
582,,,,,,,,,,,testing marine electrical and electronic equipment and circuits,
583,,,,,,,,,,,dismantling and removing marine electrical equipment,
584,,,,,,,,,,,maintaining marine electrical power generation and distribution equipment and systems,
585,,,,,,,,,,,maintaining marine communication equipment and systems,
586,,,,,,,,,,,maintaining marine navigational equipment and systems,
587,,,,,,,,,,,maintaining marine sensor equipment and systems,
588,,,,,,,,,,,maintaining marine computer equipment and systems,
589,,,,,,,,,,,maintaining marine weapons equipment and systems,
590,,,,,,,,,,,maintaining marine electrical rotating machines and domestic equipment,
591,,,,,,,,,,,"maintaining marine lighting, alarm, detection and monitoring equipment and systems",
592,,,,,,,,,,,overhauling and repairing marine electrical power generation and distribution equipment and systems,
593,,,,,,,,,,,overhauling and repairing marine communication equipment and systems,
594,,,,,,,,,,,overhauling and repairing marine navigational equipment and systems,
595,,,,,,,,,,,overhauling and repairing marine weapons equipment and systems,
596,,,,,,,,,,,overhauling and repairing marine electrical rotating machines and domestic equipment,
597,,,,,,,,,,,assembling fabricated components to produce marine sub-assemblies,
598,,,,,,,,,,,assembling sub-assemblies and components to produce major marine structural assemblies,
599,,,,,,,,,,,lining off for assembly and erection of marine steelwork and components,
600,,,,,,,,,,,outfitting marine steelwork,
601,,,,,,,,,,,siting and levelling for the assembly of marine structures,
602,,,,,,,,,,,installing marine propulsion systems and equipment,
603,,,,,,,,,,,installing marine power transmission systems and equipment,
604,,,,,,,,,,,installing marine fuel systems and equipment,
605,,,,,,,,,,,installing marine hydraulic systems and equipment,
606,,,,,,,,,,,installing marine pneumatic systems and equipment,
607,,,,,,,,,,,installing marine auxiliary power units for electrical power generation,
608,,,,,,,,,,,installing marine mechanical control systems and equipment,
609,,,,,,,,,,,"installing marine steering gear, control systems and equipment",
610,,,,,,,,,,,installing marine lifting equipment,
611,,,,,,,,,,,installing marine ancillary plant and equipment,
612,,,,,,,,,,,installing marine steam plant and equipment,
613,,,,,,,,,,,installing marine liquid ballast arrangements,
614,,,,,,,,,,,installing marine fire main systems and equipment,
615,,,,,,,,,,,installing marine refrigeration and air conditioning equipment,
616,,,,,,,,,,,installing marine pantry and galley equipment and services,
617,,,,,,,,,,,setting to work and testing marine propulsion systems and equipment,
618,,,,,,,,,,,setting to work and testing marine power transmission systems and equipment,
619,,,,,,,,,,,setting to work and testing marine fuel systems and equipment,
620,,,,,,,,,,,setting to work and testing marine hydraulic systems and equipment,
621,,,,,,,,,,,setting to work and testing marine pneumatic systems and equipment,
622,,,,,,,,,,,setting to work and testing marine auxiliary power ,
623,,,,,,,,,,,setting to work and testing marine mechanical control equipment and systems,
624,,,,,,,,,,,"setting to work and testing marine steering gear, control equipment and systems",
625,,,,,,,,,,,setting to work and testing marine lifting equipment,
626,,,,,,,,,,,setting to work and testing marine ancillary plant and equipment,
627,,,,,,,,,,,setting to work and testing marine steam plant and equipment,
628,,,,,,,,,,,setting to work and testing marine liquid ballast arrangements,
629,,,,,,,,,,,maintaining marine fuel systems and equipment,
630,,,,,,,,,,,maintaining marine hydraulic systems and equipment,
631,,,,,,,,,,,maintaining marine pneumatic systems and equipment,
632,,,,,,,,,,,maintaining marine auxiliary power units,
633,,,,,,,,,,,maintaining marine mechanical control equipment and systems,
634,,,,,,,,,,,"maintaining marine steering gear, control systems and equipment",
635,,,,,,,,,,,maintaining marine lifting equipment,
636,,,,,,,,,,,maintaining marine ancillary plant and equipment,
637,,,,,,,,,,,maintaining marine steam plant and equipment,
638,,,,,,,,,,,maintaining marine liquid ballast arrangements,
639,,,,,,,,,,,maintaining marine fire main systems and equipment,
640,,,,,,,,,,,maintaining marine refrigeration and air conditioning equipment,
641,,,,,,,,,,,maintaining marine pantry and galley equipment and services,
642,,,,,,,,,,,overhauling marine propulsion systems,
643,,,,,,,,,,,overhauling marine power transmission systems,
644,,,,,,,,,,,overhauling marine fuel systems and equipment,
645,,,,,,,,,,,overhauling marine hydraulic systems and equipment,
646,,,,,,,,,,,overhauling marine pneumatic systems and equipment,
647,,,,,,,,,,,overhauling marine auxiliary power units,
648,,,,,,,,,,,overhauling marine mechanical control equipment and systems,
649,,,,,,,,,,,"overhauling marine steering gear, control systems and equipment",
650,,,,,,,,,,,overhauling marine lifting equipment,
651,,,,,,,,,,,overhauling marine ancillary plant and equipment,
652,,,,,,,,,,,overhauling marine steam plant and equipment,
653,,,,,,,,,,,overhauling marine liquid ballast arrangements,
654,,,,,,,,,,,overhauling marine fire main systems and equipment,
655,,,,,,,,,,,overhauling marine refrigeration and air conditioning equipment,
656,,,,,,,,,,,overhauling marine pantry and galley equipment,
657,,,,,,,,,,,assembling marine wooden components,
658,,,,,,,,,,,installing marine wooden components,
659,,,,,,,,,,,installing marine interior panels and soft furnishings,
660,,,,,,,,,,,installing marine seating and furniture,
661,,,,,,,,,,,producing marine composite assemblies,
662,,,,,,,,,,,installing marine composite components,
663,,,,,,,,,,,producing marine sheet metal assemblies,
664,,,,,,,,,,,installing marine sheet metal components and assemblies,
665,,,,,,,,,,,joining marine sheet metal components using mechanical fasteners,
666,,,,,,,,,,,installing cable runs and circuits in yacht and boat structures,
667,,,,,,,,,,,installing electrical equipment in yachts and boats,
668,,,,,,,,,,,installing electronic equipment into yachts and boats,
669,,,,,,,,,,,testing electrical and electronic equipment in yachts and boats,
670,,,,,,,,,,,installing engine/propulsion systems in yachts and boats,
671,,,,,,,,,,,installing ancillary systems and equipment in yachts and boats,
672,,,,,,,,,,,installing domestic systems and equipment in yachts and boats,
673,,,,,,,,,,,testing engine/propulsion systems and mechanical equipment in yachts and boats,
674,,,,,,,,,,,diagnosing faults on marine electrical equipment and circuits,
675,,,,,,,,,,,modifying and rewiring electrical circuits in yachts and boats,
676,,,,,,,,,,,maintaining electrical equipment in yachts and boats,
677,,,,,,,,,,,maintaining electronic equipment in yachts and boats,
678,,,,,,,,,,,servicing engine/propulsion systems in yachts and boats,
679,,,,,,,,,,,servicing ancillary systems and equipment in yachts and boats,
680,,,,,,,,,,,servicing domestic systems and equipment in yachts and boats,
681,,,,,,,,,,,marking out for the manufacture of wooden furniture/outfitting components for yachts and boats,
682,,,,,,,,,,,marking out for the installation of wooden furniture/outfitting units in yachts and boats,
683,,,,,,,,,,,producing/finishing wooden furniture/outfitting components for yachts and,
684,,,,,,,,,,,assembling wooden furniture/outfitting units for yachts and boats,
685,,,,,,,,,,,installing wooden furniture/outfitting units in yachts and boats,
686,,,,,,,,,,,"installing seating, interior panels, soft furnishing and trim in yachts and boats",
687,,,,,,,,,,,installing composite components in yachts and boats,
688,,,,,,,,,,,marking out for the manufacture of structural components for wooden yachts and boats,
689,,,,,,,,,,,lining off for assembly and erection of yacht and boat wooden components,
690,,,,,,,,,,,producing/finishing wooden structural components for yachts and boats,
