,42,38,9,29,4,36,27,24,25,16,26,35,20,45,21,31,7,19,14,44,15,40,8,43,10,11,34,33,18,32,39,5,28,13,37,30
94,,,,,,,,,,,,,,,,,,,maintaining electronic equipment in yachts and boats,,,plan traction and rolling stock engineering activities,,,overhauling components of aircraft fuel and lubrication equipment,maintaining electrical equipment,,,shaping marine steelwork using a power press,analyse the acceptability of safety control measures for specific explosive substances and/or articles,,,,producing pipe fabrications,,
95,,,,,,,,,,,,,,,,,,,servicing ancillary systems and equipment in yachts and boats,,,diagnose faults in ancillary systems in trs,,,overhauling major components of aircraft airframes,testing and calibrating instrumentation and control equipment and circuits,,,shaping marine steelwork using power rolling machines,review safety control measures for specific explosive substances and/or articles,,,,carrying out the installation of cable runs and circuits in marine structures,,
96,,,,,,,,,,,,,,,,,,,servicing domestic systems and equipment in yachts and boats,,,install and test traction and rolling stock assets and components,,,overhauling components of aircraft navigational and computing equipment,leading maintenance activities,,,marking out for manufacture and assembly of marine wooden components,review an organization’s safety management system for explosives,,,,carrying out modifications and rewiring of marine electrical circuits,,
97,,,,,,,,,,,,,,,,,,,marking out for the manufacture of wooden furniture/outfitting components for yachts and boats,,,"accept, and return, responsibility for the control of traction and rolling stock assets",,,overhauling components of aircraft communication equipment,carrying out the testing and calibration of instrumentation control equipment and circuits,,,shaping marine wooden components using hand tools,assess an organization’s explosives safety management system,,,,assisting in the assembly of marine steelwork components,,
98,,,,,,,,,,,,,,,,,,,marking out for the installation of wooden furniture/outfitting units in yachts and boats,,,provide operational support to users of traction and rolling stock assets,,,overhauling components of aircraft radar equipment,carrying out maintenance activities on mechanical equipment,,,shaping marine wooden components using machines,establish the performance criteria for explosive substances and/or articles,,,,producing assemblies of marine wooden components,,
99,,,,,,,,,,,,,,,,,,,producing/finishing wooden furniture/outfitting components for yachts and,,,"transfer control of engineering products, processes or facilities",,,overhauling components of aircraft indication and gauging equipment,carrying out maintenance activities on electrical equipment,,,cutting and shaping marine soft furnishings,manage the trial of explosive substances and/or articles,,,,assembling marine composite components,,
100,,,,,,,,,,,,,,,,,,,installing wooden furniture/outfitting units in yachts and boats,,,undertake routine maintenance of the permanent way,,,overhauling components of aircraft electrical equipment,carrying out maintenance activities on fluid power equipment,,,marking out marine sheet metalwork,manage the test of explosive substances and/or articles,,,,assembling marine sheet metal components,,
101,,,,,,,,,,,,,,,,,,,"installing seating, interior panels, soft furnishing and trim in yachts and boats",,,undertake replacement of permanent way assets and components,,,overhauling components of aircraft pitot static equipment,carrying out maintenance activities on instrumentation and control equipment,,,cutting and shaping marine sheet metal using hand and machine tools,carry out pre-trial or pre-test tasks relating to explosive substances and/or articles,,,,using mechanical fasteners to join marine sheet metal components,,
102,,,,,,,,,,,,,,,,,,,installing composite components in yachts and boats,,,install new permanent way assets,,,overhauling components of aircraft passive warning and optical/surveillance systems,carrying out maintenance activities on mechanical equipment within an engineered system ,,,bending and forming marine sheet metal using hand and machine tools,contribute to pre-trial or pre-test tasks relating to relating to explosive substances and/or articles,,,,carrying out the installation of cable runs and circuits in yachts and boats,,
103,,,,,,,,,,,,,,,,,,,marking out for the manufacture of structural components for wooden yachts and boats,,,dismantle and remove permanent way assets and components,,,overhauling components of aircraft flight guidance and control equipment,carrying out maintenance activities on electrical equipment within an engineered system,,,cutting and shaping materials using cnc laser profiling machines,carry out trials of explosive substances and/or articles,,,,assisting in the assembly of wooden furniture/outfitting units for yachts and boats,,
104,,,,,,,,,,,,,,,,,,,lining off for assembly and erection of yacht and boat wooden components,,,"prepare small plant, equipment and tools for permanent way renewal or maintenance",,,development testing aeronautical electronic equipment,carrying out maintenance activities on fluid power equipment within an engineered system,,,cutting and shaping using cnc plasma or gas cutting machines,carry out tests of explosive substances and/or articles,,,,assisting in modifying and adding electrical circuits in yachts and boats,,
105,,,,,,,,,,,,,,,,,,,producing/finishing wooden structural components for yachts and boats,,,carry out routine inspection of the permanent way infrastructure,,,dismantling aircraft gas turbine engines to module/unit level,carrying out maintenance activities on process controller equipment within an engineered system,,,cutting and shaping wooden components for yachts and boats using machines,contribute to conducting trial or test of explosive substances and/or articles,,,,overhauling marine electrical power generation and distribution equipment and systems,,
106,,,,,,,,,,,,,,,,,,,assembling/installing wooden structural components to produce yachts and,,,carry out routine adjustments to permanent way assets,,,rebuilding aircraft gas turbine engine assemblies after overhaul,"maintaining mould, press tool or die equipment",,,bending and forming marine pipe using hand methods,evaluate the results of trials of explosive substances and/or articles,,,,installing cable runs and circuits in marine structures,,
107,,,,,,,,,,,,,,,,,,,installing marine outfitting components and assemblies,,,restore track geometry to operational condition by the manual repair of permanent way assets,,,overhauling components of aircraft avionic equipment,"handing over and confirming the completion of mould, press tool or die equipment maintenance activities",,,bending and forming marine pipe using bending machines,evaluate the results of tests of explosive substances and/or articles,,,,installing marine weapons equipment and systems,,
108,,,,,,,,,,,,,,,,,,,installing skirting assemblies onto the hovercraft,,,carry out non-destructive testing of rails,,,lifting and trestling/shoring aircraft for maintenance/repair operations,"carrying out condition monitoring of mould, press tool or die equipment",,,assembling ferrous marine pipework by mechanical means,carry out post-trial or post-test tasks relating to explosive substances and/or articles,,,,"setting to work, testing and trialling marine electrical power generation and distribution equipment and systems",,
109,,,,,,,,,,,,,,,,,,,installing sponson assemblies onto the rigid inflatable boat (rib),,,deal with incidents and contingencies within the railway environment,,,levelling and weighing aircraft,"carrying out planned maintenance on mould, press tool or die equipment",,,assembling non-ferrous marine pipework,determine the existence of a suitable trial or test procedure for explosive substances and/or articles,,,,"setting to work, testing and trialling marine weapons equipment and systems",,
110,,,,,,,,,,,,,,,,,,,undertake overhead line equipment wiring installation under direction,,,provide safe working systems for permanent way maintenance or renewal activities,,,"towing, marshalling and parking aircraft",carrying out planned maintenance on power presses,,,assembling non-metallic marine pipework,contribute to post-trial or post-test tasks relating to explosive substances and/or articles,,,,modifying and rewiring marine electrical circuits,,
111,,,,,,,,,,,,,,,,,,,"undertake installation of overhead line equipment sectioning, insulation, registration and in-span components under direction",,,reinstate the work area after permanent way engineering activities,,,carrying out flight servicing and routine maintenance of aircraft,carrying out scheduled maintenance on marine electrical and electronic equipment,,,installing marine pipework and components,design a new trial procedure for explosive substances and/or articles,,,,maintaining marine electrical power generation and distribution equipment and systems,,
112,,,,,,,,,,,,,,,,,,,"undertake installation, enhancement and renewal of overhead line equipment earthing and bonding under direction",,,restore plain line track geometry to operational condition,,,maintaining air conditioning systems on aircraft,carrying out scheduled maintenance on marine mechanical equipment,,,preparing and testing marine pipework systems,design a new test procedure for explosive substances and/or articles,,,,overhauling and repairing marine electrical power generation and distribution equipment and systems,,
113,,,,,,,,,,,,,,,,,,,install overhead line equipment wiring,,,restore switches and crossings to operational condition,,,maintaining auto flight systems on aircraft,carrying out maintenance on marine pneumatic systems and equipment,,,surveying marine pipework systems,adapt an existing trial procedure for explosive substances and/or articles,,,,overhauling and repairing marine communication equipment and systems,,
114,,,,,,,,,,,,,,,,,,,"installation of overhead line equipment sectioning, insulation, registration and in-span components",,,secure the work area during and following permanent way maintenance or renewal activities,,,maintaining communication systems on aircraft,carrying out maintenance on marine auxiliary power units for electrical power generation,,,marking off marine structural steelwork components,adapt an existing test procedure for explosive substances and/or articles,,,,overhauling and repairing marine navigational equipment and systems,,
115,,,,,,,,,,,,,,,,,,,"install, enhance and renew overhead line equipment earthing and bonding",,,plan protection requirements in the rail industry,,,maintaining electrical power systems on aircraft,carrying out maintenance on marine mechanical control equipment and systems,,,cutting and shaping materials using portable thermal cutting equipment,validate a trial or test procedure for explosive substances and/or articles,,,,overhauling and repairing marine weapons equipment and systems,,
116,,,,,,,,,,,,,,,,,,,carrying out routine servicing of mechanical equipment,,,implement protection arrangements in the rail industry,,,maintaining equipment and furnishings on aircraft,"carrying out maintenance on marine steering gear, control systems and equipment",,,cutting materials using hand and machine tools,plan the trial of explosive substances and/or articles,,,,overhauling and repairing marine electrical rotating machines and domestic equipment,,
117,,,,,,,,,,,,,,,,,,,carrying out routine servicing of electrical/electronic equipment,,,supervise the non-destructive testing of rails,,,maintaining fire protection systems on aircraft,carrying out maintenance on marine lifting equipment,,,forming marine components using power rolling machines,plan the test of explosive substances and/or articles,,,,assembling fabricated components to produce marine sub-assemblies,,
118,,,,,,,,,,,,,,,,,,,assist in the installation of signalling equipment,,,prepare work areas for permanent way engineering activities,,,maintaining flight control systems on aircraft,carrying out maintenance on marine ancillary plant and equipment,,,forming marine components using a power press,shut down the explosives process,,,,assembling sub-assemblies and components to produce major marine structural assemblies,,
119,,,,,,,,,,,,,,,,,,,carry out installation of signalling equipment,,,undertake detailed inspection of the permanent way infrastructure,,,maintaining fuel systems on aircraft,carrying out maintenance on marine steam plant and equipment,,,loading and proving cnc fabrication machine tool programs,supervise the shutdown of explosives processing,,,,lining off for assembly and erection of marine steelwork and components,,
120,,,,,,,,,,,,,,,,,,,assist in the installation of telecoms equipment,,,assess the performance and condition of permanent way assets,,,maintaining hydraulic systems on aircraft,carrying out maintenance on marine liquid ballast systems,,,carrying out cnc fabrication machine tool programming,separate recoverable materials and waste produced by the explosive process,,,,outfitting marine steelwork,,
121,,,,,,,,,,,,,,,,,,,carry out installation of telecoms equipment,,,monitor the performance and condition of permanent way assets,,,maintaining ice and rain protection systems on aircraft,carrying out maintenance on marine fire main systems and equipment,,,setting cnc fabrication machines for production operations,contribute to explosives standard operating procedure/s (sop),,,,siting and levelling for the assembly of marine structures,,
122,,,,,,,,,,,,,,,,,,,assist in the installation of traction and rolling stock equipment,,,gather and interpret information needed for permanent way engineering activities,,,maintaining indicating and recording systems on aircraft,carrying out maintenance on marine pantry and galley equipment,,,operating cnc fabrication machines,contribute to the validation and optimization of new or modified explosives processes and equipment,,,,assembling marine wooden components,,
123,,,,,,,,,,,,,,,,,,,,,,plan permanent way activities,,,maintaining landing gear on aircraft,check and maintain marina pontoons,,,bending and straightening material using the heat-line method,prepare the explosives process area and equipment,,,,producing marine composite assemblies,,
124,,,,,,,,,,,,,,,,,,,,,,establish track geometry and position,,,maintaining lighting systems on aircraft,"installing marine lighting, alarm, detection and monitoring equipment and systems",,,carrying out pattern development for marine applications,move materials within the explosives process,,,,producing marine sheet metal assemblies,,
125,,,,,,,,,,,,,,,,,,,,,,supervise the obtaining and preparing of materials and components needed for the renewal or maintenance of the permanent way,,,maintaining navigation systems on aircraft,"setting to work, testing and trialling marine lighting, alarm, detection and monitoring equipment and systems",,,marking out for the manufacture and assembly of marine wooden components,prepare explosives process materials,,,,joining marine sheet metal components using mechanical fasteners,,
126,,,,,,,,,,,,,,,,,,,,,,"supervise the preparation of small plant, measuring equipment and tools for permanent way renewal and maintenance",,,maintaining oxygen systems on aircraft,maintaining marine communication equipment and systems,,,marking out for the installation of marine wooden assemblies,supervise the preparation of the explosives processing operation,,,,installing cable runs and circuits in yacht and boat structures,,
127,,,,,,,,,,,,,,,,,,,,,,implement and monitor safe working systems for permanent way maintenance or renewal activities,,,maintaining pneumatic systems on aircraft,maintaining marine navigational equipment and systems,,,producing marine wooden components using hand tools,monitor and control explosives processing,,,,modifying and rewiring electrical circuits in yachts and boats,,
128,,,,,,,,,,,,,,,,,,,,,,ensure that the track is fit for operational purposes,,,maintaining vacuum systems on aircraft,maintaining marine sensor equipment and systems,,,producing marine wooden components using machines,supervise explosives processing,,,,assembling wooden furniture/outfitting units for yachts and boats,,
129,,,,,,,,,,,,,,,,,,,,,,supervise the permanent way engineering work of a team on site,,,maintaining cabin systems on aircraft,maintaining marine computer equipment and systems,,,producing marine soft furnishings,plan the maintenance programme for explosive substances and/or articles,,,,producing marine sheet metal outfitting assemblies,,
130,,,,,,,,,,,,,,,,,,,,,,establish information for signal engineering maintenance and/or fault finding,,,maintaining doors on aircraft,maintaining marine weapons equipment and systems,,,marking out for fabrication and assembly of marine sheet metalwork,assess the feasibility of an explosive substance or article repair,,,,producing marine wooden outfitting assemblies,,
131,,,,,,,,,,,,,,,,,,,,,,establish information for signal engineering installation,,,"maintaining fuselage, nacelles and pylons on aircraft",maintaining marine electrical rotating machines and domestic equipment,,,cutting sheet metal to shape using hand and machine tools,implement the complex repair of explosive substances and/or articles,,,,cutting and forming materials to produce hovercraft skirts ,,
132,,,,,,,,,,,,,,,,,,,,,,determine requirements for the safe access to work locations for signal engineering,,,maintaining stabilisers on aircraft,"maintaining marine lighting, alarm, detection and monitoring equipment and systems",,,forming marine sheet metal components using hand and machine tools,implement the routine repair of explosive substances and/or articles,,,,producing hovercraft skirt assemblies,,
133,,,,,,,,,,,,,,,,,,,,,,reinstate the work area after signal engineering activities,,,maintaining wings on aircraft,installing marine auxiliary power units for electrical power generation,,,producing wooden furniture/outfitting components for yachts and boats using,plan configuration activities for explosive substances and/or articles,,,,cutting and forming materials to produce rigid inflatable boat (rib) sponsons,,
134,,,,,,,,,,,,,,,,,,,,,,assist in the planned maintenance of signalling equipment,,,maintaining rotor systems on rotorcraft,installing marine steam plant and equipment,,,producing wooden structural components for yachts and boats using machines,manage configuration activities for explosive substances and/or articles,,,,producing rigid inflatable boat (rib) sponson assemblies,,
135,,,,,,,,,,,,,,,,,,,,,,assist in the removal of signalling equipment,,,maintaining rotor drive systems on rotorcraft,installing marine liquid ballast arrangements,,,marking out for the manufacture and installation of marine outfitting components,implement configuration activities for explosive substances and/or articles,,,,overhauling marine communication equipment and systems,,
136,,,,,,,,,,,,,,,,,,,,,,assist in the replacement of signalling equipment,,,maintaining rotor blade and tail pylon folding systems on rotorcraft,installing marine refrigeration and air conditioning equipment,,,producing marine outfitting components in wood based materials,audit the effectiveness of configuration activities for explosive substances and/or articles,,,,overhauling marine weapons equipment and systems,,
137,,,,,,,,,,,,,,,,,,,,,,assist with establishing compliance with specifications for signalling equipment,,,maintaining flight control systems on rotorcraft,installing marine pantry and galley equipment and services,,,producing marine outfitting components in sheet metal,manage the maintenance programme for explosive substances and/or articles,,,,overhauling electrical marine rotating machines and domestic equipment,,
138,,,,,,,,,,,,,,,,,,,,,,establish information for signal engineering testing,,,maintaining power plant on aircraft,setting to work and testing marine steam plant and equipment,,,producing patterns for hovercraft skirts,manage the maintenance plan for explosive substances and/or articles,,,,undertake overhead line equipment main steelwork installation under direction,,
139,,,,,,,,,,,,,,,,,,,,,,plan signal maintenance testing activities,,,maintaining turbine engines on aircraft,setting to work and testing marine liquid ballast arrangements,,,producing patterns for rigid inflatable boat (rib) sponsons,implement the inspection of explosive substances and/or articles,,,,undertake overhead line equipment small part steelwork installation under direction,,
140,,,,,,,,,,,,,,,,,,,,,,carry out planned maintenance of signalling equipment,,,maintaining engine fuel and control systems on aircraft,maintaining marine hydraulic systems and equipment,,,machining components using grinding machines,implement the adjustment of explosive substances and/or articles,,,,install overhead line equipment main steelwork,,
141,,,,,,,,,,,,,,,,,,,,,,adjust signalling components and equipment to meet operational requirements,,,maintaining bleed air systems on aircraft,maintaining marine pneumatic systems and equipment,,,producing components by manual machining,implement the complex removal of explosive substances and/or articles,,,,install overhead line equipment small part steelwork,,
142,,,,,,,,,,,,,,,,,,,,,,carry out removal of components from signalling equipment,,,maintaining engine controls on aircraft,maintaining marine auxiliary power units,,,marking out wood and composite materials,implement the routine removal of explosive substances and/or articles,,,,assembling mechanical components,,
143,,,,,,,,,,,,,,,,,,,,,,carry out replacement of components from signalling equipment,,,maintaining engine indicating systems on aircraft,maintaining marine mechanical control equipment and systems,,,making components using hand tools and fitting techniques,implement the complex assembly of explosive substances and/or articles,,,,assembling fluid power equipment,,
144,,,,,,,,,,,,,,,,,,,,,,establish compliance with specifications for signalling equipment,,,maintaining engine exhaust systems on aircraft,"maintaining marine steering gear, control systems and equipment",,,carrying out pipe fitting activities,implement the routine assembly of explosive substances and/or articles,,,,wiring electrical equipment and circuits,,
145,,,,,,,,,,,,,,,,,,,,,,conduct functional testing of newly installed signalling systems,,,maintaining lubricating oil systems on aircraft,maintaining marine lifting equipment,,,using lathes for turning operations,identify the requirement and specification for explosive substances and/or articles,,,,assembling electrical wiring support systems,,
146,,,,,,,,,,,,,,,,,,,,,,conduct maintenance testing of signalling equipment,,,maintaining engine starting systems on aircraft,maintaining marine ancillary plant and equipment,,,using milling machines,define the procurement strategy for explosive substances and/or articles,,,,assembling and wiring electrical panels,,
147,,,,,,,,,,,,,,,,,,,,,,conduct specific testing of signalling electronic equipment,,,maintaining reciprocating engine turbo-supercharging systems on aircraft,maintaining marine steam plant and equipment,,,using grinding machines,contribute to the identification of the requirement and specification for explosive substances and/or articles,,,,assembling electronic circuits,,
148,,,,,,,,,,,,,,,,,,,,,,transfer responsibility of signalling assets,,,maintaining engine water injection systems on aircraft,maintaining marine liquid ballast arrangements,,,cutting and shaping platework components,identify potential suppliers of explosive substances and/or articles,,,,assembling engineering woodwork components,,
149,,,,,,,,,,,,,,,,,,,,,,contribute to technical leadership of signal engineering activities,,,maintaining radar systems on aircraft,maintaining marine fire main systems and equipment,,,using oxy-fuel gas cutting equipment,provide explosives-related technical input to assist in identifying potential suppliers and/or articles,,,,assembling composite components,,
150,,,,,,,,,,,,,,,,,,,,,,organise local signal engineering activities,,,identifying and interpreting the requirements for providing continuing airworthiness certification activities,maintaining marine refrigeration and air conditioning equipment,,,making components from wood-based materials,negotiate and award contracts for explosives substances and/or articles,,,,producing mechanical assemblies,,
151,,,,,,,,,,,,,,,,,,,,,,establish information for telecoms engineering maintenance and/or fault finding,,,"identifying, monitoring and resolving aircraft maintenance programme problems",maintaining marine pantry and galley equipment and services,,,producing components using hand fitting techniques,place orders for the supply of explosive substances and/or articles,,,,installing aircraft mechanical fasteners,,
152,,,,,,,,,,,,,,,,,,,,,,establish information for telecoms engineering installation,,,preparing aircraft maintenance programmes,overhauling marine propulsion systems,,,forming and assembling pipework systems,manage the contract for the supply of explosive substances and/or articles,,,,producing aircraft detail assemblies,,
153,,,,,,,,,,,,,,,,,,,,,,determine requirements for the safe access to work locations for telecoms engineering,,,monitoring continuing airworthiness compliance with regulatory requirements ,overhauling marine hydraulic systems and equipment,,,carrying out aircraft detail fitting activities,ensure compliance with contract terms for the supply of explosive substances and/or articles,,,,assembling and testing fluid power systems,,
154,,,,,,,,,,,,,,,,,,,,,,reinstate the work area after telecoms engineering activities,,,"producing, maintaining and controlling continuing airworthiness documentation",overhauling marine pneumatic systems and equipment,,,preparing and using lathes for turning operations,move explosive substances and/or articles manually,,,,wiring and testing electrical equipment and circuits,,
155,,,,,,,,,,,,,,,,,,,,,,assist in the planned maintenance of telecoms equipment,,,implementing approved continuing airworthiness maintenance programmes ,overhauling marine auxiliary power units,,,preparing and using milling machines,manage the receipt of explosive substances and/or articles,,,,forming and assembling electrical cable enclosure and support systems,,
156,,,,,,,,,,,,,,,,,,,,,,assist in the removal of telecoms equipment,,,supporting the management and development of systems and procedures in a continuing airworthiness environment,overhauling marine mechanical control equipment and systems,,,preparing and using grinding machines,manage the storage of explosive substances and/or articles,,,,"assembling, wiring and testing electrical panels/components mounted in enclosures",,
157,,,,,,,,,,,,,,,,,,,,,,assist in the replacement of telecoms equipment,,,reinstating the work area on completion of aircraft engineering activities,"overhauling marine steering gear, control systems and equipment",,,preparing and proving cnc machine tool programs,manage the despatch of explosive substances and/or articles,,,,assembling and testing electronic circuits,,
158,,,,,,,,,,,,,,,,,,,,,,assist in the tests and checks of telecoms equipment,,,carrying out aircraft routine servicing,overhauling marine lifting equipment,,,preparing and using cnc turning machines,operate specialized plant and machinery to performance requirements for explosive substances and/or articles,,,,maintaining electronic equipment/systems,,
159,,,,,,,,,,,,,,,,,,,,,,establish information for telecoms engineering testing,,,carry out maintenance on aircraft mechanical systems by component replacement,overhauling marine ancillary plant and equipment,,,preparing and using cnc milling machines,supervise the placing of explosive substances and/or articles into storage,,,,"assembling pattern, model and engineering woodwork components",,
160,,,,,,,,,,,,,,,,,,,,,,plan telecoms maintenance testing activities,,,carrying out maintenance on aircraft electrical/electronic systems by component replacement,overhauling marine steam plant and equipment,,,preparing and using cnc machining centres,put explosive substances and/or articles into storage,,,,general electrical and electronic engineering applications,,
161,,,,,,,,,,,,,,,,,,,,,,carry out planned maintenance of telecoms equipment,,,producing aircraft components by vacuum forming,overhauling marine liquid ballast arrangements,,,producing platework components and assemblies,supervise the receiving of explosive substances and/or articles into storage,,,,joining public service vehicle components by mechanical processes,,
162,,,,,,,,,,,,,,,,,,,,,,adjust telecoms components and equipment to meet operational requirements,,,making vehicle trim prototypes and patterns,overhauling marine fire main systems and equipment,,,cutting and shaping materials using thermal cutting equipment,supervise the maintenance of storage conditions for explosive substances and/or articles,,,,assembling structural sub assemblies to produce a public service vehicle,,
163,,,,,,,,,,,,,,,,,,,,,,carry out removal of components from telecoms equipment,,,manufacturing vehicle components by vacuum forming,overhauling marine refrigeration and air conditioning equipment,,,preparing and proving cnc fabrication machine tool programs,maintain the quality of explosive substances and/or articles in storage,,,,fitting sub assemblies and components to public service vehicles,,
164,,,,,,,,,,,,,,,,,,,,,,carry out replacement of components from telecoms equipment,,,stripping and rebuilding engines for motorsport vehicles,overhauling marine pantry and galley equipment,,,preparing and using cnc fabrication machinery,select and prepare explosive substances and/or articles for despatch,,,,repair or modify traction and rolling stock electrical circuits,,
165,,,,,,,,,,,,,,,,,,,,,,establish compliance with specifications for maintained telecoms equipment,,,testing engines for motorsport vehicles (fixed dynamometer),"overhauling marine systems, plant and equipment",,,"using wood for pattern, modelmaking and other engineering applications",despatch explosive substances and/or articles,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,establish compliance with specifications for newly installed telecoms equipment,,,testing installed engines for motorsport vehicles (rolling road),reassembling and refitting marine mechanical equipment,,,producing components by rapid prototyping techniques,"supervise the selection, preparation and despatch of explosive substances and/or articles",,,,,,
167,,,,,,,,,,,,,,,,,,,,,,conduct specified testing of telecoms systems,,,removal and fitting fuel systems to prototype engines for test,setting to work and testing marine refrigeration and air conditioning equipment,,,"general machining, fitting and assembly applications",couple and uncouple the train,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,transfer responsibility of telecoms assets,,,installing electrical/electronic engine/transmission control units to prototype vehicles,setting to work and testing marine pantry and galley equipment and services,,,trace the route of water pipes and locate surface fittings and street furniture,plan and manage the safe and secure transportation by road of explosive substances and articles,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,contribute to technical leadership of telecoms engineering activities,,,setting up and testing prototype vehicle electrical/electronic engine/transmission control units,carrying out planned maintenance activities on marine mechanical equipment,,,,plan and manage the safe and secure transportation by rail of explosive substances and articles,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,organise local telecoms engineering activities,,,stripping and rebuilding prototype engines for test,carrying out condition monitoring on marine mechanical equipment,,,,plan and manage the safe and secure transportation by sea of explosive substances and articles,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,replace traction and rolling stock communication-electronic systems,,,testing prototype engines (fixed dynamometer),using and communicating technical information,,,,plan and manage the safe and secure transportation by air of explosive substances and articles,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,work with people from other organisations in the utilities sector ,,,testing prototype engines installed in vehicles,using and communicating technical information,,,,define explosives facilities requirement,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,testing post-production electronic components and circuits,maintaining mechanical devices and equipment,,,,ensure explosives facilities are fit for purpose,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,preparing facilities for testing electronic components and circuits,maintaining fluid power equipment,,,,conduct safety checks on explosives facilities,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,writing specifications for testing electronic components or circuits,maintaining electrical equipment/systems,,,,develop and implement the explosives facility decommissioning plan,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,carrying out functional tests on electrical equipment,maintaining and testing process instrumentation and control devices,,,,conduct decommissioning tasks on explosives facility,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,carrying out tests on marine electrical and electronic equipment and circuits,general maintenance engineering applications,,,,undertake engineering research,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,carrying out maintenance on marine fuel systems and equipment,carry out scheduled maintenance on traction and rolling stock mechanical equipment,,,,identify and define areas of engineering research,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,vacuum forming marine composite materials,carry out scheduled maintenance on traction and rolling stock electrical equipment,,,,develop a research methodology for engineering,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,carrying out tests on marine electrical equipment and circuits,carry out scheduled maintenance on traction and rolling stock fluid power equipment,,,,propose and specify engineering research,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,assisting in the installation of engine/propulsion systems in yachts and boats,carry out scheduled maintenance on traction and rolling stock communication-electronic equipment,,,,evaluate the results of engineering research,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,"setting to work, testing and trialling marine communication equipment and systems",hand over and confirm completion of traction and rolling stock maintenance activities,,,,"configure engineering products, processes or facilities",,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,"setting to work, testing and trialling marine navigational equipment and systems",maintain mechanical equipment within a traction and rolling stock system,,,,"propose decommissioning of engineering equipment, processes or facilities",,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,"setting to work, testing and trialling marine sensor equipment and systems",maintain electrical equipment within a traction and rolling stock system,,,,"plan and decommission engineering equipment, processes or facilities",,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,"setting to work, testing and trialling marine computer equipment and systems",maintain fluid power equipment within a traction and rolling stock system,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,"setting to work, testing and trialling marine electrical rotating machines and domestic equipment",maintain process controller equipment within a traction and rolling stock system,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,testing marine electrical and electronic equipment and circuits,carry out preventative planned maintenance on traction and rolling stock systems,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,installing marine propulsion systems and equipment,carry out monitoring of traction and rolling stock equipment,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,setting to work and testing marine propulsion systems and equipment,maintain traction and rolling stock air conditioning and ventilation systems,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,setting to work and testing marine power transmission systems and equipment,maintain traction and rolling stock ancillary equipment,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,setting to work and testing marine fuel systems and equipment,maintain traction and rolling stock water supply and effluent waste systems and equipment,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,setting to work and testing marine hydraulic systems and equipment,maintain traction and rolling stock vehicle trim and fittings,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,setting to work and testing marine pneumatic systems and equipment,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,setting to work and testing marine auxiliary power ,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,setting to work and testing marine mechanical control equipment and systems,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,"setting to work and testing marine steering gear, control equipment and systems",,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,setting to work and testing marine lifting equipment,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,setting to work and testing marine ancillary plant and equipment,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,maintaining marine fuel systems and equipment,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,overhauling marine fuel systems and equipment,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,testing electrical and electronic equipment in yachts and boats,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,installing engine/propulsion systems in yachts and boats,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,testing engine/propulsion systems and mechanical equipment in yachts and boats,,,,,,,,,,,
