,Top skills extracted,Corresponding top clusters,Suite size
Life sciences and related industries 2,Recruit; Storage; Transport; Instruction; Consumables; Packaging; Transporting; Sorting; Biological material; Fault; Cleaning; Reagent; Parameter; Risk assessment; Render; Lighting; Scheme; Performance review; Management; Information systems,Driving and automotive maintenance; System administration; Shipping and warehouse operations; Manufacturing methods; Office administration; Claims administration; Accounting admin; Laboratory techniques; Animation; Tissue culture; Mainframe programming; Employee development; Languages; Data engineering; Audit and compliance; Hr management; Multimedia production; It security standards; Social work and caregiving; Electronics,17
Construction senior management,Management; Synthesis; Construction management; Cost; Consultant; Welfare; Promote; Compliance; Sustainability; Schedule; Training; Advisory; Benchmarking; Survey; Instruction; Innovation; Costing; Installation; Supply chain; Book,"Construction engineering; Hr management; Procurement; Business management; Employee development; Histology; Energy; Recruitment; Marketing strategy and branding; Business analysis and it projects; Driving and automotive maintenance; Environmental planning; Claims administration; Legal services; Electrical work; Securities trading; It support; Health, safety and environment; Civil engineering; Financial asset management",17
Cultural venue operations,Schedule; Proactive; Instruction; Contingency plan; Fault; Cleaning; History; Sales; Cultural history; Management; Promote; Exhibition; Stock control; Storage; Receive goods; Calculation; Parameter; Security patrol; Scanning; Register visitor,"Electrical work; Hr management; Driving and automotive maintenance; Claims administration; General sales; Environmental planning; Marketing strategy and branding; Logistics administration; Shipping and warehouse operations; Supply chain management; Languages; Office administration; Recruitment; Business management; Archiving and libraries; Accounting and financial management; Data engineering; Premises security; Animation; Health, safety and environment",17
Construction contracting operations management,Management; Synthesis; Cost; Consultant; Welfare; Schedule; Sustainability; Compliance; Survey; Waste management; Supply chain; Scheme; Inspection; Calculation; Installation; Supply chain management; Advisory; Renewable energy; Benchmarking; Grammar,"Procurement; Hr management; Business management; Histology; Recruitment; Employee development; Energy; Construction engineering; Health, safety and environment; Audit and compliance; Civil engineering; Languages; Electrical work; Driving and automotive maintenance; It support; Business analysis and it projects; Claims administration; Oil and gas extraction; Construction; Environmental planning",17
Property caretaking facilities services,Instruction; Storage; Cleaning; Schedule; Management; Repair; Training; Inspection; Collection; Hand tool; Promote; Sort; Maintenance and repair; Cleanliness; Liner; Compliance; Cost; Identify opportunity; Boiler; Heating systems,"Driving and automotive maintenance; Claims administration; Employee development; Shipping and warehouse operations; Heating, ventilation and plumbing; Electrical work; Business management; Office administration; Archiving and libraries; Construction; Social work and caregiving; Marketing strategy and branding; Construction engineering; Recruitment; Multimedia production; Health, safety and environment; Supply chain management; Hr management; Procurement; Languages",17
Career development,Career development; Promote; Management; Change management; Empowerment; Labour market; Training; Social medium; Cost; Peer review; Group dynamic; Learning style; Information retrieval; Marketing; Innovation; Education; Rehabilitation; Information sharing; Empower; Contingency plan,Employee development; Marketing strategy and branding; Business management; Hr management; Digital marketing; Teaching; Procurement; Research methods and statistics; Marketing research; Data engineering; Physiotherapy and beauty; Advertising; Supply chain management; Legal services,17
Harbour masters,Management; Risk assessment; Risk register; Inspection; Record keeping; Compliance; Risk management; Pilotage; Validation; Training; Revocation; Key performance indicator kpis; Audit; Prosecution; Collection; Service provision; Traffic management; Broadcast; Acting; Hydrographic survey,"Business management; Health, safety and environment; Audit and compliance; Securities trading; Driving and automotive maintenance; Employee development; Civil engineering; Office administration; Hr management; Financial asset management; Recruitment; Electronics; Oil and gas extraction; Multimedia production; Legal services; Archiving and libraries; Supply chain management; Environmental planning; Accounting and financial management; It support",17
Construction plant or machinery maintenance,Sustainability; Instruction; Consumables; Power tool; Storage; Risk assessment; Hand tool; Work efficiently; Schedule; Machinery; Ventilation; Bulletin; Coolant; Repair; Brake; Alteration; Inspection; Iron; Cable; Soldering,"Construction; Driving and automotive maintenance; Heating, ventilation and plumbing; Electrical work; Hr management; Energy; Claims administration; Accounting admin; Shipping and warehouse operations; Audit and compliance; Welding and machining; Oil and gas extraction; Electrical engineering; Archiving and libraries; Automotive engineering; Languages; Social work and caregiving; Mainframe programming; Recruitment; Software development",17
Master printer,Management; Printing; Cost; Proofing; Storage; Fault; Compliance; Instruction; File management; Permit; Risk assessment; Parameter; Proof; Printer; Articulate; Vision; Empower; Promote; Process control; Thermal,"Graphic and digital design; Business management; Manufacturing methods; Animation; Hr management; Languages; Office administration; Driving and automotive maintenance; Accounting admin; Procurement; Data engineering; Shipping and warehouse operations; Extracurricular activities and childcare; Claims administration; Electronics; Marketing strategy and branding; Employee development; Health, safety and environment; Construction; Audit and compliance",17
"Surveying, property maintenance and valuation;surveying, property maintenance 2010",Synthesis; Management; Instruction; Survey; Cost; Transaction; Time management; Visual inspection; Inspection; Advertising; Schedule; Installation; Alteration; Acquisition; Training; Education; Compliance; Grammar; Spelling; Breakage,"Histology; Business management; Procurement; Claims administration; Driving and automotive maintenance; Languages; Financial asset management; Accounting admin; Civil engineering; Shipping and warehouse operations; Hr management; Health, safety and environment; Audit and compliance; Graphic and digital design; Medical admin; Advertising; Electrical work; It support; Construction; Supply chain management",16
Supported employment,Training; Promote; Welfare; Labour market; Career development; Management; Recruit; Mentor; Articulate; Mentoring; Recruiting; Calculation; Fear; Job analysis; Assistive technology; Instruction; Task analysis; Performance improvement; Set priority; Statistic,Employee development; Hr management; Marketing strategy and branding; Business management; System administration; Graphic and digital design; Recruitment; Accounting and financial management; Languages; Critical care; Claims administration; Design and process engineering; Logistics administration; Research methods and statistics; Clinical research; Audit and compliance; Neurological disorders; Teaching; Mainframe programming; Physiotherapy and beauty,16
Sawmilling,Fault; Stack; Sort; Storage; Sorting; Cleaning; Unload; Unloading; Machinery; Packaging; Sawmill; Ventilation; Schedule; Sharpening; Sharpen; Use abrasive wheel; Transporting; R; Risk assessment; Give constructive feedback,"Driving and automotive maintenance; Office administration; Languages; Networks; Welding and machining; Shipping and warehouse operations; Manufacturing methods; Oil and gas extraction; Construction; Heating, ventilation and plumbing; Electrical work; Marketing research; Audit and compliance; Business management; Employee development; Claims administration; Health, safety and environment; Recruitment",16
Building services engineering technology and project management,Building services engineering; Management; Consultant; Instruction; Installation; Site manager; Engineering project; Risk assessment; Cost; Consumables; Schedule; Employment law; Survey; Environmental health and safety; Scheme; Fault; Estimating; Quotation; Thermal; Rainwater harvesting,"Recruitment; Construction engineering; Business management; Hr management; Energy; Design and process engineering; Claims administration; It support; Languages; Procurement; Health, safety and environment; Audit and compliance; Accounting admin; Electrical work; Heating, ventilation and plumbing; Hydrology; Legal services; Civil engineering; Driving and automotive maintenance; Oil and gas extraction",16
Laboratory science suite 3 2009,Good clinical practice gcp; Clinical practice; Instruction; Coat; Database; Sorting; Storage; Reagent; Fault; Error message; Cleanliness; Calibration; Parameter; Data acquisition; Acquisition; Consumables; Cleaning; Thermal; Dye; Dna,Languages; Laboratory techniques; Clinical research; Claims administration; Mainframe programming; Office administration; Shipping and warehouse operations; Software development; Social work and caregiving; Biochemistry; Electronics; Oil and gas extraction; Manufacturing methods; Data engineering; Welding and machining; Tissue culture; Tomography and microscopy; Driving and automotive maintenance; Accounting admin; Recruitment,16
Music business collecting societies,Music; Management; Music industry; Marketing; Royalty; Collection; Initiative; Sales; Database; Broadcast; Maximum; Invoice; Scheme; Data entry; Customer relationship management; Target market; Spreadsheet; Issue licence; Training; Proactive,Multimedia production; Office administration; General sales; Accounting admin; Business management; Languages; Hr management; Mainframe programming; Recruitment; Archiving and libraries; Employee development; Marketing strategy and branding; Claims administration; Complex sales; Extracurricular activities and childcare; Media relations; Construction engineering; Financial asset management; Event planning; Networks,16
Research and development,Intellectual property; Cost; Trial; Ethical code; Cost benefit analysis; Clinical trial; Benefit analysis; Management; Research report; Pool; Audit; Research design; Site investigation; Infection control; Record keeping; Collection; Data collection,"Legal services; Clinical research; Research methods and statistics; Hr management; Business analysis and it projects; Procurement; Business management; Extracurricular activities and childcare; Audit and compliance; Health, safety and environment; Phlebotomy; Office administration",16
Nuclear operations,Management; Nuclear technology; Nuclear safety; Parameter; Compliance; Power plant; Instruction; Turbine; Power supply; Coolant; Environmental legislation; Storage; Physic; Inspection; Sort; Reactivity; Schedule; Environmental monitoring; Cost; Chemistry,"Structural engineering; Business management; Data engineering; Oil and gas extraction; Hr management; Energy; Claims administration; Health, safety and environment; Electronics; Driving and automotive maintenance; Shipping and warehouse operations; Tomography and microscopy; Office administration; Physics and math; Employee development; Networks; Electrical work; Procurement; Audit and compliance; Diagnostic imaging",16
Mines management,Management; Welfare; Inspection; Ventilation; Installation; First aid; Compliance; Repair; Stratum; Training; Roof; Logistics; Cost; Make decision; Scheme; Vision; Storage; Environmental monitoring; Organise training; Risk assessment,"Driving and automotive maintenance; Hr management; Business management; Employee development; Heating, ventilation and plumbing; Procurement; Health, safety and environment; Audit and compliance; It support; Animation; Critical care; Construction; Languages; Legacy mainframe; Shipping and warehouse operations; Mainframe programming; Structural engineering; Advertising; Marketing strategy and branding; Graphic and digital design",16
Automotive engineering suite 3;leisure vehicle building,Instruction; Installation; Risk assessment; Fault; Compliance; Cable; Adhesive; Socket; Floor; Sealant; Wiring; Levelling; Iso; Battery; Power tool; Insulation; Entry point; Transport; Furnishing; Ingres,"Construction; Languages; Electrical engineering; Audit and compliance; Electrical work; It support; Claims administration; Hr management; Welding and machining; Social work and caregiving; Legacy mainframe; Heating, ventilation and plumbing; Data engineering; Driving and automotive maintenance; Animation; Electronics; Manufacturing methods; Mainframe programming; Recruitment; Bi and data warehousing",16
Counselling national occupational standards v4,Therapy; Management; Mental health; Risk assessment; Age; Promote; Service provision; Information sharing; Training; Articulate; Psychology; Record keeping; Self care; Make decision; General practitioner; Compliance; Group dynamic; Storage; Conflict resolution; Clinical practice,Mental health; Business management; Dermatology; Social work and caregiving; Audit and compliance; Marketing strategy and branding; Employee development; Graphic and digital design; Supply chain management; Hr management; Digital marketing; Marketing research; Office administration; Recruitment; General practice; Claims administration; Teaching; Research methods and statistics; Clinical research; Financial asset management,16
General takaful,Delegated authority; Alteration; Settlement; Prospect; Loss mitigation; Dispatch; Quotation; Schedule; History; Personal injury; Claims procedure; Business process; Instruction; Database; Market trend; Central; Management; Pool,Claims administration; Languages; Construction; General sales; Insurance and lending; Office administration; Electrical work; Mainframe programming; Surgery; Business analysis and it projects; Retail; Business management; Extracurricular activities and childcare,16
Downstream operations,Permit; Schedule; Instruction; Book; Parameter; Inspection; Storage; Environmental legislation; Fault; Tolerance; Logic; Medical assistance; Drainage; Visual inspection; Survey; Instrumentation; Breathing apparatus; Process equipment; Consumables; Mass balance,"Health, safety and environment; Claims administration; Electrical work; Medical admin; Data engineering; Driving and automotive maintenance; Shipping and warehouse operations; Extracurricular activities and childcare; Languages; Manufacturing methods; Employee development; Physics and math; Patient assistance and care; Heating, ventilation and plumbing; Civil engineering; Dental assistance; Accounting admin; Animation; Multimedia production; Laboratory techniques",16
Wine making,Food; Recipe; Instruction; Cleanliness; Filtration; Carbonation; Avoid contamination; Production process; Packaging; Storage; Tank; Consumables; Compliance; Wine blending; Production line; Biology; Process control; Chemical reaction; Trace element; Fault,"Languages; Manufacturing methods; Social work and caregiving; Claims administration; Health, safety and environment; Hydrology; Shipping and warehouse operations; Accounting admin; Biochemistry; Hr management; Marketing strategy and branding; Multimedia production; Driving and automotive maintenance; Oil and gas extraction; Tomography and microscopy; Laboratory techniques; Aviation; Marketing research; Welding and machining; Networks",16
Vehicle parts operations v3,Sales; Consumables; Cost; Stock control; Information systems; Comment; Management; Training; Stock inventory; Booking; Customer accounts; Refund; Transaction; Parameter; Database; Intranet; Spreadsheet; Promote; Lift truck; R,Accounting admin; General sales; Procurement; Business management; Driving and automotive maintenance; Logistics administration; Mainframe programming; Employee development; It security standards; Office administration; Shipping and warehouse operations; Journalism and writing; Marketing strategy and branding; Securities trading; Medical admin; Languages; Data engineering; Networks; Marketing research; Legal services,16
Furniture restoration and service repair,Fault; Instruction; Repair; Scope statement; Template; Furnishing; Risk assessment; Listen; Manufacturing process; History; Age; Georgian; Dutch; Layer; French; Polish; Polish furniture; Sketch; Present report; Tolerance,Languages; Claims administration; Driving and automotive maintenance; Construction; Software development; Manufacturing methods; Graphic and digital design; Audit and compliance; Extracurricular activities and childcare; Recruitment; Social work and caregiving; Employee development; Welding and machining; Shipping and warehouse operations; Mainframe programming,16
Governance nos,Management; Compliance; Vision; Legal compliance; Shareholder; Resource planning; Coordinating; Constitution; Transaction; Listening; Listen; Smooth; Schedule; Instruction; Cost; Promote; Remuneration; Risk appetite; Meeting deadline; Printing,Recruitment; Business management; Audit and compliance; Shipping and warehouse operations; Legacy mainframe; Legal services; Employee development; Hr management; Claims administration; Oil and gas extraction; Electrical work; Procurement; Financial asset management; Marketing strategy and branding; Social work and caregiving; Marketing research; Animation; Driving and automotive maintenance; It security standards; Event planning,16
Human resources,Management; Cost; Compliance; Innovation; Employment law; Hr strategy; Interpersonal skill; Mediation; Initiative; Cost management; Outsource; Outsourcing; Collection; Data collection; Succession planning; Shareholder; Benchmarking; Balance sheet; Employee relations; Arbitration,Hr management; Business management; Legal services; Employee development; Procurement; Audit and compliance; Recruitment; Mental health; Office administration; Research methods and statistics; Accounting and financial management; Marketing strategy and branding; Welding and machining; Construction; Electronics,15
Human identity and biometrics,Cabling; Network protocol; Installation; Inspection; Test equipment; Schedule; Fault; Cost; Logging; Repair; Masonry; Cable; Plasterboard; Calibration; Cleaning; Template; Capture; Storage; Audit; Stock control,Electrical work; Driving and automotive maintenance; Construction; Networks; It support; Audit and compliance; Electronics; Mainframe programming; Languages; Civil engineering; Procurement; Oil and gas extraction; Manufacturing methods; Business management; Software development; Legal services; Employee development; Shipping and warehouse operations; Claims administration; Logistics administration,15
Support operations in food manufacture,Food; Instruction; Food safety; Schedule; Storage; Machinery; Cleaning; Production process; Production schedule; Sharpening; Poultry; Sharpen; Cleanliness; Management; Yield; Sales; Detergent; Tolerance; Permit; Coordinate,"Languages; Driving and automotive maintenance; Claims administration; Retail management; Electrical work; Shipping and warehouse operations; Welding and machining; Social work and caregiving; Manufacturing methods; General sales; Employee development; Supply chain management; Health, safety and environment; Recruitment; Data engineering; Biotechnology manufacturing; Office administration; Mental health; Mainframe programming; Accounting admin",15
Chemotherapy,Therapy; Management; Parameter; Prescription; Storage; Instruction; Trial; Clinical trial; Regimen; Risk management; Toxicity; History; Medical terminology; Infection control; Education; Schedule; Fault; Calculation; Cell cycle; Pharmacokinetics,"Languages; Clinical research; Dermatology; Business management; Data engineering; Mental health; Shipping and warehouse operations; Claims administration; Manufacturing methods; Financial asset management; Teaching; Synthetic biology; Phlebotomy; Medical admin; Electrical work; Physiotherapy and beauty; Mainframe programming; Heating, ventilation and plumbing; Pharmacy; Accounting and financial management",15
Support operations in food and drink operations,Food; Instruction; Food safety; Storage; Cost; Risk assessment; Cleaning; Machinery; Schedule; Yield; Cleanliness; Permit; Parameter; Training; Audit; Sharpening; Sharpen; Welfare; Livestock; Risk matrix,"Languages; Claims administration; Driving and automotive maintenance; Audit and compliance; Retail management; Shipping and warehouse operations; Data engineering; Procurement; Electrical work; Health, safety and environment; Welding and machining; Employee development; Social work and caregiving; Hr management; Supply chain management; Environmental planning; Marketing research; Logistics administration; Manufacturing methods; Mental health",15
Stagehands,Instruction; Machinery; Risk assessment; Transporting; Coordinate; Unload; Cable; Storage; Transport; Coordinating; Ventilation; Schedule; First aid; Personal injury; Unloading; Working quickly; Acting; Camera; Shipping; Payload,"Driving and automotive maintenance; Claims administration; Employee development; Electrical work; Shipping and warehouse operations; Audit and compliance; Construction; Multimedia production; Languages; Heating, ventilation and plumbing; Critical care; Supply chain management; Social work and caregiving; Surgery; Recruitment; Automotive engineering; Health, safety and environment; Procurement; Office administration; Manufacturing methods",15
Heritage,Fault; Instruction; Cost; Sewing; History; Training; Training material; Mill; Cleaning; Tolerance; Storage; Numeracy; Repair; Machinery; Schedule; Estimating; Template; Sort; Sorting; Shear,Languages; Claims administration; Driving and automotive maintenance; Welding and machining; Office administration; Procurement; Manufacturing methods; Construction; Digital content authoring; Employee development; Shipping and warehouse operations; Marketing research; Extracurricular activities and childcare; Design and process engineering; General sales; Construction engineering; Software development; Supply chain management; Logistics administration; Recruitment,15
Hair and make up,Hair; Schedule; Production schedule; Television production; Camera; Time constraint; Mobility; Adhesive; Special effect; Tattoo; Cleaning; History; Script; Management; Hair colouring; Proof; Workstation; Moulding; Create sculpture; Mould,"Multimedia production; Languages; Supply chain management; Marketing research; Construction; Driving and automotive maintenance; Electrical work; Animation; Environmental planning; Welding and machining; Graphic and digital design; Digital content authoring; Dental assistance; It support; Mainframe programming; Speech and hearing therapy; Health, safety and environment; Software development; Shipping and warehouse operations; Business management",15
Sport and physical activity administration and governance,Management; Training; Child protection; Ethical conduct; Equity; Promote; Marketing; Schedule; Audit; Contingency plan; Forge; Initiative; Constitution; Pool; Education; Share resource; Benchmarking; Promotional material; Sport events; Scheme,Audit and compliance; Business management; Marketing strategy and branding; Employee development; Social work and caregiving; Extracurricular activities and childcare; Securities trading; Office administration; Legal services; Hr management; Legacy mainframe; Electrical work; System administration; Procurement; Supply chain management; Multimedia production; Teaching; Event planning; Claims administration; Media relations,15
Mine ventilation and ground control engineering,First aid; Compliance; Ventilation; Installation; Instruction; Storage; Ventilation systems; Calculation; Consumables; Audit; Auditing; Permit; Survey; Management; Tunnel; Warning sign; Environmental testing; Composition; Environmental emergency; Schedule,"Hr management; Heating, ventilation and plumbing; Audit and compliance; Health, safety and environment; Critical care; Shipping and warehouse operations; It support; Claims administration; Accounting and financial management; Business management; Accounting admin; Driving and automotive maintenance; Civil engineering; Marketing strategy and branding; Animation; Languages; Premises security; Electronics; Extracurricular activities and childcare; Electrical work",15
General insurance,Compliance; Regulatory compliance; Insurance market; Settlement; Prospect; Loss mitigation; Alteration; Assist customer; Dispatch; History; Instruction; Quotation; Schedule; Database; Personal injury; Instructing; Claims procedure; Estimating; Promote; Listen,Audit and compliance; Securities trading; Languages; General sales; Claims administration; Insurance and lending; Construction; Mainframe programming; Office administration; Electrical work; Surgery; Teaching; Construction engineering; Marketing strategy and branding; Business analysis and it projects; Business management; Retail,15
Installation and commissioning suite 3;installation and commissioning suite 3 2003,Permit; Instruction; Installation; Risk assessment; Calibration; Switch; Iso; Fault; Fluid power; Iso standard; Consumables; Cable; Electrical connection; Voltage; Transformer; Wiring; Electrostatic discharge; Levelling; Drilling; Trunking,"Electrical engineering; Electrical work; Construction; Audit and compliance; Driving and automotive maintenance; Heating, ventilation and plumbing; Oil and gas extraction; Networks; Languages; Manufacturing methods; Health, safety and environment; Welding and machining; Electronics; It support; Civil engineering; Claims administration; It security standards; Extracurricular activities and childcare; Data engineering; Accounting admin",15
Mines rescue operations,Instruction; Breathing apparatus; Ventilation; Environmental monitoring; Storage; First aid; Inspection; Transport; Compliance; Management; Therapy; Welfare; Record keeping; Emergency services; Repair; Risk assessment; Roof; Test equipment; Welding; Locomotive,"Driving and automotive maintenance; Heating, ventilation and plumbing; Claims administration; Dental assistance; Health, safety and environment; Hr management; Shipping and warehouse operations; Construction; Critical care; Office administration; Business management; Dermatology; Languages; Social work and caregiving; Audit and compliance; Electronics; Welding and machining; Laboratory techniques; Physics and math; Graphic and digital design",15
Soft furnishings,Scope statement; Instruction; Furnishing; Flange; French; Fault; Sewing; Sort; Cost; Tolerance; Storage; Schedule; Adhesive; Installation; Comment; Fabric type; Risk assessment; Moulding; Panel; Collection,Construction; Welding and machining; Languages; Software development; Claims administration; Office administration; Electrical work; Procurement; Marketing strategy and branding; Employee development; Shipping and warehouse operations; It support; General sales; Journalism and writing; Structural engineering; Electrical engineering; Business management; Hr management; Audit and compliance; Archiving and libraries,15
Built environment design and consultancy practice,Synthesis; Management; Cost; Consultant; Welfare; Sustainability; Survey; Training; Compliance; Book; Advisory; Parameter; Risk assessment; Scheme; Risk management; Schedule; Intellectual property; Innovation; Landscape design; Adaptability,"Hr management; Business management; Procurement; Employee development; Histology; Audit and compliance; Environmental planning; Construction engineering; Recruitment; Civil engineering; Financial asset management; Legal services; Energy; Marketing strategy and branding; Languages; Securities trading; Health, safety and environment; Driving and automotive maintenance; Supply chain management; Accounting and financial management",15
Oil fired technical services,Installation; Instruction; Storage; Risk assessment; Ventilation; Tank; System design; Inspection; Insulation; Storage systems; Cleanliness; Environmental health and safety; Survey; Cost; Petroleum; Visual inspection; Permit; Costing; Mechanical systems; Boiler,"Heating, ventilation and plumbing; It support; Languages; Claims administration; Health, safety and environment; Driving and automotive maintenance; Shipping and warehouse operations; Audit and compliance; Construction; Electronics; Social work and caregiving; Procurement; System administration; Electrical work; Oil and gas extraction; Civil engineering; Welding and machining; Electrical engineering; Accounting and financial management; Graphic and digital design",15
Outdoor sector senior roles,Promote; Management; Outdoor activity; Training; Innovation; Vision; Cost; Listen; Listen actively; Forecasting; Show empathy; Learning style; Environmental issue; Environmental protection; Welfare; History; Resource planning; Cost benefit analysis; Energy supply; Benefit analysis,"Employee development; Business management; Marketing strategy and branding; Extracurricular activities and childcare; Mainframe programming; Teaching; Health, safety and environment; Legacy mainframe; Procurement; Office administration; Hr management; Languages; Accounting and financial management; Data engineering; Shipping and warehouse operations; Business analysis and it projects; Energy; Legal services; Networks; Graphic and digital design",15
Family learning,Promote; Training; Cost; Child protection; Compliance; Social services; Instruction; Fault; Identify opportunity; Social medium; Make decision; Recruiting; Language barrier; Inspection; Promote inclusion; Set objective,Marketing strategy and branding; Employee development; Social work and caregiving; Languages; Business management; Procurement; Hr management; Claims administration; Digital marketing; Recruitment; Driving and automotive maintenance; Event planning,15
Fabrication and welding suite 2,Instruction; Risk assessment; Inspection; Weld; Thermal; Cleanliness; Consumables; Welding; Parameter; Tolerance; Welding equipment; Welding procedure specification; Storage; Emergency shutdown; Nozzle; Iso; Cable; Electrical connection; Explosive; Template,"Welding and machining; Audit and compliance; Claims administration; Oil and gas extraction; Driving and automotive maintenance; Electrical work; Heating, ventilation and plumbing; Data engineering; Languages; Social work and caregiving; Accounting admin; Manufacturing methods; Employee development; Construction; Shipping and warehouse operations; Premises security; Animation; Structural engineering; Software development; Electrical engineering",15
"Access operations and rigging broadcast, film and video",Simulation; Instruction; Storage; Work efficiently; Schedule; Sketch; Hand tool; Equipment selection; Roof; Broadcast; Machinery; Management; Packaging; Promote; Comment; Installation; Risk assessment; Welfare; Interpret drawing; Hook,"Electronics; Construction; Hr management; Claims administration; Shipping and warehouse operations; Electrical work; Graphic and digital design; Electrical engineering; Driving and automotive maintenance; Multimedia production; Business management; Manufacturing methods; Marketing strategy and branding; Journalism and writing; It support; Audit and compliance; Extracurricular activities and childcare; Welding and machining; Recruitment; Health, safety and environment",15
"Inspectors of health, social care, children and young peoples services",Management; Promote; Inspection; Make decision; Service provision; Creativity; Social work; Strategic planning; Capture; Risk management; Risk assessment; Report writing; Welfare; Compliance; Triangulation; Education; Performance management; Game; Peer review; Audit,"Business management; Hr management; Mainframe programming; Audit and compliance; Social work and caregiving; Employee development; Marketing strategy and branding; Driving and automotive maintenance; Supply chain management; Financial asset management; Health, safety and environment; Ophthalmology; Teaching; Languages; Research methods and statistics; Electrical work; Civil engineering; Legal services; Phlebotomy; Multimedia production",15
Business and administration 2010,Compliance; Vision; Cost; Information systems; Promote; Mentoring; Archive; Contingency plan; Management; Dispatch; Sort; Dispatching; Sorting; Handle complaints; Listening; Instruction; Retention period; Schedule; Performance review,Office administration; Hr management; Legacy mainframe; Procurement; It security standards; Marketing strategy and branding; Employee development; Claims administration; Recruitment; Archiving and libraries; Supply chain management; Business management; Electrical work; Multimedia production,15
Sweet confectionery,Instruction; Food; Food safety; Process specification; Process control; Production schedule; Schedule; Storage; Moulding; Manufacturing process; Machinery; Particle; Recipe; Mould; Crystal; Calculation; Protein; Tunnel; Contingency plan; Stock control,Manufacturing methods; Claims administration; Retail management; Business analysis and it projects; Supply chain management; Languages; Construction; Shipping and warehouse operations; Driving and automotive maintenance; Physics and math; Nanotechnology; Accounting and financial management; Electrical work; Biochemistry; Logistics administration; Oil and gas extraction; Synthetic biology; Procurement; Extracurricular activities and childcare; Electrical engineering,15
Advanced wood occupations,Machinery; Fault; Information systems; Stack; Cutter; Roof; Instruction; Tolerance; Sawing; Circular saw; Tipped tool; Calculation; Coolant; Grinding wheel; Transport; Risk assessment; Costing; Panel; Floor; Lumber,Construction; Driving and automotive maintenance; Welding and machining; Oil and gas extraction; Languages; It security standards; Procurement; Networks; Audit and compliance; Claims administration; Employee development; Accounting and financial management; Hr management; Data engineering; Logistics administration; Electrical work; Office administration; Shipping and warehouse operations; Financial asset management; Chromosome examination,15
Ionising radiation measurement instrumentation,Instrumentation; Ionising radiation; Cost; Calibration; Repair; Audit; Management; Compliance; Fault; Ionizing radiation; Test equipment; Parameter; Derive; Consumables; Configuration management; Instruction; Tolerance; Radiation protection; Template; Information systems,Diagnostic imaging; Extracurricular activities and childcare; Procurement; Driving and automotive maintenance; Manufacturing methods; Audit and compliance; Hr management; Languages; Electronics; Data engineering; Legacy mainframe; Accounting admin; System administration; Claims administration; Business management; Employee development; Software development; It security standards; Structural engineering; Accounting and financial management,14
Nuclear material accountancy and safeguards,Good governance; Compliance; Transport; Management; Capture; Traceability; Waste management; Environmental protection; Calibration; Throughput; History; Civil; Parameter; Ionising radiation; Record keeping; Audit; Information security; Packaging; Schedule; Risk assessment,"Business management; Manufacturing methods; Mainframe programming; Health, safety and environment; Hr management; Driving and automotive maintenance; Audit and compliance; Diagnostic imaging; Marketing research; Languages; It security operations; Data engineering; Office administration; It support; Archiving and libraries; Civil engineering; Construction engineering; Employee development; Design and process engineering; Accounting and financial management",14
Grips and crane technicians,Teamwork; Instruction; Sand; Camera; Risk assessment; Cable; Environmental protection; Smooth; Braking; Hydraulics; Instruct; Floor; Pulley; Parameter; Operate crane; Secure crane; Power supply; Storage; Elevation; Management,"Recruitment; Electrical work; Languages; Claims administration; Multimedia production; Audit and compliance; Driving and automotive maintenance; Health, safety and environment; Automotive engineering; Electrical engineering; Oil and gas extraction; Construction; Teaching; Financial asset management; Data engineering; Electronics; Shipping and warehouse operations; Business management; Hr management; Digital content authoring",14
Paper manufacturing,Machinery; Fault; Instruction; Cleaning; Training; Process equipment; Sort; Warning sign; Smoothing; Embossing; Additive; Dye; Printing; Filtration; Particle; Paper machine; Management; Process control; Parameter; Cost,"Driving and automotive maintenance; Manufacturing methods; Languages; Welding and machining; Health, safety and environment; Employee development; Claims administration; Business management; Office administration; Procurement; Premises security; Oil and gas extraction; Construction; Animation; Hydrology; Physics and math; Data engineering; Business analysis and it projects; Supply chain management; Networks",14
Security and loss prevention,Loss prevention; Instruction; Welfare; Interpersonal skill; Management; Fault; Illegal substance; Surveillance; Promote; Permit; Lighting; Camera; Search form; Explosive; Incident report; Store management; Prosecution; Scheme; Information security; Archive,"Retail management; Hr management; Claims administration; Mental health; Multimedia production; Business management; Animation; Languages; Pharmacy; Legal services; Manufacturing methods; Marketing strategy and branding; Health, safety and environment; Web development; Structural engineering; Social work and caregiving; Driving and automotive maintenance; General sales; It security operations; Archiving and libraries",14
Built environment design,Synthesis; Cost; Sustainability; Management; Survey; Schedule; Installation; Compliance; Risk assessment; Welfare; Parameter; Tolerance; Instruction; Inspection; Renewable energy; Project design; Advisory; Traffic management; Waste management; Demolition,"Procurement; Energy; Civil engineering; Employee development; Histology; Hr management; Construction engineering; Driving and automotive maintenance; Business management; Construction; Recruitment; Electrical work; It support; Health, safety and environment; Legal services; Audit and compliance; Claims administration; Data engineering; Environmental planning; Archiving and libraries",14
